id	cas	smiles	status	exp values
1	n.a.	O=C1C2=C(C=C(O)C=C2)CCC1CC1=CC=C(C2=CC=CC=C2)C=C1	training	1
2	n.a.	COC1=CC2=C(C=C1)C(=O)C(CC1=CC=C(O)C=C1)CC2	training	1
3	n.a.	CC(C(C1=CC2=C(C=C1)C=C(OCC1=CC(C(N)=O)=CC=C1)C=C2)N1C=CN=C1)N(C)C	training	1
4	n.a.	CCN(CC)C(C)C(C1=CC2=C(C=C1)C=C(OCC1(C(=O)O)CCCC1)C=C2)N1C=CN=C1	training	1
5	n.a.	C1=CC=C(NC2=CC=C(C(C3=CC=CC=C3)N3C=CN=C3)C=C2)C=C1	training	1
6	n.a.	C1=CC=C(C2=CC=C(C(C3=CC4=C(C=CC=C4)O3)N3C=NC=N3)C=C2)C=C1	training	1
7	n.a.	COC(=O)C(C)(C)C(C1=CC=C(NC2=CC=C(C)C=C2)C=C1)N1C=CN=C1	training	1
8	n.a.	O=C1C2=C(C=C(O)C=C2)CCC1=CC1=CC=C(C2=CC=CC=C2)C=C1	training	0
9	n.a.	CN(C)C1=CC=C(C=C2CCC3=C(C=CC(O)=C3)C2=O)C=C1	training	0
10	n.a.	CCN(C)C(C)C(C1=CC2=C(C=C1)C=C(OCC1(C(=O)O)CCCC1)C=C2)N1C=CN=C1	training	1
11	n.a.	CC(C(C1=CC2=C(C=C1)C=C(OCC1(C(=O)O)CCCC1)C=C2)N1C=CN=C1)N(C)C	training	1
12	n.a.	CCC(C(C1=CC2=C(C=C1)C=C(OCC(C)(C)C(=O)O)C=C2)N1C=CN=C1)N(C)C	training	1
13	n.a.	CCN(C)C(C)C(C1=CC2=C(C=C1)C=C(OCC(C)(C)C(=O)O)C=C2)N1C=CN=C1	training	1
14	n.a.	COC(=O)C(C)(C)C(C1=CC=C(NC2=CN=C(Br)C=C2)C=C1)N1C=CN=C1	training	1
15	n.a.	CNC(=O)C1=CC(COC2=CC3=C(C=C2)C=C(C(C(C)N(C)C)N2C=CN=C2)C=C3)=CC=C1	training	1
16	n.a.	CNC(=O)C(C)(C)COC1=CC2=C(C=C1)C=C(C(C(C)N(C)C)N1C=CN=C1)C=C2	training	1
17	n.a.	CCCCN(C)C(C)C(C1=CC2=C(C=C1)C=C(OCC(C)(C)C(=O)O)C=C2)N1C=CN=C1	training	1
18	n.a.	CC(C(C1=CC2=C(C=C1)C=C(OCC(C)(C)C(=O)O)C=C2)N1C=CN=C1)N(C)C1CCCCC1	training	1
19	n.a.	CCCN1C(C(C)(C)C)=CC(C(=O)NC(CC(=O)O)C2=C(Br)C=CC=C2)=C1C	training	1
20	n.a.	CCOC1=C(NC2=CC=C(C(N3C=CN=C3)C(C)(C)C(=O)OC)C=C2)C2=C(C=CC=C2)C=C1	training	1
21	n.a.	COC(=O)C(C)(C)C(C1=CC=C(NC2=CC3=C(C=C2)OCO3)C=C1)N1C=NC=N1	training	1
22	n.a.	COC(=O)C(C)(C)C(C1=CC=C(NC2=CC=CC=C2)C=C1)N1C=CN=C1C	training	1
23	n.a.	CC(C)N(C)C(C)C(C1=CC2=C(C=C1)C=C(OCC(C)(C)C(=O)O)C=C2)N1C=CN=C1	training	1
24	n.a.	CC1=CC(C(=O)NC(CC(=O)O)C2=C(Br)C=CC=C2)=C(C)O1	training	1
25	n.a.	C1=CC=C(C(C2=CC=C(NC3=CC4=C(C=C3)CCC4)C=C2)N2C=CN=C2)C=C1	training	1
26	n.a.	CC(C)(C(=O)O)C(C1=CC=C(NC2=CC3=C(C=CC=C3)C=C2)C=C1)N1C=CN=C1	training	1
27	n.a.	CC1(C)CCC(C)(C)C2=C1C=CC(C1(C3=CC=C(C(=O)O)C=C3)OCCO1)=C2	training	1
