id	cas	smiles	status	exp values
1	n.a.	CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(C(F)(F)F)=C(Cl)C=C3)C=C2)=C1	training	1
2	n.a.	COC1=CC(OC)=CC(N(C)C2=CC3=C(C=C2)N=CC(C2=CN(C)N=C2)=N3)=C1	training	1
3	n.a.	COC1=CC(OC)=CC(N(CC2CC2)C2=CC3=C(C=C2)N=CC(C2=CN(CCCN)N=C2)=N3)=C1	training	1
4	n.a.	COC1=CC(OC)=CC(N(CC2CC2)C2=CC3=C(C=C2)N=CC(C2=CN(CCO)N=C2)=N3)=C1	training	1
5	n.a.	COC1=CC(OC)=CC(N(CCN2C(=O)C3=C(C=CC=C3)C2=O)C2=CC3=C(C=C2)N=CC(C2=CN(C)N=C2)=N3)=C1	training	1
6	n.a.	CNC(=O)C(C)(C)N1C=C(C2=NC3=C(C=CC(N(CC4CC4)C4=CC(OC)=CC(OC)=C4)=C3)N=C2)C=N1	training	1
7	n.a.	CCOC(=O)CN(C1=CC(OC)=CC(OC)=C1)C1=CC2=C(C=C1)N=CC(C1=CN(C)N=C1)=N2	training	1
8	n.a.	COC1=CC(OC)=CC(N(CC2CC2)C2=CC3=C(C=C2)N=CC(C2=CN(CC4CCNCC4)N=C2)=N3)=C1	training	1
9	n.a.	COC1=CC(OC)=CC(N(CCO)C2=CC3=C(C=C2)N=CC(C2=CN(CCO)N=C2)=N3)=C1	training	1
10	n.a.	COC1=CC(N(CC2CC2)C2=CC3=C(C=C2)N=CC(C2=CN(C)N=C2)=N3)=CC(CN)=C1	training	1
11	n.a.	COC1=CC(OC)=CC(N(CC2CC2)C2=CC3=C(C=C2)N=CC(C2=CN(CC(O)CN4CCCCC4)N=C2)=N3)=C1	training	1
12	n.a.	COC1=CC(N(CC2CC2)C2=CC3=C(C=C2)N=CC(C2=CN(C)N=C2)=N3)=CC(OCCO)=C1	training	1
13	n.a.	COC1=CC(OC)=CC(N(CC2CC2)C2=CC3=C(C=C2)N=CC(C2=CN(CC(=O)NCCO)N=C2)=N3)=C1	training	1
14	n.a.	CNC(=O)OCCN(C1=CC(OC)=CC(OC)=C1)C1=CC2=C(C=C1)N=CC(C1=CN(C)N=C1)=N2	training	1
15	n.a.	COC1=CC(N(CCCN2CCCC2)C2=CC3=C(C=C2)N=CC(C2=CN(C)N=C2)=N3)=CC(C(=O)N2CCCC2)=C1	training	1
16	n.a.	COC1=CC(OC)=CC(N(CCCO)C2=CC3=C(C=C2)N=CC(C2=CN(CCO)N=C2)=N3)=C1	training	1
17	n.a.	COC1=CC(OC)=CC(N(CCCN2CCCC2)C2=CC3=C(C=C2)N=CC(C2=CNN=C2)=N3)=C1	training	1
18	n.a.	COC1=CC(OC)=CC(N(CC2CC2)C2=CC3=C(C=C2)N=CC(C2=CN(CC(=O)N4CCC(O)C4)N=C2)=N3)=C1	training	1
19	n.a.	C#CCN(C1=CC(OC)=CC(OC)=C1)C1=CC2=C(C=C1)N=CC(C1=CN(C)N=C1)=N2	training	1
20	n.a.	COC1=CC(OC)=CC(N(CCN2CCC(O)C2)C2=CC3=C(C=C2)N=CC(C2=CN(C)N=C2)=N3)=C1	training	1
21	n.a.	COC1=CC(N(CC2CC2)C2=CC3=C(C=C2)N=CC(C2=CN(C)N=C2)=N3)=CC(C2OCCO2)=C1	training	1
22	n.a.	COC1=CC(CCC2=CC(NC3=C4C=CC=CC4=NC=N3)=NN2)=CC(OC)=C1	training	1
23	n.a.	CN(C)CCNC1=CC(C2=NC(NC3=CC(Cl)=CC=C3)=CN=C2)=CN=C1	training	1
24	n.a.	COC1=CC(OC)=CC(N(CCCN2CCC(N3CCCCC3)C2)C2=CC3=C(C=C2)N=CC(C2=CN(C)N=C2)=N3)=C1	training	1
25	n.a.	COC1=CC(OC)=CC(N(CCN2CCC(N)C2)C2=CC3=C(C=C2)N=CC(C2=CN(C)N=C2)=N3)=C1	training	1
26	n.a.	COC1=CC(OC)=CC(N(CC(=O)NCCN2CCCC2)C2=CC3=C(C=C2)N=CC(C2=CN(C)N=C2)=N3)=C1	training	1
27	n.a.	COC1=CC(N(CCO)C2=CC3=C(C=C2)N=CC(C2=CN(C)N=C2)=N3)=C(Cl)C=C1	training	1
28	n.a.	COC1=CC(N(CCO)C2=CC3=C(C=C2)N=CC(C2=CN(C)N=C2)=N3)=CC(O)=C1	training	1
29	n.a.	COC1=CC(N(CCNC(C)C)C2=CC3=C(C=C2)N=CC(C2=CN(C)N=C2)=N3)=CC=C1	training	1
30	n.a.	CN1C=C(C2=NC3=C(C=CC(N(CCCNCC(F)(F)F)C4=CC(Cl)=CC(Cl)=C4)=C3)N=C2)C=N1	training	1
31	n.a.	COC1=CC(OC)=CC(N(CCN(C)C)C2=CC3=C(C=C2)N=CC(C2=CN(C)N=C2)=N3)=C1	training	1
32	n.a.	COC1=CC(OC)=CC(N(CCCNCC(C)(F)F)C2=CC3=C(C=C2)N=CC(C2=CN(C)N=C2)=N3)=C1	training	1
33	n.a.	COC1=CC(OC)=CC(N(CCN2CC3CC2CN3)C2=CC3=C(C=C2)N=CC(C2=CN(C)N=C2)=N3)=C1	training	1
34	n.a.	CC(=O)NC1=NC2=C(N=C(C3=CNC4=C3C=CC=C4)N2)C(O)=N1	training	1
35	n.a.	CC(=O)NC1=NC2=C(N=C(C3=C(C)C=C(C)C=C3)N2)C(O)=N1	training	1
36	n.a.	NC1=NC2=C(N=C(C3=CNC4=C3C(Br)=CC=C4)N2)C(O)=N1	training	1
37	n.a.	COC1=C(OC)C(C2=NC3=C(N=C(N)N=C3O)N2)=CC=C1	training	1
38	n.a.	CC1=NC2=C(C=CC(N3N=CC(C(=O)C4=CC5=C(C=C(I)C=C5)N4)=C3N)=C2)N1	training	1
39	n.a.	CC1=NC2=C(C=CC(N3N=CC(C(=O)C4=CC5=C(C=C(C6=CN(C)N=C6)C=C5)N4)=C3N)=C2)N1	training	1
40	n.a.	CC1=NC2=C(C=CC(N3N=CC(C(=O)C4=CC5=C(C=C(C6=CC=CS6)C=C5)N4)=C3N)=C2)N1	training	1
41	n.a.	C#CC1=CC(NC2=C3C=C(OCCCCCCC(=O)NO)C(OC)=CC3=NC=N2)=CC=C1	training	1
42	n.a.	CC1CC1C(=O)N1CCN(C2=NC(C3=CN(C)N=C3)=C(C#N)N=C2)CC1C	training	0
43	n.a.	CCC1=C(C2=NC3=C(C=CC(N(CCO)C4=CC(OC)=CC(OC)=C4)=C3)N=C2)C=NN1C	training	1
44	n.a.	COC1=CC(OC)=CC(N(CC#CC2(O)CCNC2)C2=CC3=C(C=C2)N=CC(C2=CN(C)N=C2)=N3)=C1	training	1
45	n.a.	COC1=CC(OC)=C(Cl)C(N(CC#CC2=C(OC)C=CC=N2)C2=CC3=C(C=C2)N=CC(C2=CN(C)N=C2)=N3)=C1Cl	training	1
46	n.a.	COC1=CC(OC)=CC(N(CCC(=O)N(C)OC)C2=CC3=C(C=C2)N=CC(C2=CN(C)N=C2)=N3)=C1	training	1
47	n.a.	COC1=CC(OC)=CC(N(CC2=NC(OC)=CC(OC)=N2)C2=CC3=C(C=C2)N=CC(C2=CN(C)N=C2)=N3)=C1	training	1
48	n.a.	COC1=CC(OC)=CC(N(CC2=CC3=C(C=CC=N3)N2C)C2=CC3=C(C=C2)N=CC(C2=CN(C)N=C2)=N3)=C1	training	1
49	n.a.	COC1=CC(OC)=CC(N(CC#CCO)C2=CC3=C(C=C2)N=CC(C2=CN(C)N=C2)=N3)=C1	training	1
50	n.a.	C#CCN(C1=CC2=C(C=C1)N=CC(C1=CN(C)N=C1)=N2)C1=C(F)C(OC)=CC(OC)=C1F	training	1
51	n.a.	COC1=CC(OC)=C(F)C(N(CC#CC2=C(OC)C=CC=N2)C2=CC3=C(C=C2)N=CC(C2=CN(C)N=C2)=N3)=C1F	training	1
52	n.a.	COC(=O)C1=NC(C#CCN(C2=CC(OC)=CC(OC)=C2)C2=CC3=C(C=C2)N=CC(C2=CN(C)N=C2)=N3)=NC=C1	training	1
53	n.a.	CNC(=O)C1=CC(N(CC(O)CO)C2=CC3=C(C=C2)N=CC(C2=CN(C)N=C2)=N3)=CC(OC)=C1	training	1
54	n.a.	COC1=CC(OC)=CC(N(CC#CC2=CN(C)N=C2)C2=CC3=C(C=C2)N=CC(C2=CN(C)N=C2)=N3)=C1	training	1
55	n.a.	COC1=CC(OC)=CC(N(CC2=NC(N(C)C)=CC=C2)C2=CC3=C(C=C2)N=CC(C2=CN(C)N=C2)=N3)=C1	training	1
56	n.a.	OCCCCNC1=CC(C2=NC(NC3=CC(Cl)=CC=C3)=CN=C2)=CN=C1	training	1
57	n.a.	COC1=CC2=C(NC3=CC(OC)=C(Cl)C=C3Cl)C(C#N)=CN=C2C=C1OCCCN1CCN(C)CC1	training	0
58	n.a.	O=C(C1=CC=C(C=CC2=NNC3=C2C=CC=C3)C=C1)N1CCNCC1	training	1
59	n.a.	CC(C)N1N=C(C2=CC3=C(C=CC(O)=C3)N2)C2=C1N=CN=C2N	training	1
60	n.a.	C=CC(=O)NC1=CC(CCN2C(=O)C(C3=C(Cl)C=CC=C3)=CC3=C2N=C(NCCCCN(CC)CC)N=C3)=CC=C1	training	1
