id	cas	smiles	status	exp values
1	n.a.	CC(C)(OC1=CC=C(CCNC(=O)C2=CC=C(Cl)C=C2)C=C1)C(=O)O	training	0
2	n.a.	CC12CC3=C(C=C1CCCC2C(O)C1=CC(O)=CC=C1)N(C1=CC=C(F)C=C1)N=C3	training	1
3	n.a.	CC1=C(N(CC2=CC=CC=C2)CC2=CC=CC=C2)C(C)=C(NS(C)(=O)=O)C=C1	training	1
4	n.a.	CCC(C)(C)C(O)(CC1=CC2=C(C=NC=C2)N1)CC(C)(C)C1=C(OC)C=CC(F)=C1	training	1
5	n.a.	CCN(CC)C1=C(C2=CC=CS2)C=C2C=CC(=O)OC2=C1	training	1
6	n.a.	CCC1C(O)C2C3CCC(C(C)CCC(=O)O)C3(C)CCC2C2(C)CCC(O)CC12	training	0
7	n.a.	CC#CC1(O)CCC2(CC3=CC=CC=C3)C3=C(C=C(C(=O)NCC4=CC=NC=C4)C=C3)CCC2C1	training	1
8	n.a.	CC#CC1(O)CCC2(C)C3=C(C=C(O)C=C3)CCC2C1	training	1
9	n.a.	CNC(=O)CN1C=C(C2CC2)C(OC2=CC=C(C#N)C=C2)=C1C1CC1	training	0
10	n.a.	CCCCC1OC2=C(C=C(C)C=C2)C2=C1C1=C(C=C2)NC(C)(C)C=C1C	training	1
11	n.a.	O=C(NN=CC1=C(O)C=CC(Br)=C1)C1=C(O)C=C2C=CC=CC2=C1	training	0
12	n.a.	O=C(O)CC1=CC=C(N(CC2=CC=CC=C2)CC2=CC=C(OC3=CC=CC=C3)C=C2)C=C1	training	1
13	n.a.	COC1=C(C(C)(C)CC(O)(CC2=CC(C#N)=CC(Cl)=C2)C(F)(F)F)C=C(F)C=C1	training	1
14	n.a.	CC1=CN(C2=CC(C(F)(F)F)=CC(NC(=O)C3=CC(NC4=NC(C5=CN=CC=C5)=CC=N4)=C(C)C=C3)=C2)C=N1	training	0
15	n.a.	CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CSC1=CC(Cl)=C(Cl)C=C1	training	1
16	n.a.	CCC1OC2(CCCC3=CC4=C(C=NN4C4=CC=C(F)C=C4)CC32C)OC1CC	training	1
17	n.a.	CC1=NC(C)=C(NC(=O)C2=CC3=C(C=C2)C2(CC4=CC=CC=C4)CCC(O)(C(F)(F)F)CC2CC3)N=C1	training	1
18	n.a.	C=C1CC(CO)CC(C)(C)C1CC1=C(O)C=C(Br)C(OC)=C1	training	1
19	n.a.	CC1=C(N(CC2=CC=C(CCCC(=O)O)C=C2)CC2=CC=C(OC3=CC=CC=C3)C=C2)C=CC=C1NS(C)(=O)=O	training	1
20	n.a.	COC1=C(C2=CC3=C(C=C2)NC(C)(C)C=C3CSC2=CC=CC=C2)C=CC=C1	training	1
21	n.a.	CCC(C)=C1OC2=C(C=C(F)C=C2)C2=C1C1=C(C=C2)NC(C)(C)C=C1C	training	1
22	n.a.	CC1=C(C2=CC3=C(C=C2)NC(C)(C)C(=O)C3(C)C)SC(C#N)=C1	training	1
23	n.a.	COC1=CC2=C(C=C1)C1=C(C3=C(C=C1)NC(C)(C)C=C3C)C(C1=CC=CC=C1)O2	training	1
24	n.a.	CC(C)C1(C)SC(NC2CC3CCC2C3)=NC1=O	training	0
25	n.a.	CC1(C)OC(=O)NC2=C1C=C(C1=CC(Cl)=C(F)C=C1)C=C2	training	1
26	n.a.	CC1(C)OC(=O)NC2=C1C=C(C1=CSC(C#N)=C1)C=C2	training	1
