id	cas	smiles	status	exp values
1	n.a.	CC1NC(=O)CC2/C=C/CCSSCC(NC1=O)C(=O)NC(C(C)C)C(=O)NCC(=O)O2	training	1
2	n.a.	O=C(C=CC1=CC=C(CN(CCCC2=CC=CC=C2)CC2=NC=CC=C2)C=C1)NO	training	1
3	n.a.	O=C(C=CC1=CC=C(NCCCC2=CNC3=C2C=CC=C3)C=C1)NO	training	1
4	n.a.	CCSC(=S)SCC(=O)NC1=CC(Cl)=C(Cl)C=C1	training	1
5	n.a.	CSC(=S)SCC(=O)C1=CC(Cl)=C(Cl)C=C1	training	1
6	n.a.	O=C(C=CC1=CC=C(CN(CCC2=CNC3=C2C=CC=C3)C(CO)CO)C=C1)NO	training	1
7	n.a.	O=C(C=CC1=CN=C(N2CCN(S(=O)(=O)C3=CC=C(F)C=C3)CC2)S1)NO	training	1
8	n.a.	CC1=CC=C(S(=O)(=O)N2CCN(C3=NC=C(C=CC(=O)NO)S3)CC2)C=C1	training	1
9	n.a.	O=C(NO)C1=CN=C(N2CCN(CCC3=CC=CC=C3)CC2)S1	training	0
10	n.a.	O=C(C=CC1=CC=C(CNCCOC2=CC=CC=C2)C=C1)NO	training	1
11	n.a.	O=C(C=CC1=CN=C(N2CCN(S(=O)(=O)C3=CC=C([N+](=O)[O-])C=C3)CC2)S1)NO	training	1
12	n.a.	O=C(C=CC1=CN=C(N2CCN(S(=O)(=O)C3=CC=CC=C3)CC2)S1)NO	training	1
13	n.a.	O=C(C=CC1=CN=C(N2CCN(S(=O)(=O)C3=CC=C(C4=CC=CC=C4)C=C3)CC2)S1)NO	training	0
14	n.a.	O=C(CCCCCCC1=NC=C(C2=CC=C(Br)C=C2)O1)NO	training	1
15	n.a.	O=C(NO)C1=CN=C(N2CC3CN(CC4=CC5=C(C=CC=C5)C=C4)CC3C2)C=C1	training	1
16	n.a.	O=C(CCC1=CCCN(CC2=CC=CC=C2)C1=O)NO	training	1
17	n.a.	CC(C)CC(N)C(=O)NCC(=O)NC1CC(C(=O)NO)N(S(=O)(=O)C2=CC=C(Cl)C=C2)C1	training	0
18	n.a.	O=C(NO)C1=CN=C(N2CC3C(CNCC4=CC5=C(C=CC=C5)C=C4)C3C2)N=C1	training	1
19	n.a.	O=C(NO)C1=CN=C(N2CC3C(C2)C3NCC2=CC(F)=CC(F)=C2)N=C1	training	1
20	n.a.	O=C(CBr)NCCCCCCC(=O)NC1=CC=CC=C1	training	0
21	n.a.	COC1=C(NC(=O)NCCCCCC(=O)NO)C=C(C2=NC3=C(C=CC=C3)O2)C=C1	training	1
22	n.a.	O=C(NO)C1=CC=C(C2=NN(CCC3=CC=CC=C3)C=C2)S1	training	1
23	n.a.	CSCC(=O)CCCCCCC(=O)NC1=CC=CC=C1	training	0
24	n.a.	O=C(NO)C1=CC=C(C2=NN(CCNCC3=CC=C(N4C=CN=C4)C=C3)C=C2)S1	training	1
25	n.a.	O=C(CCCCCCNC(=O)C1=CC2=C(C=CC(Cl)=C2)O1)NO	training	1
26	n.a.	O=C(CCCCCCNC(=O)C1=C2C=CNC2=CC=C1)NO	training	1
27	n.a.	O=C(C=CCCCCOC1=CC=C(C2=CC=CC=C2)C=C1)C(F)(F)F	training	1
28	n.a.	NC1=C(NC(=O)CCCCCCC(=O)C2=CC=C(C3=CN=CC=C3)C=C2)C=CC=C1	training	0
29	n.a.	O=C(CCCCCCNC(=O)C(F)(F)F)NC1=CC=CC=C1	training	0
30	n.a.	CC1=C(C2=CN(CCCCCCC(=O)NO)N=N2)C=CC=C1	training	1
31	n.a.	O=C(CCCCCCCCN1C=C(C2=CC(C3=CC=CC=C3)=CC=C2)N=N1)NO	training	1
32	n.a.	NC1=C(NC(=O)CCCCCN2C(=O)C3=C(C=CC=C3)C2=O)C=CC=C1	training	1
33	n.a.	CC(C)C1=CC=C(S(=O)(=O)N2CCC(CCCC(=O)NO)CC2)C=C1	training	1
34	n.a.	CC1=C2C=CC=CC2=CC(S(=O)(=O)N2CCC(CCCC(=O)NO)CC2)=C1	training	1
35	n.a.	O=C(CCCC1CCN(S(=O)(=O)C2=CC3=C(C=CC=C3)C=C2)CC1)NO	training	1
36	n.a.	O=C(NO)C1=CC(C2=CN(CSC3=CC=CC=C3)N=N2)=CC=C1	training	0
37	n.a.	O=C(CCCCCCC1=NN=C(C2=CC=C(C3=CC=CC=C3)C=C2)O1)C1=NC=CO1	training	1
38	n.a.	O=C(NO)C1=CN=C(N2CCN(C(C=CC3=CC=C(C(F)(F)F)C=C3)CO)CC2)N=C1	training	1
39	n.a.	CCC(C)C1CC(=O)NCC(=O)NC(CCCCCC(=O)NO)C(=O)NC(CC2=CC3=C(C=CC=C3)N2)C(=O)N1	training	1
40	n.a.	CCC(C)C1CC(=O)NCC(=O)NC(CCCCCC(N)=O)C(=O)NC(CC2=CC3=C(C=CC=C3)N2)C(=O)N1	training	1
41	n.a.	CC1=CC(NC(=O)CCCCC(=O)NO)=C(C)C=C1	training	1
42	n.a.	[C-]#[N+]C1=CC=C(C(=O)CSC(=S)SCC)C=C1	training	1
43	n.a.	CCSC(=S)SCC(=O)C1=CC(OC)=C(OC)C=C1	training	1
44	n.a.	C#CC1=CC(NC2=C3C=C(OC)C(OCCCCCCC(=O)NO)=CC3=NC=N2)=CC=C1	training	1
45	n.a.	O=C(C=CC1=CC(S(=O)(=O)N2C=CC3=C2C=NC=C3)=CC=C1)NO	training	1
46	n.a.	O=C(C=CC1=CC=C(S(=O)(=O)N2C=CC3=C2C=NC=C3)C=C1)NO	training	1
47	n.a.	CNC(=O)C(C=CC1=CC=CC=C1)N1CCN(C2=NC=C(C(=O)NO)C=N2)CC1	training	1
48	n.a.	COC1=C(OCC(=O)NC2=CC(C(F)(F)F)=CC=C2)C=C(C=CC(=O)NC2=C(N)C=CC=C2)C=C1	training	0
49	n.a.	CC1=C(NC2=NC(C3=CN=CC=C3)=CC=N2)C=C(NC(=O)C2=CC=C(CN3CCN(C)CC3)C=C2)C=C1	training	0
50	n.a.	CC1=C(NC2=NC=C(C3=CN=CC=C3)C=N2)C=C(NC(=O)C2=CN=C(C(=O)NC3=C(N)C=CC=C3)C=C2)C=C1	training	1
51	n.a.	CN(C)C1=CC=C(NC(=O)CCCCCC=C(F)CS)C=C1	training	1
52	n.a.	CC(C)CC(N)C(=O)NCC(=O)NC1CC(C(=O)NO)N(S(=O)(=O)C2=CC=CC=C2)C1	training	0
53	n.a.	COC1=C(NC(=O)CCCCCC(=O)NC2=CC=CC=C2)C=CC=C1	training	0
54	n.a.	CCC(=O)CCCCCC1NC(=O)C(C)N(C)C(=O)CCN(CC(C)C)C(=O)CN(CC2CCCCC2)C1=O	training	0
55	n.a.	COC1=CC=C(CN2C=CC3=C2C=C(C(=O)NO)C=C3)C=C1	training	0
56	n.a.	O=C(CCCCCCN1C=C(C2=CC=C(C3=CC=NC=C3)C=C2)N=N1)NO	training	1
57	n.a.	O=C(CCCCCN1C=C(C2=CN=CC=C2)N=N1)NO	training	1
58	n.a.	O=C(CCCCCCB(O)O)NC1=CC(C2=CC=CC=C2)=CC=C1	training	0
59	n.a.	O=C(CCC1=CCCN(CCC2=CC=CC=C2)C1=O)NO	training	1
60	n.a.	O=C(CC1=CCCN(CCC2=CC=CC=C2)C1=O)NO	training	0
61	n.a.	CN1CCC2(CC1)CC(=O)C1=C(C=CC(C=CC(=O)NO)=C1)O2	training	1
62	n.a.	NCCNC(=O)CCCCCCC(=O)NC1=CC=CC=C1	training	0
63	n.a.	COC1=CC=C(C2=C3C(=CC(NC(=O)NCCC(=O)NO)=N2)C2=C(C=CC=C2)N3C)C=C1	training	1
64	n.a.	COC1=CC=C(C2=C3NC4=C(C=CC=C4)C3=CC(NC(=O)NCCCC(=O)NO)=N2)C=C1	training	1
65	n.a.	CCC(=O)CCCCCC1NC(=O)C2CCCCN2C(=O)C(C(C)CC)NC(=O)C(CC(=O)C(C)(C)C)NC1=O	training	1
66	n.a.	O=C(C=CC1=CC=C(CN(CCC2=CNC3=C2C=CC=C3)C2CCOCC2)C=C1)NO	training	1
67	n.a.	CCCC(=O)NCC1=CC=C(C(=O)NC2=C(N)C=CC=C2)C=C1	training	1
68	n.a.	CCCC(=O)NC1=CC=C(CCC(=O)NO)C=C1	training	1
69	n.a.	O=C(C=CC1=CC=CN(CC2=CC=NC=C2)C1=O)NO	training	1
70	n.a.	CC(C)(C)C1=CC=C(CCCN2C=CC=C(C=CC(=O)NO)C2=O)C=C1	training	1
71	n.a.	CC(C)CC1CC(=O)N(C(CC2=CC=CC=C2)C(=O)NCCCCCC(=O)NO)C1=O	training	1
72	n.a.	CN1CCN(C2=CC=CC=C2C(=O)C=CC2=CN=C(C=CC(=O)NO)C=C2)CC1	training	1
73	n.a.	NC1=C(NC(=O)C2=CC=C(CNC(=O)OCC3=CN=CC=C3)C=C2)C=C(Cl)C=C1	training	1
74	n.a.	O=C(O)C(=O)NCCSSCCNC(=O)C(CC1=CC(Br)=C(O)C=C1)=NO	training	1
75	n.a.	O=C(CCC1=CCCN(CCC2=CC=C(C3=CC=CC=C3)C=C2)C1=O)NO	training	1
76	n.a.	CSCCC(N)C(=O)NCC(=O)NC1CC(C(=O)NO)N(S(=O)(=O)C2=CC=C(Cl)C=C2)C1	training	0
77	n.a.	CCC(C)C(N)C(=O)NCC(=O)NC1CC(C(=O)NO)N(S(=O)(=O)C2=CC=C(Cl)C=C2)C1	training	0
78	n.a.	CC(C)CC1CC(=O)NC(C)C(=O)NC(CCCCCC(=O)O)C(=O)NC(CC2=CC=CC=C2)C(=O)N1	training	1
79	n.a.	O=C(NO)C1=CC(C2=CN(CCC3=CSC=C3)N=N2)=CC=C1	training	0
80	n.a.	O=C(CCC1=CCCN(CCCCC2=CC=CC=C2)C1=O)NO	training	1
81	n.a.	O=C(CCCCCCOC1=CC=C(C2=CC=CC=C2)C=C1)C(F)(F)F	training	1
82	n.a.	NC1=C(NC(=O)CCCCCN2C=NC3=C(C=CC=C3)C2=O)C=CC=C1	training	1
83	n.a.	O=C(C=CC1=CC(S(=O)(=O)N2CCN(C3=NC=CC=C3)CC2)=CC=C1)NO	training	1
84	n.a.	COC1=CC=C(CN2CC3CN(C4=NC=C(C(=O)NO)C=N4)CC3C2)C=C1	training	1
85	n.a.	O=C(NO)C1=CN=C(N2CC3CN(C(=O)CCCOC4=CC=CC=C4)CC3C2)N=C1	training	1
86	n.a.	O=C(NO)C1=CC2=C(C=CS2)S1	training	1
87	n.a.	CC1=C(F)C2=C(C=C1)C=C(C(=O)NO)S2	training	1
88	n.a.	COC(=O)C(CC1=CC(CC(NC(C)=O)C(=O)O)=CC=C1)NC(=O)C(N)CCCCCC(=O)NO	training	1
89	n.a.	COC1=C(OC)C=C(S(=O)(=O)N2CCC(CCCC(=O)NO)CC2)C=C1	training	1
90	n.a.	CC1=CC=C(OCCCN(CC2=CC=C(C3=CC=CC=C3)C=C2)CC2=CC=C(C=CC(=O)NO)O2)C=C1	training	1
91	n.a.	CC1=CC=C(OCCN(CC2=CC=C(C3=CC=CC=C3)C=C2)CC2=CC=C(C=CC(=O)NO)O2)C=C1	training	1
92	n.a.	CCCCCCCCN(CC1=CC=CC=C1)CC1=CC=C(C=CC(=O)NO)O1	training	1
93	n.a.	O=C(CCCCCCC(=O)NC1=CC=CC=C1)NOC(=O)C1=CSC(=S)S1	training	1
94	n.a.	O=C(C=CC=CC1=CC=C(Cl)C=C1)NO	training	1
95	n.a.	C#CC1=CC(NC2=C3C=CC(NC(=O)C4=CN=C(C(=O)NC5=C(N)C=CC=C5)C=C4)=CC3=NC=N2)=CC=C1	training	1
96	n.a.	O=C(CCCCCN1C=C(C2=NC3=C(C=CC=C3)C=C2)N=N1)NO	training	1
97	n.a.	O=C(CCCCCN1C=C(C2=CC=NC=C2)N=N1)NO	training	1
98	n.a.	C#CCN(CC#C)CCCCCC(=O)NC1=CC=CC=C1	training	0
99	n.a.	CN(C)C1=CC=C(NC(=O)CCCCCCS)C=C1	training	1
100	n.a.	O=C(CCCCCCS)NC1=CC(C2=CC=CC=C2)=CC=C1	training	1
101	n.a.	O=C(CCCCCCNC(=O)C1=CC2=C(C=CC=C2)C=C1)NO	training	1
102	n.a.	O=C(CCC1=CC=CC=C1)NC1=CC=C(C(=O)NO)C=C1	training	1
103	n.a.	CN1CCN(CC2=CC(C(=O)C=CC3=CC=C(C=CC(=O)NO)C=C3)=CC=C2)CC1	training	1
104	n.a.	CN1CCN(CC2=CC=C(C(=O)C=CC3=CN=C(C=CC(=O)NO)C=C3)C=C2)CC1	training	1
105	n.a.	CCC(C)C(C1=NC2=C(C=CC=C2)O1)N1C=C(C=CC(=O)NO)N=N1	training	1
106	n.a.	CC(=O)SCC(=O)C1=CN=C(NS(=O)(=O)C2=CC=C(OC3CCCN(C)C3)C=C2)C=C1	training	1
107	n.a.	NC1=C(NC(=O)CCCCCCC(=O)C2=CC=C(C3=CC=CC=C3)C=C2)C=CC=C1	training	1
