id	cas	smiles	status	exp values
1	n.a.	CC(C(O)C1=CC=C(O)C=C1)N1CCC(O)(C2=CC=CC=C2)CC1	training	1
2	n.a.	COC1=CC=C(C(O)CC2C3=C(C=C(OC)C(OC)=C3)CCN2C)C=C1	training	1
3	n.a.	CN1C=NC(C2=C(CC(N)C(=O)O)C(O)=NO2)=N1	training	0
4	n.a.	CN1N=NN=C1C1=C(CC(N)C(=O)O)C(O)=NO1	training	0
5	n.a.	N=C(NC1=C(I)C=CC=C1)NC1C2CC3CC(C2)CC1C3	training	0
6	n.a.	CC(C)C12CC3CC(CC(N)(C3)C1)C2	training	1
7	n.a.	CC(C)C1=CC=CC(NC(=N)NC2=CC=CC(C(C)C)=C2)=C1	training	1
8	n.a.	CNC1=CC2=C(C=C1)CC1C3CCCCC23CCN1C	training	1
9	n.a.	CC1=C([N+](=O)[O-])C2=C(C=C1F)N=C(O)C(O)=N2	training	1
10	n.a.	O=NC1=C(O)C2=C(N=C1O)C(F)=C(Cl)C(F)=C2	training	1
11	n.a.	OC1=C(O)N=C2C=C3OCOC3=CC2=N1	training	0
12	n.a.	OC1=C(C2=CC(OC3=CC=CC=C3)=CC=C2)C(O)=C2C=CN=CC2=N1	training	1
13	n.a.	COC1=C([N+](=O)[O-])C2=C(C=C1F)N=C(O)C(O)=N2	training	1
14	n.a.	O=[N+]([O-])C1=C(O)C2=C(C=C(Cl)C=C2)N=C1O	training	1
15	n.a.	CCC1=C(Cl)C([N+](=O)[O-])=C2N=C(O)C(O)=NC2=C1	training	1
16	n.a.	CC1=C([N+](=O)[O-])C2=C(C=C1C#N)N=C(O)C(O)=N2	training	1
17	n.a.	OC1=C(O)N=C2C(Cl)=CC(Cl)=CC2=N1	training	1
18	n.a.	NC(CCCCC1=NN=NN1)C(=O)O	training	1
19	n.a.	CSC1=CC=C(N2CCN(CC3=CNC4=C3C=CC=N4)CC2)C=C1	training	0
20	n.a.	CC(C(O)C1=CC=C(O)C=C1)N1CCC(CC2=CC=CC=C2)CC1	training	1
21	n.a.	CC1=C(N=C(N)NC2=C(C)C=C([N+](=O)[O-])C=C2)C=CC=C1	training	1
22	n.a.	N=C(NC1=CC=CC=C1CCC1=CC=CC=C1)NC12CC3CC(CC(C3)C1)C2	training	0
23	n.a.	CC1=C(N=C(N)NC2CC3CCC2(C)C3(C)C)C=CC=C1	training	1
24	n.a.	O=C(C1=CC2=C(C=C(O)C=C2)N1)N1CCC(CC2=CC=CC=C2)CC1	training	1
25	n.a.	CC12CC3CC(C)(C1)CC(N=C(N)NC1=CC=CC=C1C=CC1=CC=CC=C1)(C3)C2	training	0
26	n.a.	O=C(C1=CC2=C(N1)C(O)=CC(O)=C2)N1CCC(CC2=CC=CC=C2)CC1	training	1
27	n.a.	CC(C)C1=CC=C(NC(=N)NC2=CC=C(C(C)C)C=C2)C=C1	training	0
28	n.a.	C1=CC=C(C2=CC=C(N3CCN(CC4=CNC5=C4C=CC=N5)CC3)C=C2)C=C1	training	0
29	n.a.	NCCCCC12CC3CC(CC(C3)C1)C2	training	0
30	n.a.	O=C(C1=CC2=C(C=CC(O)=C2)N1)N1CCC(CC2=CC=CC=C2)CC1	training	1
31	n.a.	N=C(N)NN=CC1=CC=CN1	training	0
32	n.a.	N=C(N)NN=CC1=C(Cl)C=C(Cl)C=C1	training	0
33	n.a.	N#CC1=CC(C=NNC(=N)N)=CC=C1	training	0
34	n.a.	CC(C)C1=CC=C(C=NNC(=N)N)C=C1	training	1
35	n.a.	OC1=C(C2=CC(OC3=CC=CC=C3)=CC=C2)C(O)=C2C=C(Cl)C=NC2=N1	training	0
36	n.a.	NS(=O)(=O)C1=C2C(=CC=C1)C1=C(C=C2[N+](=O)[O-])N=C(O)C(O)=N1	training	0
37	n.a.	OC1=CC=C(C(O)CCN2CCC(CC3=CC=CC=C3)CC2)C=C1	training	1
38	n.a.	CC1=C(N)C=C(N2CCC3=C(C=CC=C3)C2)N=C1	training	1
39	n.a.	ClC1=CC=C(N2CCN(CC3=CNC4=C3C=CC=N4)CC2)C=C1	training	0
40	n.a.	CCCC1=CC=C(N2CCN(CC3=CNC4=C3C=CC=N4)CC2)C=C1	training	0
41	n.a.	OC(CCN1CCCC1)(C1=CC=CC=C1)C1CCCCC1	training	1
42	n.a.	N=C(NC1=C2C=CC=CC2=CC=C1)NC1=C2C=CC=CC2=CC=C1	training	1
