id	cas	smiles	status	exp values
1	n.a.	CCCC1=C(OCCCOC2=CC3=C(C=C2)CCC(C)(C(=O)O)O3)C=CC(OC2=CC=CC=C2)=C1	training	1
2	n.a.	O=C(O)C(CC1=C(Br)C=CC=C1)OC1=CC=C(Cl)C=C1	training	1
3	n.a.	CCCC1=C(CC(OC2=CC=C(Cl)C=C2)C(=O)O)C=CC=C1	training	1
4	n.a.	CC(C)(CCCOC1=CC=C(C(=O)C=CC2=CC=CC=C2)C=C1)C(=O)O	training	0
5	n.a.	CCCC1=C(OC(C(=O)O)C2=CC=C(C(C)C)C=C2)C(CCC)=C2OC(=O)N(C)C2=C1	training	1
6	n.a.	CCCC1=C(OC(C(=O)O)C2=CC=C(CC(C)C)C=C2)C(CCC)=C2ON(C(C)C)C(=O)C2=C1	training	1
7	n.a.	CC=CC=CC(=O)N1CC2=C(C=CC(OCCC3=C(C)OC(C=CCC(C)C)=N3)=C2)CC1C(=O)O	training	1
8	n.a.	CC(C)C1=C(CCC2=NOC3=C2C=CC(OC(C)(C)C(=O)O)=C3)N=C(C2=C(Cl)C=CC=C2Cl)O1	training	0
9	n.a.	CC1=C(C(=O)NC2CCCN(C3=CC(C(=O)O)=CC=C3)C2)SC(C2=CC=CC=C2)=N1	training	1
10	n.a.	COC1=CC=C(C2=NC(C)=C(C(=O)NC3CCCN(C4=CC(C(=O)O)=CC=C4)C3)S2)C=C1	training	1
11	n.a.	COC1=C(OCCCOC2=CC3=C(C=C2)C(CC(=O)O)CC3)C=CC(C2=NC(C)=C(C(=O)N(C)C)S2)=C1	training	1
12	n.a.	CC1=C(C(=O)NCC2=CC=C(OC(C)(C)C(=O)O)C=C2)SC(C2=CC=C(O)C=C2)=N1	training	0
13	n.a.	CC1=C(CCOC2=CC=C(CC(NC3=CC=CC=C3C(=O)C3=CC=CC=C3)C(=O)O)C=C2)N=C(C2=CC=NC=C2)O1	training	1
14	n.a.	CC1=C(CCOC2=CC=C(CC(NC3=CC=CC=C3C(=O)C3=CC=CC=C3)C(=O)O)C=C2)N=C(N2CCOCC2)S1	training	1
15	n.a.	CC1=CC(C2=NC(CCOC3=CC4=C(C=C3)C(CC(=O)O)CC4)=C(C)O2)=CC=C1	training	1
16	n.a.	O=C(O)CC1CCC2=C1C=CC(OCCC1=C(CCC3=CC=CC=C3)OC(C3=CC=CC=C3)=N1)=C2	training	1
17	n.a.	CC1=C(CCOC2=CC3=C(C=C2)C(CC(=O)O)CC3)N=C(C2=CC=CC=C2)S1	training	1
