id	cas	smiles	status	exp values
1	n.a.	CC1=CC(CN2N=CN(C3=CC=C(Cl)C=C3)C2=O)=CC(C)=C1OC(C)(C)C(=O)O	training	1
2	n.a.	CC1=C(OCC(=O)O)C=CC(CN2CC3=C(C=CC=C3)C2C(=O)NC2=C(Cl)C=C(Cl)C=C2)=C1	training	1
3	n.a.	CCC1=C(CCC(=O)O)C=CC(OCCC2=COC(C3=CC=C(C(F)(F)F)C=C3)=N2)=C1	training	1
4	n.a.	CC(C)C1=C(COC2=CC=C(COC3=CC(C(=O)O)=CC=C3)C=C2)C(C2=CC=CC=C2)=NO1	training	0
5	n.a.	CC1=C(CCCCCCOC(C)(C)C(=O)O)N=C(C2=CC=CC=C2)O1	training	0
6	n.a.	C=C(COC1=CC=C(OC(F)(F)F)C=C1)CSC1=CC(C)=C(OCC(=O)O)C=C1	training	1
7	n.a.	C=C(CSC1=CC=C(C(F)(F)F)C=C1)CSC1=CC(C)=C(OCC(=O)O)C=C1	training	1
8	n.a.	CC1=C(OCC(=O)O)C=CC(SCC2(COC3=CC=C(C(F)(F)F)C=C3)CC2)=C1	training	1
9	n.a.	CC1=C(OCC(=O)O)C=CC(SCC(COC2=CC=C(C(F)(F)F)C=C2)=C(F)F)=C1	training	1
10	n.a.	CC1=CC2=C(C=C1)N=C(N(CCOC1=CC=C(CCC(=O)O)C=C1)CC1=CC=CC=C1)S2	training	1
11	n.a.	O=C(O)CCC1=CC=C(OCCN(CC2=CC=C(C(F)(F)F)C=C2)C2=NC3=C(C=CC=C3)S2)C=C1	training	1
12	n.a.	O=C(NCCCS(=O)(=O)C1=NC=C(C(F)(F)F)C=C1)C1=CC=C(OC(F)(F)F)C=C1	training	1
13	n.a.	COC1=CC=C(C2=C(C3=CC=C(C(F)(F)F)C=C3)SC(COC3=CC(OCC(=O)O)=CC=C3)=N2)C=C1	training	0
14	n.a.	COC1=CC=C(C2=C(C3=CC=C(C(F)(F)F)C=C3)SC(COC3=C(OCC(=O)O)C=CC=C3)=N2)C=C1	training	0
15	n.a.	COC1=CC=C(C2=C(C3=CC=C(C(F)(F)F)C=C3)SC(COC3=CC=C(CC(=O)O)C=C3)=N2)C=C1	training	1
16	n.a.	O=C(O)CC1CCC2=C1C=CC(OCCCOC1=CC=C(C3=CC=CC=C3)C=C1)=C2	training	1
17	n.a.	COC1=C(OCCCOC2=CC3=C(C=C2)C(CC(=O)O)CC3)C=CC(C2=NC(C(F)(F)F)=CS2)=C1	training	1
18	n.a.	COC1=C(OCCCOC2=CC3=C(C=C2)C(CC(=O)O)CC3)C=CC(C)=C1	training	1
19	n.a.	O=C(O)CC1CCC2=C1C=CC(OCCCOC1=CC3=C(C=C1)NC=C3)=C2	training	1
20	n.a.	CCC(OC1=CC(CN(CCCOC2=CC=C(C)C=C2)C2=NC3=C(C=CC=C3)O2)=CC=C1)C(=O)O	training	1
21	n.a.	CCOC1=C(CNC(=O)C2=C(F)C=C(C34CC5CC(CC(C5)C3)C4)C=C2)C=C(CC(CC)C(=O)O)C(F)=C1	training	1
22	n.a.	CC(=O)C1=CC=C(C2=NC(N(C)CCCOC3=CC4=C(C=C3)C(CC(=O)O)CC4)=C(C)C=N2)C=C1	training	1
23	n.a.	O=C(O)COC1=C2CCCC2=C(SCC2=CC=CC(F)=C2OCC2=CC=C(C(F)(F)F)C=C2)C=C1	training	1
24	n.a.	O=C(O)CCC1=CC=C(OCCCN(CC2=CC=CC=C2)C2=NC3=C(C=CC=C3)S2)C=C1	training	1
25	n.a.	CC1=C(COCCOC2=C([N+](=O)[O-])C=C(C(F)(F)F)C=C2)C(C2=C(Cl)C=C(CC(=O)O)C=C2)=NO1	training	1
26	n.a.	CCCC1=C(OCCCOC2=CC=C(OCC(=O)OC)C=C2)C=CC(C(F)(F)F)=C1	training	1
