id	cas	smiles	status	exp values
1	n.a.	CC1=C(CCC(=O)O)C=CC(OCCC(C)OC2=CC=C(Cl)C=C2OC2=CC=CC=C2)=C1	training	1
2	n.a.	CCCC1=C(O)C(C(C)=O)=NC=C1OCCCOC1=CC=C(OCC(=O)OC)C=C1	training	1
3	n.a.	CCCC1=C(O)C(C(C)=O)=CC=C1OCCCOC1=CC=C(OCC(=O)OC)C=C1	training	1
4	n.a.	CC1=C(OCC(=O)O)C=CC(SCC2=C(C)N=C(C3=CC(F)=C(C(F)(F)F)C=C3)S2)=C1	training	1
5	n.a.	CC=CC=CC(=O)N1CC2=C(C=CC(OCCC3=C(C)OC(C=CCCC(C)C)=N3)=C2)CC1C(=O)O	training	1
6	n.a.	CC(C)(C)C1=C(CCC2=NOC3=C2C=CC(OC(C)(C)C(=O)O)=C3)N=C(C2=C(Cl)C=CC=C2)O1	training	0
7	n.a.	CC(C)C1=C(CCC2=NOC3=C2C=CC(OC(C)(C)C(=O)O)=C3)N=C(C2=C(Cl)C=C(Cl)C=C2)O1	training	0
8	n.a.	CC(C)C1=C(CCC2=NOC3=C2C=CC(OC(C)(C)C(=O)O)=C3)N=C(C2=C(Cl)C=CC=C2Cl)O1	training	0
9	n.a.	O=C(NS(=O)(=O)C1=CC(C(F)(F)F)=CC=C1)C1=CC2=C(C=CC=C2)N1CC1=CC(OCC2=CC=CC=C2)=CC=C1	training	1
10	n.a.	COC1=CC=C(C2=C(C(=O)NS(=O)(=O)C3=CC=C(F)C=C3)N(CC3=CC(C(F)(F)F)=CC=C3)C3=CC=CC=C32)C=C1	training	1
11	n.a.	CC(C)(OC1=CC=C(CNC(=O)C2=CN=C(C3=CC=CC=C3)S2)C=C1)C(=O)O	training	0
12	n.a.	CCC(CC1=CC(C(=O)NCC2=CC=C(OC3=CC=CC=C3)C=C2)=C(OC)C=C1)C(=O)O	training	1
13	n.a.	C1=CC2=C(C=C1)SC1=C(C=CC=C1)N2	training	0
14	n.a.	CC(C)(C)C1=C(O)C=CC(O)=C1	training	0
15	n.a.	CCOC(CC1=CC=C(OCCC2SC3=C(C=CC=C3)OC3=C2C=CC=C3)C=C1)C(=O)O	training	1
16	n.a.	CCCCC(CC1=C(OCCC2=CC=CC=C2)C(OCCC2=CC=CC=C2)=CC=C1)C(=O)O	training	1
17	n.a.	CCCCC(=CC1=C(OCCC2=CC=CC=C2)C=CC(OCCC2=CC=CC=C2)=C1)C(=O)O	training	1
18	n.a.	COC1=C(OCCOC2=C3C=CC=CC3=NC(C)=C2)C=CC(C2NC(=O)NC(C)=C2C(=O)O)=C1	training	1
19	n.a.	CCOC(=O)C1=C(C(CC)CC)C2=C(C=C(OCCCC3=CC=CC=C3)C=C2)C1=[N+](C)[O-]	training	1
20	n.a.	CC1=C(C(=O)O)C(C2=CC=C(OCCCN3C=CC4=C3N=CC=C4)C=C2)NC(=O)N1	training	1
21	n.a.	COC1=CC=C(C2=CC(COC3=CC(C)=C(OCC(=O)O)C=C3)=CC(C3=CC=C(OC)C=C3)=C2)C=C1	training	0
22	n.a.	CCC(OC1=CC(CN(CCCOC2=CC3=C(C=C2)OCO3)C2=NC3=C(C=CC=C3)O2)=CC=C1)C(=O)O	training	1
23	n.a.	CCC(OC1=CC(CN(CCCOC2=CC=CC=C2)C2=NC3=C(C=CC(F)=C3)O2)=CC=C1)C(=O)O	training	1
24	n.a.	CCOC(=O)C1=C(C2=CSC=C2)C2=C(C=C(OCCCC3=CC=CC=C3)C=C2)C1=[N+](C)[O-]	training	1
25	n.a.	CCCCC(CC1=CC(C(=O)NCC2=CC=C(C(F)(F)F)C=C2)=C(OC)C=C1)C(=O)O	training	1
26	n.a.	CCC(NC(=O)C1=CC2=C(C=C1)N(CC1=C(Cl)C=C(Cl)C=C1)C=N2)C1=CC=CC=C1	training	1
27	n.a.	CON=C(C(=O)OC)C1=C(CON=C(C)C2=CC(C(F)(F)F)=CC=C2)C=CC=C1	training	0
28	n.a.	COC1=C(CNC(=O)C2=CC=C(C(F)(F)F)C=C2)C=C(CC(C)C(=O)O)C=C1	training	0
29	n.a.	CCOCCC(=O)N1CC2=C(C=CC(OCCC3=C(C)OC(C=CCCC(C)C)=N3)=C2)CC1C(=O)O	training	1
30	n.a.	CC=CC=CC(=O)N1CC2=C(C=CC(OCCC3=C(C)OC(C(C)=CCCC(C)C)=N3)=C2)CC1C(=O)O	training	1
31	n.a.	CC=CC=CC(=O)N1CC2=C(C=CC(OCCC3=C(C)OC(C=CC(C)(C)CC)=N3)=C2)CC1C(=O)O	training	1
32	n.a.	CCCCCCC(SC1=NC(OCCC2=CC=CC=C2)=CC(OCCC2=CC=CC=C2)=N1)C(=O)O	training	1
33	n.a.	CCCCC(SC1=NC(OCCC(C)C)=CC(OCCC(C)C)=N1)C(=O)O	training	0
34	n.a.	COC(=O)C(CC1=CC=C(OCCOC2=CC3=C(C=C2)CCCN3)C=C1)C(=O)OC	training	1
35	n.a.	COC(=O)C1CC2=C(C=C(OCCC3=C(C)OC(C4=CC(OC)=CC=C4)=N3)C=C2)OC1=O	training	1
36	n.a.	COC(=O)C1=CC2=C(C=C(OCCC3=C(C)OC(C4=CC=C(C(C)(C)C)C=C4)=N3)C=C2)OC1=O	training	1
37	n.a.	COC(=O)C1CC2=C(C=C(OCCC3=C(C)OC(C4=CC=C(C(C)(C)C)C=C4)=N3)C=C2)OC1=O	training	1
38	n.a.	COC(=O)C1=CC2=C(C=C(OCCC3=C(C)OC(C4=CC(F)=CC=C4)=N3)C=C2)OC1=O	training	1
39	n.a.	CCCCCCCOC(=O)C1C(C2=CC=CC=C2)C(C(=O)O)C1C1=CC=CC=C1	training	1
40	n.a.	COC(=O)N(CC(=O)O)CC1=CC(OCC2=COC(C3=CC=CC=C3)=N2)=CC=C1	training	0
41	n.a.	CCCCCCCCN1C(=O)C(CCOC2=C(CC(=O)O)C=CC=C2)OC2=C1C=CC=C2	training	1
42	n.a.	COC(=O)N(CC(=O)O)CC1=CC(OCC2=CSC(C3=C(Cl)C=CC=C3)=N2)=CC=C1	training	1
43	n.a.	CC(C1=CC(OCC2=COC(C3=CC=C(Cl)C=C3)=N2)=CC=C1)N(CC(=O)O)C(=O)OC1=CC=CC=C1	training	1
44	n.a.	O=C(O)COC1=C2CCCC2=C(SCC2=CC=CC=C2OCC2=CC=C(C(F)(F)F)C=C2)C=C1	training	0
45	n.a.	CC1=C(CCOC2=CC3=C(C=C2)CC(C(=O)O)N(C(=O)C=CC2=CC=CS2)C3)N=C(C=CCCC(C)C)O1	training	1
46	n.a.	CCC(CC1=CC(C(=O)NCC2=CC=C(CCC3=CC=CC=C3)C=C2)=C(OC)C=C1)C(=O)O	training	1
47	n.a.	CSC1=NC(OCC2=CC=CC=C2)=C(C(=O)O)C(NCC2=CC=CC=C2)=N1	training	1
48	n.a.	CC(C)(OC1=CC(CN(CCOC2=CC=CC=C2)C2=NC3=C(C=CC=C3)O2)=CC=C1)C(=O)O	training	1
49	n.a.	CCC(OC1=CC(CN(CCCOC2=CC=CC=C2)C2=NC3=C(C=C4OCOC4=C3)O2)=CC=C1)C(=O)O	training	1
50	n.a.	C[N+]([O-])=C1C=C(C2=CC=CC=C2)C2=C1C=C(OCCN1CCOCC1)C=C2	training	1
51	n.a.	CC(C)(C)C1=CC=C(CN(CCOC2=CC=C(CCC(=O)O)C=C2)C2=NC3=C(C=CC=C3)S2)C=C1	training	1
52	n.a.	CCCCC(SC1=NC(OCCCC2=CC=CC=C2)=CC(OCCCC2=CC=CC=C2)=N1)C(=O)O	training	1
53	n.a.	CC1=CC=C(N2CCN(C(CC3=CC=C(OCCC4=C(C)OC(C5=CC=CC=C5)=N4)C=C3)C(=O)O)CC2)C=C1	training	0
54	n.a.	CC1=C(COC2=CC=C(CC(=O)O)C=C2)SC(C2=CC=C(C(F)(F)F)C=C2)=N1	training	1
55	n.a.	COC1=C(OC)C=C(C(C)=NOCCCCON=C(CCC(=O)O)C2=CC=CC=C2)C=C1	training	1
56	n.a.	CCCON=C(C)C(CC1=CC=C(OCC2=C(C)OC(C3=CC=C(F)C=C3)=N2)C=C1)C(=O)O	training	1
57	n.a.	CCON=C(CC)C(CC1=CC=C(OCCC2=C(C)OC(C3=CC=CC=C3)=N2)C=C1)C(=O)O	training	1
58	n.a.	CCC(=NOC)C(CC1=CC=C(OCCC2=C(C)OC(C3=CC=CC=C3)=N2)C=C1)C(=O)O	training	1
59	n.a.	CCC1=CC(CC)(CC(C=CC(C)=O)CC)OC1=O	training	1
60	n.a.	CCOC(CC1=CC=C(OCC=CC2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)C=C1)C(=O)O	training	1
61	n.a.	CC1=CC(CN2CCN(C3=NC(N)=NC(OC4=CC=C(CC(C)(OC5=CC=CC=C5)C(=O)O)C=C4)=C3)CC2)=CC=C1	training	1
62	n.a.	CC1=C(C(=O)NCC2CN(C3=CC(C(=O)O)=CC=C3)CCO2)SC(C2=CC=C(Cl)C=C2)=N1	training	0
63	n.a.	COC1=CC=C(C2=NC(C3=CC=C(OC)C=C3)=NC(COC3=CC(C)=C(OCC(=O)O)C=C3)=C2)C=C1	training	0
64	n.a.	CC1=C(OCC(=O)O)C=CC(OCC2=NC(C3=CC4=C(C=C3)OCCCO4)=C(C3=CC=C(OC(F)(F)F)C=C3)S2)=C1	training	0
65	n.a.	O=C(O)C(CC1=CC=CC=C1)OC1=CC=C(SCC2=CC=CC=C2)C=C1	training	1
