id	cas	smiles	status	exp values
1	n.a.	CC(C)(C)NC(=O)CN1C(C2=CC(C(F)(F)F)=CC(F)=C2)=CC2=C1C=CC(C(C)(C)C(=O)NC(C)(C)C)=C2	training	0
2	n.a.	COC(=O)NC(C(=O)N1CCCC1C1=NC=C(C2=CC=C(C3=CC4=C(C=CC(C5=CN=C(C6CCCN6C(=O)C(NC(=O)OC)C(C)C)N5)=C4)O3)C=C2)N1)C(C)C	training	1
3	n.a.	O=C(O)CCNC(=O)C1=CC=C(CN2N=C(C3=CC(Cl)=CC(Cl)=C3)C=C2C2=CC=C(OC(F)(F)F)C=C2)C=C1	training	0
4	n.a.	CC(OC1CN2C(=O)C(N)CC2C1C1=CC=C(F)C=C1)C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1	training	0
5	n.a.	O=[N+]([O-])C1=C(CS(=O)(=O)NC2=CC3=C(C=C2)N(CC2=CC=CC=C2)C=N3)C=CC=C1	training	1
6	n.a.	O=S(=O)(CC1=C(Cl)C=CC=C1)NC1=CC2=C(C=C1)N(CC1=CC=CC=C1)C=N2	training	1
7	n.a.	CC1=C(S(=O)(=O)NC2=CC3=C(C=C2)N(CC2=CC=CC=C2)C=N3)C=CC=C1	training	1
8	n.a.	CC1=CN(C2=CC(Cl)=C(C3=NN=C(C4(C5=CC=C(Cl)C=C5)CCC4)N3C)C=C2)C(C2CC2)=N1	training	1
9	n.a.	CC(C)(C)C1=CC=C(S(=O)(=O)N2CC3=C(N=C(C(F)(F)F)C=C3)NC3=C2C(C2=NOC(CO)=N2)=CC=C3)C=C1	training	1
10	n.a.	CC(C)(O)C1=NC(C2=C3C(=CC=C2)NC2=C(C=CC(C(F)(F)F)=N2)CN3S(=O)(=O)C2=CC=C(C(F)(F)F)C=C2)=NO1	training	0
11	n.a.	COC1=CC2=C(C=C1)C1=C(C3CCCCC3)C3=C(C=C(C(=O)NS(=O)(=O)N(C)C)C=C3)N1CC1(C(=O)N3CCN(C(C)=O)CC3)CC21	training	0
12	n.a.	COCC1CN(C(=O)C23CC2C2=C(C=CC(OC)=C2)C2=C(C4CCCCC4)C4=C(C=C(C(=O)NS(=O)(=O)N(C)C)C=C4)N2C3)CCO1	training	0
13	n.a.	CC(=O)NC1=NN(C(C)C)C(C2=CC(N3CCCCC3)=C(N(C)C(=O)C3=C(Cl)C=CC=C3F)N=C2)=C1	training	1
14	n.a.	COC1=CC2=C(C=C1)C1=C(C3CCCCC3)C3=C(C=C(C(=O)NS(=O)(=O)N(C)C)C=C3)N1CC1(C(=O)N3CC(O)(C4=CC=CC=C4)C3)CC21	training	0
15	n.a.	CC1=CC=C(SC(=O)C2=C(C3=NOC(C)=C3)ON=C2C)C=C1	training	1
16	n.a.	CC1=C(C2=CC(O)=C(O)C=C2)NC2=C1C=C(O)C=C2	training	0
17	n.a.	CC(C)CN(C1=C(C(F)(F)F)C=CC=C1)S(=O)(=O)C1=CC=C(NC2CCN(S(C)(=O)=O)CC2)C=C1	training	0
18	n.a.	CC1=C(OC2=CC=CN3C2=NN=C3C2(C3=CC=C(Cl)C=C3)CC2)C=CC=N1	training	1
19	n.a.	ClC1=CC=C(C2(C3=NN=C4C(OC5=CC=CC=C5C5=CC=CC=C5)=CC=CN43)CC2)C=C1	training	1
20	n.a.	FC(F)(F)OC1=C(OC2=CC=CN3C2=NN=C3C2(C3=CC=C(Cl)C=C3)CC2)C=CC=C1	training	1
21	n.a.	ClC1=CC=C(C2(C3=NN=C4C(OC5=CC(Cl)=CC=C5)=CC=CN43)CC2)C=C1	training	1
22	n.a.	COC1=C(N2C=NC(C)=C2)C=CC(C2=CN(C3CCC4=C(C=CC=C4F)N(CC(F)(F)F)C3=O)N=N2)=C1	training	0
23	n.a.	CC(=O)N1CCN(C2=CC=C(CN(C(C)C)S(=O)(=O)CC3=CC=CC=C3)C=C2)CC1	training	0
24	n.a.	CS(=O)(=O)C1=CC(OC(F)(F)F)=C(C(=O)N2CCC(N(C3CC3)S(=O)(=O)C3=CC(C(F)(F)F)=CC=C3)CC2)C=C1	training	1
25	n.a.	CC(C)C(NC(=O)NCC(C)(C)O)C(=O)N1CCC(O)(C2=CC=C(Cl)C=C2)C(C)(C)C1	training	0
26	n.a.	CC1=CC(C(N)=O)=NN1C1=CC(C2=C(C(F)(F)F)C=C(C(F)(F)F)C=C2)=CC=C1	training	0
27	n.a.	C=C1C(O)CCC2(C)C1CCC1=C3CCC(C(C)CCC=C(C)C)C3(C)CCC12	training	0
28	n.a.	CS(=O)(=O)C1=C(C(=O)N2CCC(N(C3CC3)S(=O)(=O)C3=CC(C(F)(F)F)=CC=C3)CC2)C=C(F)C=C1	training	1
29	n.a.	C=CCC1/C=C(\C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C(O)CC1=O)C(C)CC2OC	training	1
30	n.a.	CC1=CC2=C(C=CC(N=C(NC#N)NC3CCCCN(CC(=O)N4CCCC4)C3=O)=C2)O1	training	0
31	n.a.	[2H]C([2H])([2H])N(C(=O)C1=C(Cl)C=CC=C1F)C1=CC=C(C2=CC(NC(C)=O)=NN2C(C)C)C=C1N1CC2CC2C1	training	1
32	n.a.	C1=CC=C(C2=CC=C(C3(CC4=NN=NN4)C4CC5CC(C4)CC3C5)C=C2)C=C1	training	0
33	n.a.	CC1=NC(C)=C(CNC2=C(C)C(Cl)=NC(OCCCC3=NC4=C(C=CC=C4)C=C3)=N2)S1	training	1
34	n.a.	FC1=CC=C(C2=C3C=CC=C(C(F)(F)F)C3=NN2CC2=C(Cl)C=C(F)C=C2)C=C1	training	1
35	n.a.	COC1=CC(C2=NC3=C(C=CC=C3)C(=S)N2)=CC=C1	training	1
36	n.a.	CC1=CC(C2=C(C(=O)SC3=CC=CC=C3)C(C)=NO2)=NO1	training	1
37	n.a.	CC1=CN=C(C2=CC(C3=C(F)C=CC=N3)=CC(C(=O)NC(C)C3=NC=C(F)C=C3)=C2)C=C1	training	1
38	n.a.	CN1C(C2=CC=C(C3=NN=C(Cl)C=C3)C=C2)=NN=C1C1(C2=CC=C(Cl)C=C2)CCC1	training	0
39	n.a.	CS(=O)(=O)C1=CC(F)=C(N2C=C(Cl)C(OC3CCN(C4=NC=C(Cl)C=N4)CC3)=CC2=O)C=C1	training	0
40	n.a.	OC(C1=NC=CC=C1)C1(C2=CC=C(OC(F)(F)F)C=C2)CC(F)(F)C1	training	1
41	n.a.	O=C(O)C1CCC(C(=O)N2CCC3(S(=O)(=O)C4=CC(Cl)=CC=C4)C4=C(C=C(C(F)(C(F)(F)F)C(F)(F)F)C=C4)CCC23)CC1	training	0
42	n.a.	CC(C)(C)NC(=O)CN1C(C2=C(OC(F)(F)F)C=CC=C2)=CC2=C1C=CC(C(C)(C)C(=O)NC(C)(C)C)=C2	training	0
43	n.a.	CC(C)(O)C1=CN(C2=C(F)C=C(C3=CC(S(C)(=O)=O)=C(CO)C(F)=C3)C=C2)C(C(C)(C)C2=C(Cl)C=CC=C2Cl)=N1	training	1
44	n.a.	ClC1=CC=C(C2(C3=NN=C4C(C5CC5)=CC=CN43)CC2)C=C1	training	0
45	n.a.	O=S(=O)(NC1=NC=CS1)C1=C(F)C=C(NCC23CCCN2CCC3)C(Cl)=C1	training	0
46	n.a.	CC1=NC=CN1C1=CC(Cl)=C(C2=NN=C(C3(C4=CC=C(Cl)C=C4)CCC3)N2C)C=C1	training	0
47	n.a.	OCCCC1=CC=CN2C1=NN=C2C1(C2=CC=C(Cl)C=C2)CC1	training	0
48	n.a.	CC(OC1CN2C(=O)C3CC(O)CC3C2C1C1=CC=C(F)C=C1)C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1	training	1
49	n.a.	COC1=CC2=C(C=C1)C1=C(C3CCCCC3)C3=C(C=C(C(=O)NS(=O)(=O)N(C)C)C=C3)N1CC1(C(=O)N3CC4CCC(C3)N4)CC21	training	0
50	n.a.	CC(C)(C1CCN(C(=O)C2=C(S(C)(=O)=O)C=CC(F)=C2)CC1)S(=O)(=O)C1=CC(C(F)(F)F)=CC=C1	training	1
51	n.a.	NC(=O)C1=CC(C(N)=O)=NN1C1=CC(C2=C(C(F)(F)F)C=CC(C(F)(F)F)=C2)=CC=C1	training	0
52	n.a.	CCC(C1=CC=C(O)C=C1)=C(CC)C1=CC=C(O)C=C1	training	0
53	n.a.	CCC1(O)CC2C(=O)N3CC(OC(C)C4=CC(C(F)(F)F)=CC(C(F)(F)F)=C4)C(C4=CC=C(F)C=C4)C3C2C1	training	1
54	n.a.	CC(CCCOS(=O)(=O)O)C1CCC2C3CCC4CC(OS(=O)(=O)O)C(OS(=O)(=O)O)CC4(C)C3CCC12C	training	1
55	n.a.	COC1=CC2=C(C=C1)C1=C(C3CCCCC3)C3=C(C=C(C(=O)NS(=O)(=O)N(C)C)C=C3)N1CC1(C(=O)N3CC(O)(C4=CC=C(F)C=C4)C3)CC21	training	0
56	n.a.	COC1=CC2=C(C=C1)C1=C(C3CCCCC3)C3=C(C=C(C(=O)NS(=O)(=O)N(C)C)C=C3)N1CC1(C(=O)N3C4CC3CN(CC3=CC=CC=C3)C4)CC21	training	1
57	n.a.	COC1=CC2=C(C=C1)C1=C(C3CCCCC3)C3=C(C=C(C(=O)NS(=O)(=O)N(C)C)C=C3)N1CC1(C(=O)N3CC4CCC(C3)O4)CC21	training	1
58	n.a.	CC1=C(CN2CCC3(CC2)C(=O)N(C2=CC=C(C4=CC=CC=C4)C=C2)C(=O)N3C2=NC(O)=NC=C2)N=CC=C1	training	0
59	n.a.	O=C1NCN(C2=CC=CC=C2)C12CCN(CCCOC1=CC=C(F)C=C1)CC2	training	0
60	n.a.	O=C(CC1=CC=CS1)NC1C(=O)N2C(C(=O)O)=C(C[N+]3=CC=CC=C3)CSC12	training	1
61	n.a.	CC(C)(C)NC(=O)CN1C(C2=CC(OC(F)(F)F)=CC=C2)=CC2=C1C=CC(C(C)(C)C(=O)NC(C)(C)C)=C2	training	0
62	n.a.	CN(C1CCC2=C(CC(=O)O)C3=C(C(F)=CC=C3)N2C1)S(=O)(=O)C1=CC=C(F)C=C1	training	0
63	n.a.	CN1C(C2=CC=C(C3=CON=C3)C=C2)=NN=C1C1(C2=CC=C(Cl)C=C2)CCC1	training	0
