id	cas	smiles	status	exp values
1	n.a.	CC1=CC(CC(N)C(=O)O)=CC(C)=C1OC1=CC(C(C)C)=C(O)C=C1	training	1
2	n.a.	CC1=C(CC(=O)NCC(=O)O)C2=C(C=CC=C2)N1CC1=CC(C(C)C)=C(O)C=C1	training	1
3	n.a.	COC1=CC=C(C2=C3CCCN3N=C2C2=NC(C)=CC=C2)C=C1	training	1
4	n.a.	CC1=NC(C2=NN3CCCC3=C2C2=C3C=CC(Cl)=CC3=NC=C2)=CC=C1	training	1
5	n.a.	O=C(O)CC1=CC(Br)=C(OC2=CC(C(=O)NCCC3=CC=CC=C3)=C(O)C=C2)C(Br)=C1	training	1
6	n.a.	O=C(O)CC1=CC(Br)=C(OC2=CC(OC3=CC=CC=C3)=C(O)C=C2)C(Br)=C1	training	1
7	n.a.	O=C(O)CC1=CC(Cl)=C(OC2=CC(C3=CC=C(C(F)(F)F)C=C3)=C(O)C=C2)C(Cl)=C1	training	1
8	n.a.	CC(C)CCOC1=C(Br)C=C(CCC(=O)O)C=C1Br	training	1
9	n.a.	CC(C)C1=C(O)C=CC(OC2=C(Br)C=C(C(=O)O)C=C2Br)=C1	training	1
10	n.a.	CCC1=CC(C2=C(O)C=CC(OC3=C(Cl)C=C(CC(=O)O)C=C3Cl)=C2)=CC=C1	training	1
11	n.a.	CC1(C)CC2=C(CS1)C(C1=CC=CO1)=NC(O)=C2C#N	training	0
12	n.a.	COC1=CC(OC)=C(C(C2=CC(C(C)C)=C(O)C=C2)C2=C(C)C=C(OCC(=O)O)C=C2C)C=C1	training	1
13	n.a.	CCCCOC1=C(Br)C=C(CC(=O)O)C=C1Br	training	1
14	n.a.	CCCCCCOC1=CC(C)=C(C(=O)CCN2CCNC(=O)C2)C(C)=C1	training	0
15	n.a.	CCCCCCC1=CC=C(NC(=O)C=C(C)C)C=C1	training	0
16	n.a.	CCCCCCC1=CC=C(NC(=O)C=CC2=CC=CC=C2)C=C1	training	0
17	n.a.	O=C(O)CC1=CC(Br)=C(OC2=CC(C(=O)NCC3=CC=CC=C3)=C(O)C=C2)C(Br)=C1	training	1
18	n.a.	CC1=CC(C)(C)N2C(=O)C(=NC3=CC=C(O)C=C3)C3=C2C1=CC=C3	training	0
19	n.a.	CCC1=C2NC3(CCCC3)CC(C)C2=CC=C1	training	0
20	n.a.	CN(C)C1=CC=C(NC(=O)OC2=CC=CC=C2)C=C1	training	0
21	n.a.	CC(OC(=O)C1=CC([N+](=O)[O-])=C(S(C)(=O)=O)C=C1)C(=O)NC12CC3CC(CC(C3)C1)C2	training	1
22	n.a.	CCCCCCC1=CC=C(C(=O)CCN(CCCC)CCCC)C=C1	training	1
23	n.a.	CCCCCCC1=CC=C(C(=O)CCN2CCOCC2)C=C1	training	1
24	n.a.	C#CC(=O)OC1=CC=C(CCCCCC)C=C1	training	1
25	n.a.	COC1=CC=C(CNC2=C3N=C4CCCCN4C3=NC=N2)C=C1	training	0
26	n.a.	CCCCCCSC1=C(Cl)C(Cl)=C(C(=O)CCN2CCN(S(=O)(=O)CC)CC2)C=C1	training	1
27	n.a.	COC1=C(OC)C=C(CC(C)NS(=O)(=O)C2=CC3=C(C=C2)N(S(C)(=O)=O)CC3)C=C1	training	1
28	n.a.	COC1=CC(OCP(=O)(O)O)=CC(OC)=C1CC1=CC(C(C)C)=C(O)C=C1	training	1
29	n.a.	CC1=CC(CCP(=O)(O)O)=CC(C)=C1CC1=CC(C(C)C)=C(O)C=C1	training	1
30	n.a.	CC1=CC(SCP(=O)(O)O)=CC(C)=C1OC1=CC(C(C)C)=C(O)C=C1	training	1
31	n.a.	CC1=CC(NC(=O)C(=O)O)=CC(C)=C1OC1=C2CCCC2=C(O)C=C1	training	1
32	n.a.	CCOC1=C(OCC)C=C(CCNC(=O)C2=C3CCCCCN3C(C3=CC(F)=CC=C3)=N2)C=C1	training	0
33	n.a.	NC1=NC=C(S(=O)(=O)N2CCN(C3=CC=CC=C3)CC2)C=N1	training	1
34	n.a.	CCOC(=O)N1CCN(CC2=NC3=C(C=CC(NC(=O)C4=C([N+](=O)[O-])C=CC=C4)=C3)N2C(C)C)CC1	training	1
35	n.a.	O=C(O)C1=CC(NC(=O)C2=CC(S(=O)(=O)NC3=CC(F)=CC=C3)=CC=C2)=CC=C1	training	1
36	n.a.	CC1=CC=C(CNC(=O)CCCN2C(=O)C3=C(N=CC=C3)OC3=C2C=C(Cl)C=C3)C=C1	training	0
37	n.a.	CCOP(=O)(OCC)C(NC(=O)C1=C(C)C=CC=C1)C(Cl)(Cl)Cl	training	1
38	n.a.	CC1=CC=C(CN(CC2=CC=CO2)C(=O)COC2=C(Cl)C=C(Cl)C=C2)C=C1	training	1
39	n.a.	CC1CCCC(C=NC2=CC=C(O)C=C2)=C1O	training	0
40	n.a.	OC1=CC=C(N=CC2=CC=C(OCC3=CC=CC=C3)C=C2)C=C1	training	0
