id	cas	smiles	status	exp values
1	n.a.	OC1=CC=C(C2COC3=C(C=CC(O)=C3)C2)C=C1	training	0
2	n.a.	CC1=CC(C=CC2=CC(C(=O)OC3=CC=C(F)C=C3)=CC=C2)=CC(C)=C1O	training	1
3	n.a.	CC1=CC(C=CC2=CC(C(=O)OC3=C([N+](=O)[O-])C=CC=C3)=CC=C2)=CC(C)=C1O	training	1
4	n.a.	CC1=C(C)C(N(C)C2=C3C(=NC=N2)ON=C3C2=CC=C(F)C=C2)=CC=C1	training	0
5	n.a.	O=C(CCl)C1=CC2=C3C(=C1)CCCN3C(=O)C2	training	0
6	n.a.	CC1=CC(C=CC2=CC=CC=C2)=CC(C)=C1O	training	1
7	n.a.	OCC1=CC(O)=C(OC2=CC=CC=C2)C=C1	training	0
8	n.a.	COC1=C(OC2=C(Cl)C=C(Cl)C=C2)C=CC(CCl)=C1	training	1
9	n.a.	COC1=CC=C(N=C2C(=O)NC3=C2C=C(Br)C=C3)C=C1	training	0
10	n.a.	O=C1NC2=C(C=CC=C2)C1=NC1=CC=C(I)C=C1	training	0
11	n.a.	O=C1NC2=C(C=CC=C2)C1=NC1=CC=CC=C1	training	0
12	n.a.	O=C1NC2=C(C=C(I)C=C2)C1=NC1=CC=CC=C1	training	0
13	n.a.	O=C1NC2=C(C=C(I)C=C2)C1=NC1=CC=C(I)C=C1	training	0
14	n.a.	O=C1C(OC2=C(Br)C=CC=C2)=COC2=C1C=CC(O)=C2	training	1
15	n.a.	O=C1C(Br)=CC(=NS(=O)(=O)C2=CC=CC=C2)C=C1Br	training	1
16	n.a.	O=C(C=CC1=CC(O)=C(O)C=C1)OCC1=CC=CC=C1	training	0
17	n.a.	CC1(C)C=CC2=C(C=CC3=C2OCC(C2=C(O)C=C(O)C=C2)C3)O1	training	1
18	n.a.	O=C(C=CC1=CC(O)=C(O)C=C1)OC(CC1=CC(O)=C(O)C=C1)C(=O)O	training	1
19	n.a.	CC(C)=CCOC(=O)C=CC1=CC(O)=C(O)C=C1	training	0
20	n.a.	O=C(C=CC1=CC(O)=C(O)C=C1)OCCC1=CC=CC=C1	training	1
21	n.a.	CN1C(=O)C(=O)C2=C1C=CC=C2	training	1
22	n.a.	COC1=CC=C(N=C2C(=O)NC3=C2C=CC=C3)C=C1	training	1
23	n.a.	COC1=CC=C(N=C2C(=O)NC3=C2C=C(I)C=C3)C=C1	training	0
