id	cas	smiles	status	exp values
1	n.a.	C1=CC=C(C2=CNC(C3=CC=CC=C3)=N2)C=C1	training	0
2	n.a.	CC(=O)NC1=CC=C(N2C(=O)C3=C(C=CC=C3)C2=O)C=C1	training	0
3	n.a.	CC(=O)NC1=NC(N)=C(C2=C(Cl)C(Cl)=CC(Cl)=C2)C=C1	training	1
4	n.a.	CC(C(N)=O)C(N)C1=NC2=C(C=C(C(C)(C)C)C=C2)N1	training	0
5	n.a.	CC(C(N)=O)N1CCC2=C(C=CC(OCC3=C(F)C=CC=C3)=C2)C1	training	0
6	n.a.	CC(C(N)=O)N1CCCC1C1=CC=C(OCC2=C(F)C=CC=C2)C=C1	training	0
7	n.a.	CC(C(N)=O)N1CCOC2=C(C=CC(OCC3=C(F)C=CC=C3)=C2)C1	training	0
8	n.a.	CC(C)(C)C1=CC=C(C2=CC=C(C(=O)N3CCN(C4CCCCC4)CC3)O2)C=C1	training	1
9	n.a.	CC(C)(C)OC(=O)N1C=C(C2=CC(NC(=O)C3=CC4=C(C=CC=C4)N3)=CC=C2)N=C1N	training	0
10	n.a.	CC(C)(C)OC(=O)N1C=C(C2=CC(NC(=O)C3=CC=CN3)=CC=C2)N=C1N	training	0
11	n.a.	CC(C)(C)OC(=O)N1C=C(C2=CC(NC(=O)C3=CNC4=C3C=CC=C4)=CC=C2)N=C1N	training	0
12	n.a.	CC(C)(C)OC(=O)N1C=C(C2=CC(NC(=O)C3=CNC=C3)=CC=C2)N=C1N	training	0
13	n.a.	CC(C)(C)OC(=O)N1C=C(C2=CC(NC(=O)C3CCCN3)=CC=C2)N=C1N	training	0
14	n.a.	CC(C)(C)OC(=O)N1C=C(C2=CC=C(NC(=O)C3=CC4=C(C=CC=C4)N3)C=C2)N=C1N	training	0
15	n.a.	CC(C)(C)OC(=O)N1C=C(C2=CC=C(NC(=O)C3=CC=CN3)C=C2)N=C1N	training	0
16	n.a.	CC(C)(C)OC(=O)N1C=C(C2=CC=C(NC(=O)C3=CC=CO3)C=C2)N=C1N	training	0
17	n.a.	CC(C)(C)OC(=O)N1C=C(C2=CC=C(NC(=O)C3CCCN3)C=C2)N=C1N	training	0
18	n.a.	CC(C)(C)OC(=O)N1CCCC1C(=O)NC1CCC2=C(C1)SC(N)=N2	training	0
19	n.a.	CC(C)(C)OC(=O)N1CCCC1C(=O)NCC1CCC2=C(C1)SC(N)=N2	training	0
20	n.a.	CC(C)(O)CC(=O)N1CC2CN(C3=C4C=NN(C5=C(F)C=CC=C5)C4=CC=C3)C(=O)C2C1	training	0
21	n.a.	CC(C)COC1=C(Cl)C=C(C2=CN(C)C3=C2C=CC(C(=O)NS(C)(=O)=O)=C3)C=N1	training	0
22	n.a.	CC(C)OC1=CC(NC(=O)C2=NC(C3=CC=C(C#N)C=C3)=CN=C2)=CC=C1	training	1
23	n.a.	CC(C1=C2CNCCC2=CC=C1)N1C(=O)OC2=C1C=CC(S(=O)(=O)NC1=NC=NS1)=C2	training	1
24	n.a.	CC(C1=CC(Cl)=CC(Cl)=C1)N1CCC(COC2=CC(F)=C(C(=O)NS(C)(=O)=O)C=C2C2CC2)CC1	training	1
25	n.a.	CC(NC1CCCC2=C1C=CC(OCC1=C(F)C=CC=C1)=C2)C(N)=O	training	0
26	n.a.	CC(NC1CCOC2=C1C=CC(OCC1=C(F)C=CC=C1)=C2)C(N)=O	training	0
27	n.a.	CC(OC1=CC=C(C2CCC(C(N)=O)N2)C=C1)C1=CC=CC=C1	training	0
28	n.a.	CC1(C)CCC2=C1C=CC=C2C(=O)NC1CN2C(=N)NC(CN3C(=O)CCC3=O)C3NC(=N)NC32C1(O)O	training	0
29	n.a.	CC1(C)CN2CCCC2(CNC2=C(Cl)C=C(S(=O)(=O)NC3=NC=CS3)C(F)=C2)C1	training	1
30	n.a.	CC1(C)CNC(C2=CC(Cl)=CC(Cl)=C2)C(OC2=C(F)C=C(S(=O)(=O)NC3=NC=NS3)C(F)=C2)O1	training	1
31	n.a.	CC1(CNC2=C(Cl)C=C(S(=O)(=O)NC3=NC=CS3)C(F)=C2)CCCN1	training	1
32	n.a.	CC1(COC2=CC(F)=C(C(=O)NS(=O)(=O)C3CC3)C=C2C2CC2)CCC2(CC1)CC2	training	1
33	n.a.	CC1=C(C(=O)NC(=N)NCCCCC2=CC=CC=C2)C=CC=C1	training	1
34	n.a.	CC1=C(C(=O)NC2=NC(C3(C)CS(=O)(=O)C(C)(C(F)F)C(=N)N3)=C(F)C=C2)N=CC(C#N)=C1	training	0
35	n.a.	CC1=C(CNC(=O)C2=CC(C3=CC=C(Cl)C=C3)=CN=C2)C=CC=C1	training	1
36	n.a.	CC1=C(CNC(=O)C2=NC(C3=CC=C(C#N)C=C3)=CN=C2)C=CC=C1	training	1
37	n.a.	CC1=C(CNC(=O)C2=NC(C3=CC=C(OC(F)(F)F)C=C3)=CN=C2)C=CC=C1	training	1
38	n.a.	CC1=C2C(=CC=C1)CCCN2C(=O)CSC1=C(Cl)C=CC=N1	training	0
39	n.a.	CC1=C2C(=CC=C1)CCCN2C(=O)CSC1=NC=C(C(F)(F)F)C=C1	training	0
40	n.a.	CC1=C2C(=CC=C1)CCCN2C(=O)CSC1=NC=C(Cl)C=C1	training	0
41	n.a.	CC1=C2COC(=O)C2=CC=C1CCN1CCN(C(=O)CC2=CN=C(N3C=NN=N3)C=C2)CC1	training	0
42	n.a.	CC1=CC(C)=CC(NC(=O)C2=NC(C3=CC=C(C#N)C=C3)=CN=C2)=C1	training	1
43	n.a.	CC1=CC(C)=CC(NC(=O)C2=NC(C3=CC=C(Cl)C=C3)=CN=C2)=C1	training	1
44	n.a.	CC1=CC(NC(=O)C2=NC(C3=CC=C(Cl)C=C3)=CN=C2)=CC=C1	training	1
45	n.a.	CC1=CC(NC(=O)C2=NC(C3=CC=C(OC(F)(F)F)C=C3)=CN=C2)=CC=C1	training	1
46	n.a.	CC1=CC=C(C(=O)NC(=N)N(C)C2=CC(I)=CC=C2)C=C1	training	1
47	n.a.	CC1=CC=C(C(=O)NC(=N)N(C)SC2=CC(C)=CC=C2)C=C1	training	1
48	n.a.	CC1=CC=C(C(=O)NC(=N)N2CCC3=C2C=CC=C3)C=C1	training	1
49	n.a.	CC1=CC=C(C(=O)NC(=N)N2CCCC3=C2C=C(C(F)(F)F)C=C3)C=C1	training	0
50	n.a.	CC1=CC=C(C(=O)NC(=N)NC2=C(Br)C=CC(Br)=C2)C=C1	training	0
51	n.a.	CC1=CC=C(C(=O)NC(=N)NC2=C3C=CC=CC3=CC=C2)C=C1	training	1
52	n.a.	CC1=CC=C(C(=O)NC(=N)NC2=CC=C(C(C)(C)C)C=C2)C=C1	training	0
53	n.a.	CC1=CC=C(C(=O)NC(=N)NC2=CC=C(C(C)C)C=C2)C=C1	training	1
54	n.a.	CC1=CC=C(C(=O)NC(=N)NC2=CC=C(OC(C)C)C=C2)C=C1	training	1
55	n.a.	CC1=CC=C(C(=O)NC(=N)NC2=CC=C(OCC3=CC=CC=C3)C=C2)C=C1	training	0
56	n.a.	CC1=CC=C(C(=O)NC(=N)NCC2=C3C=CC=CC3=CC=C2)C=C1	training	1
57	n.a.	CC1=CC=C(C(=O)NC(=N)NCC2=CC=CC=C2)C=C1	training	1
58	n.a.	CC1=CC=C(C(=O)NC(=N)NCCC2=CC=C(Cl)C=C2)C=C1	training	1
59	n.a.	CC1=CC=C(C(=O)NC(=N)NCCC2=CC=CC=C2)C=C1	training	1
60	n.a.	CC1=CC=C(C(=O)NC(=N)NCCC2=CC=CS2)C=C1	training	1
61	n.a.	CC1=CC=C(C(=O)NC(=N)NCCCC2=CC=CC=C2)C=C1	training	1
62	n.a.	CC1=CC=C(C(=O)NC(=N)NCCCCC2=CC=CC=C2)C=C1	training	1
63	n.a.	CC1=CC=C(C(=O)NC(=N)NCCCCCC2=CC=CC=C2)C=C1	training	1
64	n.a.	CC1=CC=C(C(=O)NC(=N)NCCCOC2=CC=CC=C2)C=C1	training	1
65	n.a.	CC1=CC=C(C(=O)NC(=N)NCCOC2=CC=CC=C2)C=C1	training	1
66	n.a.	CC1=CC=C(C(=O)NC(=N)NCCSCC2=CC=CC=C2)C=C1	training	1
67	n.a.	CC1=CC=C(C(=O)NC(N)=NC2=C(C(C)C)C=CC=C2)C=C1	training	1
68	n.a.	CC1=CC=C(C(=O)NC(N)=NCCCN(C)C)C=C1	training	0
69	n.a.	CC1=NN(C2CCN(C(C)C3=CC(Cl)=CC(Cl)=C3)C2)C2=C1C=C(C(=O)NS(=O)(=O)C1CC1)C(F)=C2	training	1
70	n.a.	CC1=NOC(CN2N=C3C=CC(C4=CC=C(OC(F)(F)F)C=C4)=CN3C2=O)=N1	training	1
71	n.a.	CC1=NOC=C1C(=O)NC1=NC(N)=C(C2=C(OC(F)(F)F)C=CC=C2)C=C1	training	0
72	n.a.	CC1CC(N2C(=N)NC(C)(C3=C(Cl)C(NC4=CN=C(C5CC5)C=C4)=CC=C3)CC2=O)CCO1	training	1
73	n.a.	CCCCCCCCCCC1CC2(CCCO2)NC(=N)N1	training	1
74	n.a.	CCCCCCCCCCC1NC(=N)NC2(CCCO2)C1C(=O)O	training	1
75	n.a.	CCCCCN=C1C=CN(CC2=CC=CC=C2)C2=C1C=CC(Cl)=C2	training	1
76	n.a.	CCCCCNC1C=CN(CC2=CC=CC=C2)C2=C1C=CC([125I])=C2	training	1
77	n.a.	CCCCN=C(N)NC(=O)C1=CC=C(C)C=C1	training	0
78	n.a.	CCCCNC1=CC=C(C(=O)OCCN(C)C)C=C1	training	1
79	n.a.	CCCCOC1=CC=C(C(=O)NC(=N)NCCCCC2=CC=CC=C2)C=C1	training	1
80	n.a.	CCN(CC)CC(=O)NC1=C(C)C=CC=C1C	training	0
81	n.a.	CCOC1=C(CNC(=O)C2=CC(C3=CC=C(Cl)C=C3)=CN=C2)C=CC=N1	training	1
82	n.a.	CCOC1=CC=C(C(=O)NC(=N)NCCCCC2=CC=CC=C2)C=C1	training	1
83	n.a.	CCOC1=CC=C(C2=NC(C(=O)NC3=CC(C)=CC(C)=C3)=CN=C2)C=C1	training	1
84	n.a.	CCOC1=CC=C(C2=NC(C(=O)NC3=CC(C)=CC=C3)=CN=C2)C=C1	training	1
85	n.a.	CCOC1=CC=C(C2=NC(C(=O)NCC3=C(C)C=CC=C3)=CN=C2)C=C1	training	1
86	n.a.	CCOCC(CC(C)C)NC(=O)C1CNCC(C(=O)N(C2=NC=C(C(C)C)C=C2)C2CC2)C1O	training	0
87	n.a.	CN(C)C(CNC1=C(Cl)C=C(S(=O)(=O)NC2=NC=CS2)C(F)=C1)CC1=CC=CC=C1	training	0
88	n.a.	CN(C)CCC=C1C2=C(C=CC=C2)CCC2=C1C=CC=C2	training	1
89	n.a.	CN(CC1=CC(Cl)=C(OC(F)(F)F)C=C1)C(=O)C1=CC(F)=C(S(=O)(=O)NC2=NC=NS2)C=C1	training	1
90	n.a.	CN1C(C(N)=O)CCC1C1=CC=C(OCC2=C(F)C=CC=C2)C=C1	training	0
91	n.a.	CN1C=CC=C1C(=O)NC1CCC2=C(C1)SC(N)=N2	training	0
92	n.a.	CN1CCN(C2=NC(N)=C(C3=C(Cl)C(Cl)=CC(Cl)=C3)C=N2)CC1	training	1
93	n.a.	CN1N=CC=C1C1=CC(C(F)(F)F)=CC=C1C1CCC2=C1C=CC(S(=O)(=O)NC1=NC=CC=N1)=C2	training	1
94	n.a.	CN1N=CC=C1C1=CC(Cl)=CC=C1OC1=C(C#N)C=C(S(=O)(=O)NC2=NC=NS2)C=C1	training	1
95	n.a.	CN1N=CC=C1C1=CC(Cl)=CC=C1OC1=C(F)C=C(S(=O)(=O)NC2=NC=NS2)C=C1	training	1
96	n.a.	CN=C(NCCCCC1=CC=CC=C1)NC(=O)C1=CC=C(C)C=C1	training	1
97	n.a.	CNC(=O)C1=CC(C2=C(Cl)C(Cl)=CC(Cl)=C2)=C(N)N=C1	training	1
98	n.a.	CNC(=O)C1=NC(N)=C(C2=C(Cl)C(Cl)=CC(Cl)=C2)C=C1	training	0
99	n.a.	CNC(=O)C1CCC(C2=CC=C(OCC3=C(F)C=CC=C3)C=C2)N1	training	0
