ID	CAS	SMILES	STATUS	EXP CLASS
1	-	CC[C@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C	Training	0
2	-	Clc1cccc(CN2CCN(Cc3cccc(Cl)c3)C(=S)NC2=O)c1	Test	0
3	-	Clc1ccc(CN2CCN(Cc3ccc(Cl)cc3)C(=S)NC2=O)cc1	Test	0
4	-	Clc1cccc(CN2CCN(Cc3cccc(Cl)c3)C(=S)NC2=S)c1	Training	0
5	-	Clc1ccc(CN2CCN(Cc3ccc(Cl)cc3)C(=S)NC2=S)cc1	Training	0
6	-	CS[C@@H]1NC(=O)N(Cc2cccc(Cl)c2)CCN1Cc3cccc(Cl)c3	Training	0
7	-	CS[C@@H]1NC(=O)N(Cc2ccc(Cl)cc2)CCN1Cc3ccc(Cl)cc3	Training	0
9	-	COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3[C@H](OC(=O)c6ccccc6)[C@H]12	Training	0
10	-	CC(=O)C1=CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@H]3CC[C@@]12C	Training	0
11	-	C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@]4(C)[C@@H]3CC[C@@]2(C)[C@H]1C(=O)C	Training	0
12	-	CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C	Training	0
13	-	NCCN1c2ccccc2Sc3ccc(Cl)cc13	Test	0
14	-	NCCCCN1c2ccccc2Sc3ccc(Cl)cc13	Test	0
15	-	CCN(CC)CCC[C@@H](C)Nc1c(C)cnc2cc(Cl)ccc12	Training	0
17	-	CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3	Test	0
18	-	CN(C)CCOc1ccc(cc1)\C(=C(\CCCl)/c2ccccc2)\c3ccc(O)cc3	Training	0
19	-	CC\C(=C(\c1ccc(I)cc1)/c2ccc(OCCN(C)C)cc2)\c3ccccc3	Training	0
20	-	CCCC(=O)O[C@@H]1[C@@H](C)[C@]2(O)[C@H](C=C(CO)C[C@]3(O)[C@H]2C=C(C)C3=O)[C@H]4C(C)(C)[C@]14OC(=O)CCC	Test	0
21	-	CC[C@@H](C)c1ccc(cc1)N2[C@H](Nc3ccccc3C2=O)c4ccc(OC)cc4	Training	0
22	-	COC(=O)C1=C(C)NC(=C([C@H]1c2c(nn3ccccc23)C(C)C)C(=O)OCCN(C)Cc4ccccc4)C	Training	0
23	-	Fc1ccc(cc1)C(C2CCN(Cc3ccc4ccccc4c3)CC2)c5ccc(F)cc5	Training	0
24	-	CC(C)C(=O)c1ccc(OCCN2CCC(CC2)C(O)(c3ccc(F)cc3)c4ccc(F)cc4)cc1	Training	0
25	-	Clc1ccccc1CCNCC2CCC(CNc3ccccc3Cl)CC2	Test	0
26	-	COc1ccc(CN(C)CCOc2ccc(NC(=O)c3cccc4C(=O)c5ccccc5Nc34)cc2)cc1OC	Training	0
27	-	COc1ccc(CCN(C)CCOc2ccc(NC(=O)c3cccc4C(=O)c5ccccc5Oc34)cc2)cc1OC	Test	0
28	-	COc1ccc(CCN(C)CCOc2ccc(NC(=O)c3cccc4Oc5ccccc5Oc34)cc2)cc1OC	Test	0
29	-	COc1ccc(CN(C)CCOc2ccc(NC(=O)c3cccc4C(=O)C=C(Nc34)c5ccccc5)cc2)cc1OC	Training	0
30	-	COc1ccc(CN(C)CCOc2ccc(NC(=O)c3cccc4nc5ccccc5nc34)cc2)cc1OC	Training	0
31	-	COc1ccc(CCN(C)CCOc2ccc(NC(=O)C3=CC=CN4C(=O)c5ccccc5N=C34)cc2)cc1OC	Test	0
32	-	CN(CCOc1ccc(NC(=O)c2cccc3C(=O)c4ccccc4Nc23)cc1)Cc5ccc(C)cc5	Training	0
33	-	CCN(CCOc1ccc(NC(=O)c2cccc3C(=O)c4ccccc4Nc23)cc1)Cc5ccccc5	Training	0
34	-	COc1ccc(CCN(C)CCCOc2ccc(NC(=O)c3cccc4C(=O)c5ccccc5Nc34)cc2)cc1OC	Training	0
35	-	COc1cc2CCN(CCCOc3ccc(NC(=O)c4cccc5C(=O)c6ccccc6Nc45)cc3)Cc2cc1OC	Training	0
36	-	COc1ccc(CN(C)Cc2ccc(NC(=O)c3cccc4C(=O)c5ccccc5Nc34)cc2)cc1OC	Training	0
37	-	COc1ccc(CN(C)CCc2ccc(NC(=O)c3cccc4C(=O)c5ccccc5Nc34)cc2)cc1OC	Training	0
38	-	COc1ccc(CN(C)CCCc2ccc(NC(=O)c3cccc4C(=O)c5ccccc5Nc34)cc2)cc1OC	Training	0
39	-	COc1ccc(CN(C)CCCCc2ccc(NC(=O)c3cccc4C(=O)c5ccccc5Nc34)cc2)cc1OC	Test	0
40	-	COc1ccc(CN(C)CCCCCc2ccc(NC(=O)c3cccc4C(=O)c5ccccc5Nc34)cc2)cc1OC	Training	0
41	-	COc1ccc(CN(C)CCCOc2ccc(NC(=O)c3cccc4C(=O)c5ccccc5Nc34)cc2)cc1OC	Test	0
42	-	COc1ccc(CN(C)C\C=C\c2ccc(NC(=O)c3cccc4C(=O)c5ccccc5Nc34)cc2)cc1OC	Training	0
43	-	COc1ccc(CN(C)C\C=C\Cc2ccc(NC(=O)c3cccc4C(=O)c5ccccc5Nc34)cc2)cc1OC	Training	0
44	-	COc1cccc2Nc3c(cccc3C(=O)c12)C(=O)Nc4cccc(CCN5CCc6cc(OC)c(OC)cc6C5)c4	Test	0
45	-	COc1cc2CCN(CCc3ccccc3NC(=O)c4cccc5C(=O)c6c(Nc45)cccc6OC)Cc2cc1OC	Training	0
46	-	COc1cccc2Nc3c(cccc3C(=O)c12)C(=O)Nc4cccc(CCCN5CCc6cc(OC)c(OC)cc6C5)c4	Training	0
47	-	COc1ccc(CN(C)CCCc2cccc(NC(=O)c3cccc4C(=O)c5c(Nc34)cccc5OC)c2)cc1OC	Training	0
48	-	COc1ccc(CN(C)CCCOc2ccc(NC(=O)c3cccc4C(=O)c5c(C)cccc5Nc34)c(C)c2)cc1OC	Training	0
49	-	COc1ccc(CN(C)CCOc2ccc(NC(=O)c3cccc4C(=O)c5c(Nc34)cccc5OC)c(C)c2)cc1OC	Training	0
50	-	COc1ccc(CN(C)CCCOc2ccc(NC(=O)c3cccc4C(=O)c5c(F)cccc5Nc34)c(C)c2)cc1OC	Test	0
51	-	COc1ccc(CN(C)CCc2ccc(NC(=O)c3cccc4C(=O)c5c(F)cccc5Nc34)c(C)c2)cc1OC	Test	0
52	-	COc1ccc(CN(C)CCCOc2ccc(NC(=O)c3cccc4C(=O)c5c(F)cccc5Nc34)c(OC)c2)cc1OC	Test	0
53	-	CCc1cc(OCCCN(C)Cc2ccc(OC)c(OC)c2)ccc1NC(=O)c3cccc4C(=O)c5c(F)cccc5Nc34	Training	0
54	-	COc1ccc(CN(C)CCCc2ccc(NC(=O)c3cccc4C(=O)c5c(Nc34)cccc5OC)c(OC)c2)cc1OC	Training	0
55	-	COc1ccc(CN(C)CCCc2ccc(NC(=O)c3cccc4C(=O)c5c(F)cccc5Nc34)c(OC)c2)cc1OC	Test	0
56	-	COc1ccc(CN(C)CCc2ccc(NC(=O)c3cccc4C(=O)c5c(C)cccc5Nc34)c(C)c2)cc1OC	Test	0
57	-	COc1ccc(CN(C)CCCOc2ccc(NC(=O)c3cccc4C(=O)c5c(C)cccc5Nc34)c(OC)c2)cc1OC	Training	0
58	-	COc1ccc(CN(C)CCc2ccc(NC(=O)c3cccc4C(=O)c5c(F)cccc5Nc34)c(OC)c2)cc1OC	Test	0
59	-	COc1cc(OC)c2Nc3c(cccc3C(=O)c2c1)C(=O)Nc4ccc(CCN(C)Cc5ccc(OC)c(OC)c5)cc4	Training	0
60	-	COc1ccc(CN(C)CCc2ccc(NC(=O)c3cccc4C(=O)c5ccccc5N(C)c34)cc2)cc1OC	Training	0
61	-	COc1ccc(CN(C)CCc2ccc(NC(=O)c3cccc4C(=O)c5cccc(c5Nc34)[N+](=O)[O-])cc2)cc1OC	Training	0
62	-	COc1ccc(CN(C)CCc2ccc(NC(=O)c3cccc4C(=O)c5cccc(F)c5Nc34)cc2)cc1OC	Training	0
63	-	COc1ccc(CN(C)CCc2ccc(NC(=O)c3cccc4C(=O)c5cccc(C)c5Nc34)cc2)cc1OC	Training	0
64	-	COc1ccc(CN(C)CCc2ccc(NC(=O)c3cccc4C(=O)c5cccc(OC)c5Nc34)cc2)cc1OC	Training	0
65	-	COc1ccc(CN(C)CCCCc2ccc(NC(=O)c3cccc4C(=O)c5cccc(N)c5Nc34)cc2)cc1OC	Training	0
66	-	COc1ccc2Nc3c(cccc3C(=O)c2c1)C(=O)Nc4ccc(CCCCN(C)Cc5ccc(OC)c(OC)c5)cc4	Training	0
67	-	COc1cc2CCN(CCc3ccc(NC(=O)c4cccc5C(=O)c6cccc(F)c6Nc45)cc3)Cc2cc1OC	Test	0
68	-	CN1Cc2ccccc2C13c4ccccc4CCc5ccccc35	Test	0
69	-	Fc1ccc(cc1)C(N2CCN(CC2)c3nc(NCC=C)nc(NCC=C)n3)c4ccc(F)cc4	Training	0
70	-	CCOC(=O)c1[nH]c2cc(OC)c(OC)cc2c1CCN3CCN(CC3)c4ccccc4	Training	0
74	-	CCOC(=O)C1=C(COCCN)NC(=C([C@@H]1c2ccccc2Cl)C(=O)OC)C	Test	0
75	-	COc1ccc(cc1)C(=C(c2ccc(OC)cc2)c3ccc(OC)cc3)CN(C)C	Training	0
76	-	Clc1ccc2Oc3ccccc3N=C(N4CCNCC4)c2c1	Training	0
77	-	CCNC(=O)N1CCN(CCCC(c2ccc(F)cc2)c3ccc(F)cc3)CC1	Training	0
78	-	C[C@@]12CC[C@H]3[C@H](CC=C4CC(=O)CC[C@]34C)[C@@H]1CCC2=O	Test	0
79	-	CCN(CC)CCCN(C1Cc2ccccc2C1)c3ccccc3	Training	0
80	-	COc1ccc2CCN(C)[C@@H](CCc3ccccc3)Cc4ccc(OC)c(O)c4c2c1	Training	0
82	-	COC(=O)C[C@H](O)C[C@H](O)CCn1c(C(C)C)c(C(=O)Nc2ccccc2)c(c3ccccc3)c1c4ccc(F)cc4	Training	0
85	-	Clc1ccc2Sc3ccccc3N(C(=O)CCN4CCN5CCC[C@H]5C4)c2c1	Training	0
86	-	CN1CCC[C@H](CC1)N2N=C(Cc3ccc(Cl)cc3)c4ccccc4C2=O	Test	0
88	-	CC[C@H]1NC(=O)[C@H]([C@H](OC(=O)C)[C@H](C)C\C=C\C)N(C)C(=O)[C@@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C	Training	0
89	-	C1CCC(CC1)\N=C\2/C=C3N(c4ccccc4)c5ccccc5N=C3C=C2Nc6ccccc6	Test	0
90	-	CCOC(=O)C1=C(C)NC(=C([C@H]1c2cccc(c2)[N+](=O)[O-])C(=O)OCCC[N+]3(C)CCC(CC3)(c4ccccc4)c5ccccc5)C	Test	0
92	-	Cc1ccc(cc1)\C(=C/CN2CCCC2)\c3cccc(\C=C\C(=O)N4CCCCC4)n3	Training	0
93	-	CC(C)OC(=O)\C=C\c1cccc(n1)\C(=C\CN2CCCC2)\c3ccc(C)cc3	Test	0
94	-	Cc1ccc(cc1)\C(=C/CN2CCCC2)\c3cccc(\C=C\C(=O)N4CCCC4)n3	Training	0
95	-	CN(C(=O)\C=C\c1cccc(n1)\C(=C\CN2CCCC2)\c3ccc(C)cc3)c4ccccc4	Training	0
96	-	Cc1ccc(cc1)\C(=C/CN2CCCC2)\c3cccc(\C=C\C(=O)N4CCOCC4)n3	Test	0
97	-	CCOC(=O)\C=C\c1cccc(n1)\C(=C\CN2CCCC2)\c3ccc(C)cc3	Training	0
98	-	COC(=O)C1=C(C)NC(=C([C@H]1c2cccc(c2)[N+](=O)[O-])C(=O)O[C@H]3CCN(Cc4ccccc4)C3)C	Training	0
99	-	COC(=O)C1=C(C)NC(=C([C@@H]1c2cccc(c2)[N+](=O)[O-])C(=O)O[C@@H]3CCCN(Cc4ccccc4)C3)C	Training	0
100	-	NC(=O)c1cccc(c1)[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O	Training	0
101	-	CN1[C@@H]2CC[C@H]1CC(C2)OC(c3ccccc3)c4ccccc4	Training	0
103	-	COc1ccc(CCNC[C@@H](O)COc2cccc(C)c2)cc1OC	Training	0
104	-	COc1cc(cc(OC)c1OC)C(=O)C(=O)N2CCCC[C@H]2C(=O)OC(CCCc3cccnc3)CCCc4cccnc4	Training	0
106	-	CCCCCCN1CCN(CC1)\C(=N\CC(C)C)\c2ccccc2	Training	0
107	-	CC(C)(C)c1ccc(CN2CCN(CC2)[C@H](c3ccccc3)c4ccc(Cl)cc4)cc1	Training	0
108	-	CCCCN(CCN(CC)CC)C(=O)c1cccc2ccccc12	Test	0
109	-	O=C1CC2(CCCC2)CC(=O)N1CCCCN3CCN(CC3)c4ncccn4	Test	0
111	-	COc1cc2nc(NCCc3cccc(OC)c3OC)nc(NCCc4cccc(OC)c4OC)c2cc1OC	Training	0
112	-	COc1ccc(CCNc2nc(N3CCc4cc(OC)c(OC)cc4C3)c5cc(ccc5n2)N(C)C)cc1OC	Test	0
113	-	COc1ccc(CCNc2nc(N(C)Cc3ccccc3)c4c(C)cccc4n2)cc1OC	Training	0
114	-	O[C@@H](COc1cccc2ncccc12)CN3CCN(CC3)C4c5ccccc5CCc6ccccc46	Training	0
115	-	COc1ccc(C[C@H](C)NCCC=C2c3ccccc3CCc4ccccc24)cc1OC	Training	0
116	-	O[C@@H](CN1CCN(CC1)C(=O)C(Cc2ccccc2)Cc3ccccc3)Oc4cccc5ncccc45	Test	0
117	-	COc1ccc(CCCN2CCC(Cc3ccccc3)CC2)cc1OC	Training	0
119	-	CN(C)CCO[C@H](c1ccc(Cl)cc1)c2ccccn2	Training	0
120	-	CCOC(C(=O)N(C)CCN(C)CCc1ccccc1)(c2ccccc2)c3ccccc3	Training	0
121	-	CCN(CC)CCN1C(=O)C(=Nc2ccccc12)Cc3ccc(OC)cc3	Training	0
122	-	COc1ccccc1OCCNC[C@H](O)COc2cccc3[nH]c4ccccc4c23	Training	0
