ID	row ID	SMILES	Exp (pAC50)	z-score	ExpValues	DBS	TI2_L	PW4	CATS2D_07_NL	KnimePrediction
1	C103902	O=C(Nc1ccc(O)cc1)C	0	NA	0	TS	2.349	0.137	0	0
2	C968810	O=C(NC1CCCCC1)NS(=O)(=O)c2ccc(cc2)C(=O)C	0	NA	0	VS	4.533	0.156	0	0
3	C520456	O=C1OC(=CC(O)=C1C(=O)C)C	0	NA	0	TS	1.482	0.187	0	0
4	C18699020	O=C(O)Cc1ccc(cc1)NC(=O)C	0	NA	0	VS	2.952	0.144	0	0
5	C50594666	O=C(O)c2cc(Oc1ccc(cc1Cl)C(F)(F)F)ccc2[N+](=O)[O-]	0	NA	0	TS	3.875	0.161	3	0
6	C82280	O=C1c3ccccc3(C(=O)c2c(N)c(ccc12)C)	0	NA	0	TS	1.418	0.214	0	0
7	C3775551	O=[N+]([O-])c1oc(cc1)C2=NNC(=N)O2	0	NA	0	TS	2.564	0.164	0	0
8	C99570	O=[N+]([O-])c1ccc(O)c(N)c1	0	NA	0	VS	1.696	0.135	0	0
9	C121880	O=[N+]([O-])c1ccc(N)c(O)c1	0	NA	0	TS	1.696	0.135	0	0
10	C119346	O=[N+]([O-])c1cc(N)ccc1(O)	0	NA	0	TS	1.553	0.16	0	0
11	C121664	O=[N+]([O-])C1=CNC(=N)S1	0	NA	0	TS	1.709	0.142	0	0
12	C117793	O=C1c3ccccc3(C(=O)c2cc(N)ccc12)	0	NA	0	TS	1.393	0.21	0	0
13	C97563	N(=Nc1ccccc1C)c2ccc(N)c(c2)C	0	NA	0	TS	3.742	0.153	0	0
14	C2113613	Nc1ccc(cc1)c2ccccc2	0	NA	0	VS	2.241	0.164	0	0
15	C15879933	OCC(O)C2OC1OC(OC1C2(O))C(Cl)(Cl)Cl	0	NA	0	TS	2.355	0.168	0	0
17	C20265978	O(c1ccc(N)cc1)C	0	NA	0	TS	1.544	0.136	0	0
18	C320672	O=C1NC(=N)N=CN1C2OC(CO)C(O)C2(O)	0	NA	0	VS	2.377	0.192	0	0
20	C30516871	[N-]=[N+]=NC1CC(OC1(CO))N2C=C(C(=O)NC2(=O))C	0	NA	0	TS	2.692	0.19	0	0
21	C92875	Nc1ccc(cc1)c2ccc(N)cc2	0	NA	0	TS	2.38	0.154	0	0
23	C91769	N=C1N=C(NC(=N)N1)c2ccccc2	0	NA	0	TS	2.214	0.179	0	0
24	C65850	O=C(O)c1ccccc1	0	NA	0	VS	1.659	0.139	0	0
25	C119539	O=C(c1ccccc1)C(O)c2ccccc2	0	NA	0	TS	3.098	0.173	0	0
