id	cas	smiles	status	exp values
1		O=C(Nc1ccc(O)cc1)C	Training	0
2		O=C(NC1CCCCC1)NS(=O)(=O)c2ccc(cc2)C(=O)C	Test	0
3		O=C1OC(=CC(O)=C1C(=O)C)C	Training	0
4		O=C(O)Cc1ccc(cc1)NC(=O)C	Test	0
5		O=C(O)c2cc(Oc1ccc(cc1Cl)C(F)(F)F)ccc2[N+](=O)[O-]	Training	0
6		O=C1c3ccccc3(C(=O)c2c(N)c(ccc12)C)	Training	0
7		O=[N+]([O-])c1oc(cc1)C2=NNC(=N)O2	Training	0
8		O=[N+]([O-])c1ccc(O)c(N)c1	Test	0
9		O=[N+]([O-])c1ccc(N)c(O)c1	Training	0
10		O=[N+]([O-])c1cc(N)ccc1(O)	Training	0
11		O=[N+]([O-])C1=CNC(=N)S1	Training	0
12		O=C1c3ccccc3(C(=O)c2cc(N)ccc12)	Training	0
13		N(=Nc1ccccc1C)c2ccc(N)c(c2)C	Training	0
14		Nc1ccc(cc1)c2ccccc2	Test	0
15		OCC(O)C2OC1OC(OC1C2(O))C(Cl)(Cl)Cl	Training	0
17		O(c1ccc(N)cc1)C	Training	0
18		O=C1NC(=N)N=CN1C2OC(CO)C(O)C2(O)	Test	0
20		[N-]=[N+]=NC1CC(OC1(CO))N2C=C(C(=O)NC2(=O))C	Training	0
21		Nc1ccc(cc1)c2ccc(N)cc2	Training	0
23		N=C1N=C(NC(=N)N1)c2ccccc2	Training	0
24		O=C(O)c1ccccc1	Test	0
25		O=C(c1ccccc1)C(O)c2ccccc2	Training	0
26		n1nc2ccccc2([nH]1)	Training	0
27		OCc1ccccc1	Training	0
28		Oc1ccc(cc1Cc2ccccc2)Cl	Training	0
29		O=C(OCc2cccc(c1ccccc1)c2C)C3C(C=C(C(F)(F)F)Cl)C3(C)(C)	Test	0
30		Oc1ccc(cc1)C(c2ccc(O)cc2)(C)C	Test	0
31		O=[N+]([O-])c1cc(ccc1(NCCO))N(CCO)CCO	Training	0
32		O=C(NC1(OC3(O)(N(C1(=O))C(C(=O)N2CCCC23)CC(C)C))C(C)C)C6=CC7c5cccc4[nH]c(c(c45)CC7(N(C)C6))Br	Training	0
33		O=C5C=CC3(C(=CCC2C4CC1OC(OC1(C(=O)CO)C4(C)(CC(O)C23))CCC)C5)(C)	Training	1
34		O=C(OCc1ccccc1)c2ccccc2(C(=O)OCCCC)	Training	0
35		O=C(OCCCC)c1ccc(O)cc1	Test	0
36		O=NN(CCCC)CCCCO	Training	0
37		Oc1ccc(cc1C(C)(C)C)C	Training	0
38		Oc1ccc(O)c(c1)C(C)(C)C	Test	0
39		Oc1ccc(cc1)C(C)(C)C	Test	1
40		O=C(N)NCCCC	Test	0
41		OC3CC(=CC=C1CCCC2(C)(C1CCC2(C(C=CC(C)C(C)C)C)))C(=C)CC3	Training	0
42		O=C1NCCCCC1	Test	1
43		Oc1c2c(c(O)n1SC(Cl)(Cl)Cl)CC=CC2	Training	0
44		c1ccc3c(c1)[nH]c2ccccc23	Training	0
