ID	code	SMILES	Exp (pAC50)	z-score	Class	DBS	TS_fit_0	TS_fit_1	TS_cv_0	TS_cv_1	VS_0	VS_1	set	Exp	SpMAD_B.m.	rGes	P_VSA_v_3	P_VSA_LogP_4	O.	O.057	nCconj	nCb.	MLOGP2	MLOGP	Mi	GATS8s	GATS1p	GATS1m	F06.C.O.	D.Dtr06	CATS2D_07_AL	CATS2D_03_LL	C.	C.026	B07.C.O.	ATSC7m
1	C103902	O=C(Nc1ccc(O)cc1)C	0.00		0.00	TS	0.8582834331	0.1417165669	0.8323353293	0.1676646707			training	0	-0.2802404902	0.0197904972	-0.8405745015	0.3284385569	0.2943207775	0.8352966032	-0.6456750172	-0.1270880628	-0.8074988352	-0.793814188	-0.0313568382	3.3099662092	-0.3883117977	0.1568399852	-0.3483667382	-0.5279919813	-0.4690667432	-0.6188856045	0.1796157655	0.5598110554	0.8063449824	-0.5792311771
2	C968810	O=C(NC1CCCCC1)NS(=O)(=O)c2ccc(cc2)C(=O)C	4.74	3.00	1	TS	0.2934131737	0.7065868263	0.8862275449	0.1137724551			training	1	-0.1826346319	-0.2254097003	-0.3473953033	0.9409093294	0.2164236329	-0.5000014879	0.0684211041	-0.1270880628	-0.7553993004	-0.6733921054	0.0711015201	0.8367368086	0.7307231403	0.2546884312	0.8983781875	0.5171511604	1.091052681	-0.139612147	-0.4365321475	-0.1442172525	0.8063449824	0.1923646112
3	C520456	O=C1OC(=CC(O)=C1C(=O)C)C	0.00		0	VS					0.7924151697	0.2075848303	test	0	-0.6488918588	1.0005912981	-0.9642622125	1.1841821284	1.930160815	0.8352966032	3.6389017107	-1.0768490589	-0.8111029214	-0.8029749663	-0.2523286133	-0.9594833788	0.1425357411	-0.4719050514	-0.5264731562	-0.5037323532	-0.7290866472	-0.8585223333	0.1796157655	-0.8482455604	-1.2387981574	-0.6329999481
4	C18699020	O=C(O)Cc1ccc(cc1)NC(=O)C	0.00		0	TS	0.8403193613	0.1596806387	0.8403193613	0.1596806387			training	0	-0.3251121431	-0.1553525003	-0.7106377276	0.9150500065	0.621488785	0.8352966032	-0.6456750172	-0.1270880628	-0.7327406246	-0.6265062262	-0.0755511932	1.4291445394	-0.2281177634	-0.022348278	-0.1702603203	-0.4247755514	-0.4690667432	-0.3792488758	0.1796157655	-0.1442172525	0.8063449824	-0.4966131342
5	C50594666	O=C(O)c2cc(Oc1ccc(cc1Cl)C(F)(F)F)ccc2[N+](=O)[O-]	4.43	3.00	1	TS	0.0818363273	0.9181636727	0.2155688623	0.7844311377			training	1	0.2460522626	0.3262907481	0.6018510189	0.2430009943	1.2969324137	0.8352966032	0.0684211041	1.7724339294	0.7658617934	0.9238249553	1.0242417867	0.1310526541	-1.1071739218	-1.5185377935	-0.3483667382	0.5630530819	0.0509730649	-0.2594305114	0.9216433584	1.9678676711	0.8063449824	-0.447083457
6	C82280	O=C1c3ccccc3(C(=O)c2c(N)c(ccc12)C)	0.00		0	TS	0.5748502994	0.4251497006	0.3672654691	0.6327345309			training	0	0.7988041813	1.0005912981	-0.0479643102	0.0588021112	-0.2133537169	-0.5000014879	0.7825172254	1.7724339294	0.166473059	0.4612709547	-1.4591766647	-0.7742905473	-1.2876975975	-0.5054885704	-0.5264731562	-0.085380742	-0.7290866472	0.5792980392	1.8651698243	-0.1442172525	-1.2387981574	-0.4120396095
7	C3775551	O=[N+]([O-])c1oc(cc1)C2=NNC(=N)O2	0.00		0	TS	0.9061876248	0.0938123752	0.8682634731	0.1317365269			training	0	0.4370728894	0.6152767004	-1.1457192059	-1.1962071607	2.293680823	-0.5000014879	0.0684211041	-1.0768490589	-0.6481616818	-0.4711650824	1.5458350164	0.9500771388	-0.3333237136	-1.2492252601	-0.7045795741	-0.8062996396	-0.7290866472	-0.8585223333	-0.7788365431	-0.8482455604	0.8063449824	-0.6320425639
8	C99570	O=[N+]([O-])c1ccc(O)c(N)c1	0.00		0	VS					0.754491018	0.245508982	test	0	0.1435737463	0.5101908976	-1.2374286824	-0.3436104555	1.5452572762	0.8352966032	-0.6456750172	0.3477924353	-0.7301915631	-0.6213979657	0.8318800472	-0.9594833788	-1.4628549398	-0.4622611404	-0.7045795741	-0.5343205799	-0.7290866472	-0.7387039689	-0.4969388045	1.2638393632	-1.2387981574	-0.6920577317
9	C121880	O=[N+]([O-])c1ccc(N)c(O)c1	0.00		0	TS	0.7624750499	0.2375249501	0.6467065868	0.3532934132			training	0	0.14284793	0.5101908976	-1.2374286824	-0.3436104555	1.5452572762	0.8352966032	-0.6456750172	0.3477924353	-0.7301915631	-0.6213979657	0.8318800472	-0.9594833788	-1.4628549398	-0.4622611404	-0.7045795741	-0.5343205799	-0.7290866472	-0.7387039689	-0.4969388045	1.2638393632	-1.2387981574	-0.6616068725
10	C119346	O=[N+]([O-])c1cc(N)ccc1(O)	0.00		0	VS					0.7964071856	0.2035928144	test	0	0.1325835512	0.5101908976	-1.2374286824	-0.3436104555	1.5452572762	0.8352966032	-0.6456750172	0.3477924353	-0.8580377003	-0.937043394	0.8318800472	-0.9594833788	-1.4628549398	-0.4622611404	-0.7045795741	-0.5343205799	-0.7290866472	-0.7387039689	-0.4969388045	1.2638393632	-1.2387981574	-0.6871198468
