id		smiles	status	exp values
1		O=C(c1cc(c(OCCN(CC)CC)c(c1)I)I)c2c3ccccc3(oc2CCCC)	Training	0.0141
2		O=C(O)CCSC(c3cccc(C=Cc1nc2cc(ccc2(cc1))Cl)c3)SCCC(=O)N(C)C	Test	0.02
3		Oc1c(O)c(c(O)c2ccccc12)C4=CCC(c3ccc(cc3)Cl)CC4	Test	0.0316
4		O=C(O)Cc2cccc(C(=O)c1ccc(cc1)Br)c2(N)	Test	0.0332
5		O=C(O)C(OCC)Cc2ccc(OCCc1ccc(OS(=O)(=O)C)cc1)cc2	Training	0.0332
6		O=C(NC)c2cccc3C(=Nc1ccc(cc1(OC))NS(=O)(=O)C)c4cccc(c4(Nc23))C	Training	0.0332
7		Oc1cc2cc(c(cc2([nH]1))Cl)CCN5CCN(c3nsc4ccccc34)CC5	Training	0.0346
8		OC3CC(=CC=C1CCCC2(C)(C1CCC2(C(C=CC(C)C(O)(C)C)C)))CC(O)C3	Test	0.04
9		O=C(O)c1cc(ccc1(O))c2ccc(F)cc2(F)	Training	0.04
10		O=C1N(N=CN1c2ccc(cc2)N7CCN(c6ccc(OCC3OC(OC3)(c4ccc(cc4Cl)Cl)Cn5ncnc5)cc6)CC7)C(C)CC	Test	0.0447
11		O=C(O)CC1(CC1)CSC(c4cccc(C=Cc2nc3cc(ccc3(cc2))Cl)c4)CCc5ccccc5C(O)(C)C	Test	0.0447
12		O=C1NC(O)c8c1c3c2ccccc2n6c3c5c8(c4ccccc4n5C7(OC6CC(NC)C7(OC))(C))	Test	0.0469
13		O=C(NC1C(=O)NC(C(=O)N4CC(O)CC4(C(=O)NC(C(=O)NC(C(=O)N2CC(C)C(O)C2(C(=O)NC(O)C(O)C1))C(O)CC(=O)N)C(O)C(O)c3ccc(O)c(OS(=O)(=O)O)c3))C(O)C)c5ccc(cc5)c6noc(c6)c7ccc(OCCCCC)cc7	Test	0.048
14		O=C(OC)C2=C(N=C(C)C(C(=O)OCC(C)C)C2(c1ccccc1[N+](=O)[O-]))C	Test	0.0548
15		O=C(Nc1cccc(c1)C(=O)Nc2cc(ccc2C)C(=O)Nc3ccc(c4cc(cc(c34)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)Nc5cccc(c5)C(=O)Nc6cc(ccc6C)C(=O)Nc7ccc(c8cc(cc(c78)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O	Test	0.0548
16		O=C2OCC=1C(=O)N4C(=CC=1C2(O)CC)c3nc5cccc(N)c5(cc3C4)	Test	0.0548
17		O=C(N=C1NC=C(C)S1)C3C(=O)c2ccccc2S(=O)(=O)N3(C)	Test	0.0548
18		O=C(OCC#CCN(CC)CC)C(O)(c1ccccc1)C2CCCCC2	Test	0.0583
19		O=C(OCC)C2=C(N=C(C)C(C(=O)OC)C2(c1cccc(c1Cl)Cl))C	Test	0.06
20		O=C(OCOC(=O)CCC)C2=C(N=C(C)C(C(=O)OC)C2(c1cccc(c1Cl)Cl))C	Training	0.0616
21		O=C2Nc1cc(ccc1C2(F)c3cc(ccc3(OC))Cl)C(F)(F)F	Training	0.0616
22		O=C(OC3C5C6(OC(=O)C)(COC6(CC(O)C5(C(=O)C(OC(=O)C)=C4C(C)C(OC(=O)C(OC(=O)CCC=CCC=CCC=CCC=CCC=CCC=CCC)C(NC(=O)c1ccccc1)c2ccccc2)CC3(O)C4(C)C)(C))))c7ccccc7	Test	0.0616
23		O=C2C(=C(O)N3C(=Nc1ccc(cc1N23)C)N(C)C)CCC	Test	0.0632
24		O=C(O)c6ccccc6(c1ccc(cc1)Cn2c3cc(cc(c3(nc2CCC))C)c5nc4ccccc4n5C)	Test	0.0632
25		O=C6OCC7C(OC1OC2COC(OC2(C(O)C1(O)))c3cccs3)c4cc8OCOc8(cc4C(c5cc(OC)c(O)c(OC)c5)C67)	Test	0.0663
26		O=C(OCC)C2=C(N=C(C)C(C(=O)OC)C2(c1ccccc1Cl))COCCN	Test	0.0707
27		O=C(OC2(CCc1cc(F)ccc1C2(C(C)C))(CCN(C)CCCc3nc4ccccc4([nH]3)))COC	Test	0.0707
28		N#CC3(c2ccc(OC)c(OC1CCCC1)c2)(CCC(C(=O)O)CC3)	Test	0.0775
29		O=C(O)C(c1ccc(cc1)CC(C)C)C	Test	0.0775
