Name	Standardized SMILES	SMILES (ionized)	Exp (logK)	Prediction	Set	AD evaluation	ALOGP	P_VSA_i_2	MLOGP	P_VSA_p_3	Eta_betaP	CATS2D_00_LL	C.	PCD	Ui	N.	totalcharge	CATS2D_00_PP	C.024	nCsp2	MLOGP2	GATS1i	SpMax2_Bh.p.	nBM	MATS5e	AMW	F01.C.N.	T.O..O.	J_D.Dt	SpMax_AEA.dm.
Amiodarone 	O=C(c1cc(c(OCCN(CC)CC)c(c1)I)I)c2c3ccccc3(oc2CCCC)	CCCCC1=C(C(=O)C2=CC(I)=C(OCC[NH+](CC)CC)C(I)=C2)C2=CC=CC=C2O1	3.698883137	2.77528150067	TS		5.678	134.772	1.422	134.772	16	17	41	3.191	3.322	1.6	1	1	6	15	2.021	1.158	4.004	17	-0.045	10.596	3	18	15.2285	3.673
Verlukast	O=C(O)CCSC(c3cccc(C=Cc1nc2cc(ccc2(cc1))Cl)c3)SCCC(=O)N(C)C	CN(C)C(=O)CCSC(SCCC([O-])=O)C1=CC=CC(C=CC2=CC=C3C=CC(Cl)=CC3=N2)=C1	3.397766256	2.8187151741	TS		4.998	156.665	4.384	260.253	20.5	19	43.3	4.144	3.644	3.3	-1	0	9	19	19.22	1.121	3.911	20	0.058	8.569	5	22	14.8229	5.015
Atovaquone	Oc1c(O)c(c(O)c2ccccc12)C4=CCC(c3ccc(cc3)Cl)CC4	OC1=C(O)C(=C(O)C2=CC=CC=C12)C1=CCC(CC1)C1=CC=C(Cl)C=C1	2.999565488	2.76096960105	TS		5.826	111.093	4.228	150.242	19	19	48.9	3.689	3.392	0	0	0	8	18	17.873	0.81	3.909	18	-0.054	8.152	0	12	13.9586	3.486
Bromfenac	O=C(O)Cc2cccc(C(=O)c1ccc(cc1)Br)c2(N)	NC1=C(C=CC=C1CC([O-])=O)C(=O)C1=CC=C(Br)C=C1	2.958129328	2.49250701175	TS		2.197	142.039	3.736	142.039	15.5	12	48.4	2.312	3.17	3.2	-1	1	7	14	13.954	0.827	3.805	14	-0.037	10.747	1	16	12.3697	3.662
Tesaglitazar	O=C(O)C(OCC)Cc2ccc(OCCc1ccc(OS(=O)(=O)C)cc1)cc2	CCOC(CC1=CC=C(OCCC2=CC=C(OS(C)(=O)=O)C=C2)C=C1)C([O-])=O	2.958129328	2.5235215219	TS		2.771	129.652	2.33	137.402	17.5	13	39.2	2.361	3.322	0	-1	0	8	13	5.431	1.335	3.864	15	-0.072	7.99	0	206	13.094	5.052
Amsalog	O=C(NC)c2cccc3C(=Nc1ccc(cc1(OC))NS(=O)(=O)C)c4cccc(c4(Nc23))C	CNC(=O)C1=CC=CC2=C(NC3=CC=C(NS(C)(=O)=O)C=C3OC)C3=CC=CC(C)=C3[NH+]=C12	2.958129328	2.42401725767	TS		3.861	154.605	1.886	160.412	25	14	41.4	4.908	3.907	6.9	1	1	9	20	3.558	1.267	3.961	25	-0.096	8.028	7	49	18.5838	4.311
Ziprasidone	Oc1cc2cc(c(cc2([nH]1))Cl)CCN5CCN(c3nsc4ccccc34)CC5	ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1	2.920297288	2.44536628931	TS		4.259	95.435	3.443	165.636	16.5	12	42.9	3.196	3.322	8.2	0	0	6	14	11.854	1.325	3.948	17	-0.03	8.428	9	0	12.5731	3.69
Paricalcitol	OC3CC(=CC=C1CCCC2(C)(C1CCC2(C(C=CC(C)C(O)(C)C)C)))CC(O)C3	CC(C=CC(C)C(C)(C)O)C1CCC2C(CCCC12C)=CC=C1CC(O)CC(O)C1	2.79518459	2.29643812023	TS		4.863	108.678	4.472	108.678	4	24	36.5	1.373	2	0	0	0	0	6	19.996	1.232	3.783	3	-0.018	5.631	0	34	15.3015	3.728
Diflunisal	O=C(O)c1cc(ccc1(O))c2ccc(F)cc2(F)	OC1=CC=C(C=C1C([O-])=O)C1=CC=C(F)C=C1F	2.79518459	2.42579734818	TS		2.419	91.371	3.993	91.371	14	9	52	2.409	3	0	-1	0	6	13	15.944	0.726	3.693	13	-0.165	9.968	0	10	12.1258	3.614
Itraconazole	O=C1N(N=CN1c2ccc(cc2)N7CCN(c6ccc(OCC3OC(OC3)(c4ccc(cc4Cl)Cl)Cn5ncnc5)cc6)CC7)C(C)CC	CCC(C)N1N=CN(C1=O)C1=CC=C(C=C1)N1CCN(CC1)C1=CC=C(OCC2COC(CN3C=NC=N3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1	2.698100546	2.34221553759	TS		6.467	197.969	5.127	276.266	27	17	40.2	3.65	3.858	9.2	0	0	11	22	26.29	1.505	3.876	25	-0.014	8.112	17	61	11.1489	4.131
