ID	code	SMILES	Exp (pAC50)	z-score	Class	DBS	set	Exp	TS_fit_0	TS_fit_1	TS_cv_0	TS_cv_1	VS_0	VS_1	ChiA_Dz.Z.	Eta_alpha_A	GGI3	MAXDN	MLOGP2	P_VSA_ppp_D	P_VSA_ppp_L	SdssC	SpMax_B.m.	SpMax_B.s.	SpMax4_Bh.m.	SpMin2_Bh.m.	SpPosA_B.v.	Wap	X5v
1	C103902	O=C(Nc1ccc(O)cc1)C	0.00		0	TS	train	0	0.9850746269	0.0149253731	0.9452736318	0.0547263682			0.049	0.461	0.5	1.782	1.123	60.694	46.73	-0.115	3.663	7.43	2.687	1.702	1.271	409	0.454
2	C968810	O=C(NC1CCCCC1)NS(=O)(=O)c2ccc(cc2)C(=O)C	4.25	5.14	1	TS	train	1	0.2587064677	0.7412935323	0.5820895522	0.4179104478			0.015	0.476	1.812	4.843	1.574	34.416	62.588	-0.852	4.71	7.717	3.318	2.006	1.258	3635	2.315
3	C520456	O=C1OC(=CC(O)=C1C(=O)C)C	0.00		0	TS	train	0	0.9552238806	0.0447761194	0.8258706468	0.1741293532			0.047	0.444	1.75	2.458	1.092	42.683	30.312	-1.624	3.81	7.447	2.843	1.7	1.272	494	0.379
4	C18699020	O=C(O)Cc1ccc(cc1)NC(=O)C	0.00		0	TS	train	0	0.960199005	0.039800995	0.815920398	0.184079602			0.029	0.457	0.75	2.53	1.77	60.694	52.45	-1.006	3.671	7.477	2.755	1.718	1.272	786	0.661
5	C50594666	O=C(O)c2cc(Oc1ccc(cc1Cl)C(F)(F)F)ccc2[N+](=O)[O-]	4.27	5.22	1	TS	train	1	0.0646766169	0.9353233831	0.1343283582	0.8656716418			0.013	0.443	2.125	5.827	14.749	42.683	102.377	-1.55	3.978	8.513	3.475	1.924	1.253	5611	1.308
7	C3775551	O=[N+]([O-])c1oc(cc1)C2=NNC(=N)O2	0.00		0	TS	train	0	0.9054726368	0.0945273632	0.8308457711	0.1691542289			0.036	0.424	0.722	2.669	2.503	49.56	18.952	-0.248	3.929	7.815	2.718	1.483	1.288	1303	0.429
8	C99570	O=[N+]([O-])c1ccc(O)c(N)c1	0.00		0	TS	train	0	0.9850746269	0.0149253731	0.9552238806	0.0447761194			0.058	0.436	0.687	2.574	1.793	75.581	28.429	0	3.865	7.815	2.633	1.309	1.263	399	0.392
9	C121880	O=[N+]([O-])c1ccc(N)c(O)c1	0.00		0	VS	test	0					0.9850746269	0.0149253731	0.059	0.436	0.687	2.598	1.793	75.581	28.429	0	3.865	7.815	2.712	1.337	1.263	399	0.394
10	C119346	O=[N+]([O-])c1cc(N)ccc1(O)	0.00		0	TS	train	0	0.9850746269	0.0149253731	0.9552238806	0.0447761194			0.06	0.436	0.937	2.689	0.685	75.581	28.429	0	3.884	7.815	2.515	1.309	1.259	399	0.404
11	C121664	O=[N+]([O-])C1=CNC(=N)S1	0.00		0	TS	train	0	0.960199005	0.039800995	0.9054726368	0.0945273632			0.101	0.467	0.597	2.529	0.027	49.683	32.22	0.071	4.049	7.815	2.569	1.281	1.288	219	0.322
