id	cas	smiles	status	exp values
1		O=C(Nc1ccc(O)cc1)C	Training	0
2		O=C(NC1CCCCC1)NS(=O)(=O)c2ccc(cc2)C(=O)C	Training	1
3		O=C1OC(=CC(O)=C1C(=O)C)C	Training	0
4		O=C(O)Cc1ccc(cc1)NC(=O)C	Training	0
5		O=C(O)c2cc(Oc1ccc(cc1Cl)C(F)(F)F)ccc2[N+](=O)[O-]	Training	1
6		O=[N+]([O-])c1oc(cc1)C2=NNC(=N)O2	Training	0
7		O=[N+]([O-])c1ccc(O)c(N)c1	Training	0
8		O=[N+]([O-])c1ccc(N)c(O)c1	Test	0
9		O=[N+]([O-])c1cc(N)ccc1(O)	Training	0
10		O=[N+]([O-])C1=CNC(=N)S1	Training	0
11		Nc1ccc(cc1)c2ccccc2	Training	1
12		OCC(O)C2OC1OC(OC1C2(O))C(Cl)(Cl)Cl	Training	1
13		O(c1ccc(N)cc1)C	Training	0
14		O=C1NC(=N)N=CN1C2OC(CO)C(O)C2(O)	Test	0
15		[N-]=[N+]=NC1CC(OC1(CO))N2C=C(C(=O)NC2(=O))C	Training	0
16		Nc1ccc(cc1)c2ccc(N)cc2	Training	1
17		N=C1N=C(NC(=N)N1)c2ccccc2	Training	0
18		O=C(O)c1ccccc1	Training	0
19		O=C(c1ccccc1)C(O)c2ccccc2	Training	1
20		n1nc2ccccc2([nH]1)	Training	0
21		OCc1ccccc1	Training	0
22		Oc1ccc(cc1)C(c2ccc(O)cc2)(C)C	Training	1
23		O=[N+]([O-])c1cc(ccc1(NCCO))N(CCO)CCO	Test	0
24		O=C(NC1(OC3(O)(N(C1(=O))C(C(=O)N2CCCC23)CC(C)C))C(C)C)C6=CC7c5cccc4[nH]c(c(c45)CC7(N(C)C6))Br	Training	1
25		O=C5C=CC3(C(=CCC2C4CC1OC(OC1(C(=O)CO)C4(C)(CC(O)C23))CCC)C5)(C)	Test	1
26		O=C(OCCCC)c1ccc(O)cc1	Training	1
27		O=NN(CCCC)CCCCO	Training	1
28		Oc1ccc(cc1)C(C)(C)C	Test	1
29		O=C(N)NCCCC	Training	1
30		OC3CC(=CC=C1CCCC2(C)(C1CCC2(C(C=CC(C)C(C)C)C)))C(=C)CC3	Training	1
31		O=C1NCCCCC1	Training	1
32		Oc1c2c(c(O)n1SC(Cl)(Cl)Cl)CC=CC2	Training	0
33		O=C(Oc2cccc1c2(OC(C)(C)C1))NC	Training	1
34		O=C(N)NC(=O)C(CC)(CC)Br	Training	1
35		Oc1ccccc1(O)	Training	0
36		O=C(O)c1cc(cc(N)c1Cl)Cl	Training	0
37		O=C(O)CCCc1ccc(cc1)N(CCCl)CCCl	Training	0
38		O=C(NC(CO)C(O)c1ccc(cc1)[N+](=O)[O-])C(Cl)Cl	Training	1
