No.	CAS	SMILES	Set	Exp Air Half-Life [Log(hours)]
1	91-59-8	Nc1ccc2ccccc2(c1)	Training	-0.699
2	134-32-7	Nc1cccc2ccccc12	Training	-0.699
3	114-26-1	O=C(Oc1ccccc1(OC(C)C))NC	Training	-0.699
4	91-94-1	Nc1ccc(cc1Cl)c2ccc(N)c(c2)Cl	Training	-0.699
5	86-30-6	O=NN(c1ccccc1)c2ccccc2	Test	-0.699
6	122-39-4	c1ccc(cc1)Nc2ccccc2	Test	-0.699
7	92-87-5	Nc1ccc(cc1)c2ccc(N)cc2	Test	-0.699
8	1563-66-2	O=C(Oc2cccc1c2(OC(C)(C)C1))NC	Training	-0.699
9	309-00-2	C1=CC2CC1C3C2C4(C(=C(C3(C4(Cl)Cl)Cl)Cl)Cl)Cl	Training	-0.699
10	17804-35-2	O=C(OC)Nc2nc1ccccc1n2(C(=O)NCCCC)	Training	-0.699
11	75-07-0	O=CC	Training	-0.699
12	62-75-9	O=NN(C)C	Training	-0.699
13	124-40-3	N(C)C	Training	-0.699
14	141-43-5	OCCN	Training	-0.699
15	107-02-8	O=CC=C	Training	-0.699
16	111-42-2	OCCNCCO	Training	-0.699
17	106-99-0	C=CC=C	Test	-0.699
18	123-72-8	O=CCCC	Training	-0.699
19	109-67-1	C=CCCC	Training	-0.699
20	142-29-0	C1=CCCC1	Training	-0.699
21	591-93-5	C=CCC=C	Training	-0.699
22	110-83-8	C1=CCCCC1	Training	-0.699
23	693-02-7	C#CCCCC	Training	-0.699
24	108-91-8	NC1CCCCC1	Training	-0.699
25	621-64-7	O=NN(CCC)CCC	Training	-0.699
26	98-95-3	O=[N+]([O-])c1ccccc1	Training	-0.699
27	106-47-8	Nc1ccc(cc1)Cl	Training	-0.699
28	62-53-3	Nc1ccccc1	Training	-0.699
29	628-41-1	C1=CCC=CC1	Test	-0.699
30	116-06-3	O=C(ON=CC(C)(C)SC)NC	Training	-0.699
31	95-48-7	Oc1ccccc1C	Test	-0.699
32	95-53-4	Nc1ccccc1C	Training	-0.699
33	87-62-7	Nc1c(cccc1C)C	Training	-0.699
34	121-69-7	c1ccc(cc1)N(C)C	Training	-0.699
35	1912-24-9	n1c(nc(nc1NC(C)C)Cl)NCC	Training	-0.699
36	111-66-0	C=CCCCCCC	Training	-0.699
37	100-42-5	C=Cc1ccccc1	Test	-0.699
38	100-52-7	O=Cc1ccccc1	Training	-0.699
39	106-44-5	Oc1ccc(cc1)C	Test	-0.778
40	7085-19-0	O=C(O)C(Oc1ccc(cc1C)Cl)C	Training	-1.23
41	95-93-2	c1c(c(cc(c1C)C)C)C	Training	-1.23
42	99-87-6	c1cc(ccc1C)C(C)C	Training	-1.23
43	56-38-2	O=[N+]([O-])c1ccc(OP(OCC)(OCC)=S)cc1	Training	-1.23
44	2303-16-4	O=C(N(C(C)C)C(C)C)SCC(=CCl)Cl	Training	-1.23
45	121-75-5	O=C(OCC)CC(C(=O)OCC)SP(OC)(OC)=S	Training	-1.23
46	124-18-5	CCCCCCCCCC	Training	-1.23
47	91-20-3	c1ccc2ccccc2(c1)	Training	-1.23
48	90-12-0	c1ccc2c(c1)cccc2C	Training	-1.23
49	101-84-8	O(c1ccccc1)c2ccccc2	Test	-1.23
50	1127-76-0	c1ccc2c(c1)cccc2CC	Training	-1.23
51	581-40-8	c1ccc2cc(c(cc2(c1))C)C	Test	-1.23
52	112-40-3	CCCCCCCCCCCC	Training	-1.23
53	7005-72-3	O(c1ccccc1)c2ccc(cc2)Cl	Test	-1.23
54	33820-53-0	O=[N+]([O-])c1cc(cc(c1N(CCC)CCC)[N+](=O)[O-])C(C)C	Training	-1.23
55	72-43-5	O(c1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)C	Training	-1.23
56	542-88-1	O(CCl)CCl	Training	-1.23
57	107-30-2	O(C)CCl	Training	-1.23
58	60-35-5	O=C(N)C	Test	-1.23
59	62-55-5	NC(C)=S	Test	-1.23
60	115-10-6	O(C)C	Test	-1.23
61	75-04-7	NCC	Test	-1.23
62	79-10-7	O=C(O)C=C	Test	-1.23
63	60-29-7	O(CC)CC	Training	-1.23
64	109-73-9	NCCCC	Training	-1.23
65	110-00-9	o1cccc1	Training	-1.23
66	625-38-7	O=C(O)CC=C	Test	-1.23
67	110-75-8	O(C=C)CCCl	Training	-1.23
68	111-44-4	O(CCCl)CCCl	Training	-1.23
69	109-99-9	O1CCCC1	Training	-1.23
70	287-92-3	C1CCCC1	Training	-1.23
71	111-91-1	O(COCCCl)CCCl	Training	-1.23
72	109-66-0	CCCCC	Training	-1.23
73	1634-04-4	O(C)C(C)(C)C	Training	-1.23
74	80-62-6	O=C(OC)C(=C)C	Training	-1.23
75	110-82-7	C1CCCCC1	Training	-1.23
76	96-37-7	CC1CCCC1	Test	-1.23
77	110-54-3	CCCCCC	Training	-1.23
78	111-43-3	O(CCC)CCC	Training	-1.23
79	462-06-6	Fc1ccccc1	Training	-1.23
80	71-43-2	c1ccccc1	Training	-1.23
81	108-95-2	Oc1ccccc1	Training	-1.23
82	120-80-9	Oc1ccccc1(O)	Test	-1.23
83	108-87-2	CC1CCCCC1	Training	-1.23
84	121-14-2	O=[N+]([O-])c1ccc(c(c1)[N+](=O)[O-])C	Training	-1.23
85	55-21-0	O=C(N)c1ccccc1	Training	-1.23
86	99-99-0	O=[N+]([O-])c1ccc(cc1)C	Test	-1.23
87	88-72-2	O=[N+]([O-])c1ccccc1C	Training	-1.23
88	108-88-3	c1ccc(cc1)C	Training	-1.23
89	100-66-3	O(c1ccccc1)C	Training	-1.23
90	90-05-1	Oc1ccccc1(OC)	Training	-1.23
91	100-41-4	c1ccc(cc1)CC	Training	-1.23
92	106-42-3	c1cc(ccc1C)C	Training	-1.23
93	108-38-3	c1cc(cc(c1)C)C	Training	-1.23
94	95-47-6	c1ccc(c(c1)C)C	Training	-1.23
95	298-00-0	O=[N+]([O-])c1ccc(OP(OC)(OC)=S)cc1	Test	-1.23
96	105-67-9	Oc1ccc(cc1C)C	Training	-1.23
97	292-64-8	C1CCCCCCC1	Training	-1.23
98	111-65-9	CCCCCCCC	Test	-1.23
99	94-75-7	O=C(O)COc1ccc(cc1Cl)Cl	Training	-1.23
100	96-09-3	O1CC1c2ccccc2	Training	-1.23
101	496-11-7	c1ccc2c(c1)CCC2	Training	-1.23
102	330-54-1	O=C(Nc1ccc(c(c1)Cl)Cl)N(C)C	Training	-1.23
103	330-55-2	O=C(Nc1ccc(c(c1)Cl)Cl)N(OC)C	Test	-1.23
104	2921-88-2	n1c(OP(OCC)(OCC)=S)c(cc(c1Cl)Cl)Cl	Training	-1.23
105	103-65-1	c1ccc(cc1)CCC	Training	-1.23
106	95-63-6	c1cc(c(cc1C)C)C	Training	-1.23
107	108-67-8	c1c(cc(cc1C)C)C	Test	-1.23
108	526-73-8	c1cc(c(c(c1)C)C)C	Training	-1.23
109	98-82-8	c1ccc(cc1)C(C)C	Training	-1.23
110	759-94-4	O=C(N(CCC)CCC)SCC	Test	-1.23
111	133-06-2	O=C1N(C(=O)C2CC=CCC12)SC(Cl)(Cl)Cl	Training	-1.23
112	2131-41-1	c1cc2c(c(c1)C)c(ccc2C)C	Training	-1.23
113	108-60-1	O(C(C)CCl)C(C)CCl	Training	-1.23
114	39638-32-9	O(C(C)(C)Cl)C(C)(C)Cl	Training	-1.23
115	94-82-6	O=C(O)CCCOc1ccc(cc1Cl)Cl	Training	-1.74
116	76-44-8	C1=CC(C2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl	Training	-1.74
117	57-74-9	C2(=C(C3(C1C(CC(C1Cl)Cl)C2(C3(Cl)Cl)Cl)Cl)Cl)Cl	Test	-1.74
118	83-32-9	c2cc1cccc3c1c(c2)CC3	Training	-1.74
119	63-25-2	O=C(Oc1cccc2ccccc12)NC	Training	-1.74
120	60-57-1	O1C2C1C3CC2C4C3C5(C(=C(C4(C5(Cl)Cl)Cl)Cl)Cl)Cl	Test	-1.74
121	132-64-9	o2c1ccccc1c3ccccc23	Training	-1.74
122	86-73-7	c1ccc3c(c1)c2ccccc2C3	Training	-1.74
123	120-12-7	c1ccc2cc3ccccc3(cc2(c1))	Training	-1.74
124	85-01-8	c1ccc3c(c1)ccc2ccccc23	Training	-1.74
125	84-74-2	O=C(OCCCC)c1ccccc1(C(=O)OCCCC)	Test	-1.74
