ID	CAS	SMILES	Class	P(soil) class	KNN prediction
1	50-29-3	c1cc(ccc1C(c2ccc(cc2)Cl)C(Cl)(Cl)Cl)Cl	Training	4	4
2	50-32-8	c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45	Training	4	4
3	53-70-3	c1ccc5c(c1)ccc4cc3c(ccc2ccccc23)cc45	Training	4	4
4	55-21-0	O=C(N)c1ccccc1	Training	1	1
5	56-23-5	C(Cl)(Cl)(Cl)Cl	Training	3	3
6	56-55-3	c3ccc4cc2c(ccc1ccccc12)cc4(c3)	Training	4	4
7	57-74-9	C2(=C(C3(C1C(CC(C1Cl)Cl)C2(C3(Cl)Cl)Cl)Cl)Cl)Cl	Training	4	4
8	60-29-7	O(CC)CC	Training	1	1
9	60-35-5	O=C(N)C	Training	1	1
10	60-57-1	O1C2C1C3CC2C4C3C5(C(=C(C4(C5(Cl)Cl)Cl)Cl)Cl)Cl	Training	4	4
11	62-53-3	Nc1ccccc1	Training	1	1
12	62-55-5	NC(C)=S	Training	1	1
13	62-75-9	O=NN(C)C	Training	2	1
14	63-25-2	O=C(Oc1cccc2ccccc12)NC	Training	1	2
15	64-17-5	OCC	Training	1	1
16	64-18-6	O=CO	Training	1	1
17	64-19-7	O=C(O)C	Training	1	1
18	65-85-0	O=C(O)c1ccccc1	Training	1	1
19	67-56-1	OC	Training	1	1
20	67-63-0	OC(C)C	Training	1	1
21	67-64-1	C(C)(C)=O	Training	1	1
22	67-66-3	C(Cl)(Cl)Cl	Training	3	3
23	67-72-1	C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl	Training	3	3
24	69-72-7	O=C(O)c1ccccc1(O)	Training	1	1
25	71-23-8	C(O)CC	Training	1	1
26	71-36-3	C(O)CCC	Training	1	1
27	71-41-0	C(O)CCCC	Training	1	1
28	71-43-2	c1ccccc1	Training	1	2
29	72-43-5	O(c1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)C	Training	2	4
30	72-55-9	c1cc(ccc1C(c2ccc(cc2)Cl)=C(Cl)Cl)Cl	Training	4	4
31	74-97-5	C(Cl)Br	Training	2	2
32	75-01-4	C=CCl	Training	2	2
33	75-04-7	NCC	Training	1	1
34	75-07-0	C(C)=O	Training	1	1
35	75-09-2	C(Cl)Cl	Training	3	2
36	75-27-4	C(Cl)(Cl)Br	Training	2	3
37	75-65-0	OC(C)(C)C	Training	1	1
38	76-01-7	C(C(Cl)(Cl)Cl)(Cl)Cl	Training	3	3
39	78-83-1	C(C)(C)CO	Training	1	1
40	78-87-5	CC(CCl)Cl	Training	3	3
41	78-93-3	C(C)(=O)CC	Training	1	1
42	79-01-6	C(=C(Cl)Cl)Cl	Training	2	2
43	79-10-7	O=C(O)C=C	Training	1	1
44	79-11-8	C(=O)(O)CCl	Training	1	1
45	79-20-9	O=C(OC)C	Training	1	1
46	79-34-5	C(C(Cl)Cl)(Cl)Cl	Training	3	3
47	80-62-6	O=C(OC)C(=C)C	Training	1	1
48	84-66-2	C(=O)(c1c(C(=O)OCC)cccc1)OCC	Training	1	1
49	84-74-2	O=C(OCCCC)c1ccccc1(C(=O)OCCCC)	Training	1	1
50	85-01-8	c1ccc3c(c1)ccc2ccccc23	Training	3	4
51	85-68-7	O=C(OCc1ccccc1)c2ccccc2(C(=O)OCCCC)	Training	1	1
52	86-30-6	O=NN(c1ccccc1)c2ccccc2	Training	2	1
53	86-73-7	c1ccc3c(c1)c2ccccc2C3	Training	3	1
54	87-62-7	Nc1c(cccc1C)C	Training	1	1
55	88-06-2	Oc1c(cc(cc1Cl)Cl)Cl	Training	2	2
56	88-72-2	O=[N+]([O-])c1ccccc1C	Training	2	2
57	88-75-5	O=[N+]([O-])c1ccccc1(O)	Training	1	2
58	88-99-3	O=C(O)c1ccccc1(C(=O)O)	Training	1	1
59	90-05-1	c1(O)c(OC)cccc1	Training	1	1
60	90-12-0	c1ccc2c(c1)cccc2C	Training	2	2
61	91-20-3	c1ccc2ccccc2(c1)	Training	2	3
62	91-22-5	n1cccc2ccccc12	Training	1	1
63	91-59-8	Nc1ccc2ccccc2(c1)	Training	1	1
64	92-52-4	c1(-c2ccccc2)ccccc1	Training	1	2
65	92-87-5	Nc1ccc(cc1)c2ccc(N)cc2	Training	1	1
66	95-15-8	c12c(C=CS1)cccc2	Training	2	2
67	95-47-6	c1(C)c(C)cccc1	Training	2	2
68	95-48-7	Oc1ccccc1C	Training	1	1
69	95-50-1	c1ccc(c(c1)Cl)Cl	Training	3	3
70	95-51-2	Nc1ccccc1Cl	Training	1	1
71	95-53-4	Nc1ccccc1C	Training	1	1
72	95-63-6	c1cc(c(cc1C)C)C	Training	2	2
73	95-93-2	c1(C)c(C)cc(C)c(C)c1	Training	2	2
74	95-94-3	c1c(c(cc(c1Cl)Cl)Cl)Cl	Training	3	3
75	95-95-4	Oc1cc(c(cc1Cl)Cl)Cl	Training	2	2
76	96-09-3	O1CC1c2ccccc2	Training	1	1
77	96-18-4	C(C(CCl)Cl)Cl	Training	3	3
78	96-22-0	O=C(CC)CC	Training	1	1
79	98-82-8	c1(C(C)C)ccccc1	Training	2	2
80	98-86-2	O=C(c1ccccc1)C	Training	1	1
81	98-95-3	O=[N+]([O-])c1ccccc1	Training	2	2
82	99-99-0	O=[N+]([O-])c1ccc(cc1)C	Training	2	2
83	100-02-7	O=[N+]([O-])c1ccc(O)cc1	Training	1	2
84	100-41-4	c1(CC)ccccc1	Training	2	2
85	100-42-5	c1(C=C)ccccc1	Training	1	2
86	100-51-6	c1(CO)ccccc1	Training	1	1
87	100-66-3	O(c1ccccc1)C	Training	1	1
88	101-84-8	O(c1ccccc1)c2ccccc2	Training	1	1
89	103-65-1	c1ccc(cc1)CCC	Training	2	2
90	103-82-2	O=C(O)Cc1ccccc1	Training	1	1
91	105-67-9	c1(O)c(C)cc(C)cc1	Training	1	1
92	106-42-3	c1(C)ccc(C)cc1	Training	2	2
93	106-46-7	c1cc(ccc1Cl)Cl	Training	3	3
94	106-47-8	Nc1ccc(cc1)Cl	Training	1	1
95	106-99-0	C=CC=C	Training	1	1
96	107-02-8	C(=O)C=C	Training	1	1
97	107-06-2	C(Cl)CCl	Training	3	3
98	107-12-0	N#CCC	Training	1	1
99	107-13-1	N#CC=C	Training	1	1
100	107-18-6	OCC=C	Training	1	1
101	107-21-1	OCCO	Training	1	1
102	107-30-2	O(C)CCl	Training	1	1
103	107-31-3	O=COC	Training	1	1
104	107-87-9	O=C(C)CCC	Training	1	1
105	107-92-6	O=C(O)CCC	Training	1	1
106	108-05-4	C(C)(=O)OC=C	Training	1	1
107	108-10-1	O=C(C)CC(C)C	Training	1	1
108	108-38-3	c1(C)cc(C)ccc1	Training	2	2
109	108-60-1	O(C(C)CCl)C(C)CCl	Training	1	1
110	108-67-8	c1c(cc(cc1C)C)C	Training	2	2
111	108-70-3	c1c(cc(cc1Cl)Cl)Cl	Training	3	3
112	108-86-1	c1ccc(cc1)Br	Training	3	3
113	108-87-2	CC1CCCCC1	Training	1	1
114	108-88-3	c1(C)ccccc1	Training	2	2
115	108-89-4	n1ccc(cc1)C	Training	2	2
116	108-90-7	c1ccc(cc1)Cl	Training	3	3
117	108-91-8	C1(N)CCCCC1	Training	1	1
118	108-93-0	OC1CCCCC1	Training	1	1
119	108-94-1	O=C1CCCCC1	Training	1	1
120	108-95-2	Oc1ccccc1	Training	1	1
121	108-99-6	n1cccc(c1)C	Training	2	2
122	109-60-4	O=C(OCCC)C	Training	1	1
123	109-66-0	C(C)CCC	Training	2	2
124	109-67-1	C(=C)CCC	Training	1	1
125	109-73-9	C(N)CCC	Training	1	1
126	109-94-4	O=COCC	Training	1	1
127	109-99-9	O1CCCC1	Training	1	1
128	110-00-9	o1cccc1	Training	1	1
129	110-02-1	c1ccsc1	Training	2	2
130	110-43-0	O=C(C)CCCCC	Training	1	1
131	110-54-3	C(C)CCCC	Training	2	2
132	110-75-8	O(C=C)CCCl	Training	1	1
133	110-82-7	C1CCCCC1	Training	1	1
134	110-83-8	C1=CCCCC1	Training	1	1
135	110-86-1	n1ccccc1	Training	2	2
136	111-27-3	C(O)CCCCC	Training	1	1
137	111-42-2	C(O)CNCCO	Training	1	1
138	111-43-3	C(CC)OCCC	Training	1	1
139	111-44-4	O(CCCl)CCCl	Training	1	1
140	111-65-9	C(C)CCCCCC	Training	2	2
141	111-66-0	C=CCCCCCC	Training	1	2
142	111-87-5	C(O)CCCCCCC	Training	1	1
143	111-91-1	O(COCCCl)CCCl	Training	1	1
144	112-40-3	CCCCCCCCCCCC	Training	2	2
145	115-10-6	O(C)C	Training	1	1
146	118-74-1	c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)Cl	Training	4	3
147	118-90-1	O=C(O)c1ccccc1C	Training	1	1
148	118-91-2	O=C(O)c1ccccc1Cl	Training	2	1
149	119-61-9	O=C(c1ccccc1)c2ccccc2	Training	1	1
150	120-12-7	c1ccc2cc3ccccc3(cc2(c1))	Training	3	4
151	120-80-9	Oc1ccccc1(O)	Training	1	1
152	120-82-1	c1cc(c(cc1Cl)Cl)Cl	Training	3	3
153	120-83-2	Oc1ccc(cc1Cl)Cl	Training	1	2
154	121-14-2	O=[N+]([O-])c1ccc(c(c1)[N+](=O)[O-])C	Training	2	2
155	121-69-7	c1ccc(cc1)N(C)C	Training	1	1
156	122-34-9	n1c(nc(nc1NCC)Cl)NCC	Training	2	2
157	123-38-6	O=CCC	Training	1	1
158	123-72-8	O=CCCC	Training	1	1
159	123-86-4	C(C)(=O)OCCCC	Training	1	1
160	123-91-1	O1CCOCC1	Training	1	1
161	124-18-5	C(C)CCCCCCCC	Training	2	2
162	124-40-3	N(C)C	Training	1	1
163	126-99-8	C=CC(=C)Cl	Training	2	1
164	129-00-0	c1cc2ccc3cccc4ccc(c1)c2c34	Training	4	4
165	131-11-3	C(=O)(c1c(C(=O)OC)cccc1)OC	Training	1	1
166	132-64-9	o2c1ccccc1c3ccccc23	Training	2	1
167	134-32-7	Nc1cccc2ccccc12	Training	1	1
168	137-26-8	C(N(C)C)(=S)SSC(N(C)C)=S	Training	1	-999
169	141-43-5	OCCN	Training	1	1
170	141-78-6	O=C(OCC)C	Training	1	1
171	142-29-0	C1=CCCC1	Training	1	1
172	142-62-1	O=C(O)CCCCC	Training	1	1
173	198-55-0	c1cc2cccc3c5cccc4cccc(c(c1)c23)c45	Training	4	4
174	206-44-0	c1ccc2c(c1)c4cccc3cccc2c34	Training	4	4
175	207-08-9	c1ccc2cc3c5cccc4cccc(c3(cc2(c1)))c45	Training	4	4
176	218-01-9	c1ccc2c(c1)ccc3c4ccccc4(ccc23)	Training	4	4
177	287-92-3	C1CCCC1	Training	1	1
178	292-64-8	C1CCCCCCC1	Training	1	1
179	309-00-2	C1=CC2CC1C3C2C4(C(=C(C3(C4(Cl)Cl)Cl)Cl)Cl)Cl	Training	4	4
180	330-54-1	O=C(Nc1ccc(c(c1)Cl)Cl)N(C)C	Training	2	2
181	462-06-6	Fc1ccccc1	Training	1	3
182	496-11-7	c12c(cccc1)CCC2	Training	2	2
183	526-73-8	c1cc(c(c(c1)C)C)C	Training	2	2
184	541-73-1	c1cc(cc(c1)Cl)Cl	Training	3	3
185	542-88-1	O(CCl)CCl	Training	1	1
186	581-40-8	c1ccc2cc(c(cc2(c1))C)C	Training	2	2
187	591-50-4	c1ccc(cc1)I	Training	3	3
188	591-78-6	O=C(C)CCCC	Training	1	1
189	591-87-7	O=C(OCC=C)C	Training	1	1
190	591-93-5	C(=C)CC=C	Training	1	1
191	592-84-7	C(=O)OCCCC	Training	1	1
192	608-93-5	c1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl	Training	4	3
193	621-64-7	O=NN(CCC)CCC	Training	2	1
194	625-38-7	C=CCC(=O)O	Training	1	1
195	628-41-1	C1=CCC=CC1	Training	1	1
196	628-63-7	C(C)(=O)OCCCCC	Training	1	1
197	634-66-2	c1cc(c(c(c1Cl)Cl)Cl)Cl	Training	3	3
198	634-90-2	c1c(cc(c(c1Cl)Cl)Cl)Cl	Training	3	3
199	693-02-7	C(#C)CCCC	Training	1	2
200	759-94-4	O=C(N(CCC)CCC)SCC	Training	1	1
201	1127-76-0	c1(CC)c2c(cccc2)ccc1	Training	2	2
202	1563-66-2	O=C(Oc2cccc1c2(OC(C)(C)C1))NC	Training	1	1
203	1634-04-4	O(C)C(C)(C)C	Training	1	1
204	1746-01-6	O1c3cc(c(cc3(Oc2cc(c(cc12)Cl)Cl))Cl)Cl	Training	4	4
205	1912-24-9	n1c(nc(nc1NC(C)C)Cl)NCC	Training	2	2
206	2051-24-3	c1(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c(Cl)c(Cl)c1Cl	Training	4	4
207	2051-61-8	c1(-c2cc(Cl)ccc2)ccccc1	Training	4	4
208	2303-16-4	O=C(N(C(C)C)C(C)C)SCC(=CCl)Cl	Training	2	1
209	2539-17-5	Oc1c(OC)c(c(c(c1Cl)Cl)Cl)Cl	Training	2	2
210	3268-87-9	O1c3c(Oc2c1c(c(c(c2Cl)Cl)Cl)Cl)c(c(c(c3Cl)Cl)Cl)Cl	Training	4	4
211	3424-82-6	c1ccc(c(c1)C(c2ccc(cc2)Cl)=C(Cl)Cl)Cl	Training	4	4
212	5409-83-6	o2c1ccc(cc1c3cc(ccc23)Cl)Cl	Training	3	4
213	7005-72-3	c1(Cl)ccc(Oc2ccccc2)cc1	Training	1	3
214	17804-35-2	O=C(OC)Nc2nc1ccccc1n2(C(=O)NCCCC)	Training	2	1
215	25323-68-6	C1=CC=C(C=C1)C2=C(C(=C(C=C2)Cl)Cl)Cl	Training	4	4
216	30746-58-8	O1c3ccccc3(Oc2c1c(c(c(c2Cl)Cl)Cl)Cl)	Training	4	4
217	33820-53-0	O=[N+](c1cc(cc(c1N(CCC)CCC)[N+](=O)[O-])C(C)C)[O-]	Training	2	1
218	33857-26-0	O1c3ccc(cc3(Oc2ccc(cc12)Cl))Cl	Training	3	3
219	35822-46-9	O1c3cc(c(c(c3(Oc2c1c(c(c(c2Cl)Cl)Cl)Cl))Cl)Cl)Cl	Training	4	4
220	38964-22-6	c12c(Oc3cc(Cl)ccc3O1)cc(Cl)cc2	Training	3	3
221	39001-02-0	c12-c3c(Cl)c(Cl)c(Cl)c(Cl)c3Oc1c(Cl)c(Cl)c(Cl)c2Cl	Training	4	4
222	39227-54-8	c12c(cc(Cl)cc1)Oc1c(cccc1)O2	Training	3	3
223	39227-58-2	O1c3ccccc3(Oc2c1c(cc(c2Cl)Cl)Cl)	Training	3	4
224	39227-61-7	c1(Cl)c(Cl)c(Cl)c(Cl)c2c1Oc1c(cc(Cl)cc1)O2	Training	4	4
225	51207-31-9	o2c1cc(c(cc1c3cc(c(cc23)Cl)Cl)Cl)Cl	Training	4	4
226	7012-37-5	c1cc(ccc1c2ccc(cc2Cl)Cl)Cl	Training	3	4
227	37680-73-2	c1cc(c(cc1Cl)c2cc(c(cc2Cl)Cl)Cl)Cl	Training	4	4
