id	CAS	SMILES	Set	Exp
1	91-94-1	Nc1ccc(cc1Cl)c2ccc(N)c(c2)Cl	training	-0.681241248
2	86-30-6	O=NN(c1ccccc1)c2ccccc2	test	-0.149762333
3	106-44-5	Oc1ccc(cc1)C	training	-0.149762333
4	95-48-7	Oc1ccccc1C	training	-0.149762333
5	133-06-2	O=C1N(C(=O)C2CC=CCC12)SC(Cl)(Cl)Cl	training	-0.149762333
6	121-75-5	O=C(OCC)CC(C(=O)OCC)SP(OC)(OC)=S	training	0.360151463
7	122-39-4	c1ccc(cc1)Nc2ccccc2	test	0.360151463
8	262-12-4	O1c3ccccc3(Oc2ccccc12)	training	0.360151463
9	123-38-6	O=CCC	training	0.360151463
10	110-02-1	c1ccsc1	training	0.360151463
11	108-05-4	O=C(OC=C)C	training	0.360151463
12	109-60-4	O=C(OCCC)C	test	0.360151463
13	71-41-0	OCCCCC	training	0.360151463
14	80-62-6	O=C(OC)C(=C)C	training	0.360151463
15	108-93-0	OC1CCCCC1	training	0.360151463
16	142-62-1	O=C(O)CCCCC	training	0.360151463
17	123-86-4	O=C(OCCCC)C	test	0.360151463
18	111-27-3	OCCCCCC	training	0.360151463
19	120-83-2	Oc1ccc(cc1Cl)Cl	training	0.360151463
20	87-65-0	Oc1c(cccc1Cl)Cl	training	0.360151463
21	106-48-9	Oc1ccc(cc1)Cl	training	0.360151463
22	120-80-9	Oc1ccccc1(O)	test	0.360151463
23	628-63-7	O=C(OCCCCC)C	training	0.360151463
24	121-14-2	O=[N+]([O-])c1ccc(c(c1)[N+](=O)[O-])C	training	0.360151463
25	65-85-0	O=C(O)c1ccccc1	training	0.360151463
26	69-72-7	O=C(O)c1ccccc1(O)	training	0.360151463
27	99-99-0	O=[N+]([O-])c1ccc(cc1)C	test	0.360151463
28	88-72-2	O=[N+]([O-])c1ccccc1C	training	0.360151463
29	100-51-6	OCc1ccccc1	training	0.360151463
30	90-05-1	Oc1ccccc1(OC)	training	0.360151463
31	105-67-9	Oc1ccc(cc1C)C	training	0.360151463
32	111-87-5	OCCCCCCCC	test	0.360151463
33	94-75-7	O=C(O)COc1ccc(cc1Cl)Cl	training	0.360151463
34	103-82-2	O=C(O)Cc1ccccc1	training	0.360151463
35	76-06-2	O=[N+]([O-])C(Cl)(Cl)Cl	training	0.360151463
36	100-52-7	O=Cc1ccccc1	training	0.360151463
37	80-07-9	O=S(=O)(c1ccc(cc1)Cl)c2ccc(cc2)Cl	test	0.821825019
38	2385-85-5	C13(C4(C2(C5(C(C1(C2(Cl)Cl)Cl)(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl	training	0.850237689
39	7085-19-0	O=C(O)C(Oc1ccc(cc1C)Cl)C	training	0.850237689
