ID	CAS	SMILES	Set	Binding Exp
1	-	O=C2NC(=O)C(c1ccccc1)(C(=O)N2)CC	Training	0
2	-	OC3CC(=CC=C1CCCC2(C)(C1CCC2(C(C=CC(C)C(C)C)C)))C(=C)CC3	Training	0
3	-	O=C(O)C(O)C	Training	0
4	-	Oc1ccc2c(c1)CCC3C2CCC4(C)(C(O)C(O)CC34)	Training	2
5	-	Oc1ccc2c(c1)CCC3C2CCC4(C)(C(O)CCC34)	Training	2
6	-	O=C3NC(=O)C(N2C(=O)c1ccccc1C2(=O))CC3	Training	0
7	-	O(c1ccc(cc1)C(c2ccccc2)=C(c3ccccc3)Cl)CCN(CC)CC	Training	2
8	-	c1ccc3c(c1)N(c2cc(ccc2S3)Cl)CCCN(C)C	Training	0
9	-	O=C(OC3CC4CN2CCc1c5ccc(OC)cc5([nH]c1C2CC4(C(C(=O)OC)C3(OC))))c6cc(OC)c(OC)c(OC)c6	Training	0
10	-	O=C(Nc1ccc(cc1Cl)[N+](=O)[O-])c2cc(ccc2(O))Cl	Training	0
11	-	O=CC(O)C(O)C(O)CO	Training	0
12	-	OCC(O)C(O)C(O)C(O)CO	Training	0
13	-	O=C(O)c1ccccc1(OC(=O)C)	Training	0
14	-	O=C1OC(C(O)C1(=O))C(O)CO	Training	0
15	-	O1c2cc(c(cc2(OC1))CCC)COCCOCCOCCCC	Training	0
16	-	O=C(OCCN(CC)CC)c1ccc(N)cc1	Training	0
17	-	O=C1N=CC(F)C(=O)N1	Training	0
18	-	O=[N+]([O-])c1ccc(O)c(c1)[N+](=O)[O-]	Training	0
19	-	O=C1NC(N=C(C1)CCC)=S	Training	2
20	-	O=C(OCC)N	Training	0
21	-	O=C1OC3(CC1)(CCC2C5C(CCC23(C))C4(C(=CC(=O)CC4)CC5SC(=O)C)(C))	Training	0
22	-	O=[N+]([O-])C(CO)(CO)Br	Training	0
23	-	O=P(OC)(OC)C(O)C(Cl)(Cl)Cl	Training	0
24	-	O=C(c1ccc(F)cc1)CCCN3CCC(O)(c2ccc(cc2)Cl)CC3	Training	0
25	-	O=C2CCC3C4CCc1cc(O)ccc1C4(CCC23(C))	Training	2
26	-	c1ccc(c(c1)C(c2ccc(cc2)Cl)C(Cl)Cl)Cl	Training	2
27	-	O=C2CCC3C4CC=C1CC(O)CCC1(C)C4(CCC23(C))	Training	2
28	-	c1ccc5c(c1)ccc4cc3c(ccc2ccccc23)cc45	Training	0
29	-	O=C(O)Cc3c1cc(OC)ccc1n(C(=O)c2ccc(cc2)Cl)c3C	Training	0
30	-	n1cccc(c1)C2N(C)CCC2	Training	0
31	-	O=C(O)C(N)Cc2c[nH]c1ccccc12	Training	0
32	-	O=C(O)c1ccccc1(O)	Training	0
33	-	O=C(O)CCC(NC(=O)c1ccc(cc1)NCc2nc3c(nc2)nc(nc3(N))N)C(=O)O	Training	0
34	-	O=C(NN)c1ccncc1	Training	0
35	-	O=C(O)c1cnccc1	Training	0
36	-	O=C(O)C(N)Cc2cc(c(Oc1ccc(O)c(c1)I)c(c2)I)I	Training	2
37	-	O=NN(CC)CC	Training	0
38	-	O(c1ccc(c(c1)C)SC)P(OC)(OC)=S	Training	0
39	-	N=C(Nc1ccc(cc1)Cl)NC(=N)NCCCCCCNC(=N)NC(=N)Nc2ccc(cc2)Cl	Training	0
40	-	O=C1NC(N=C(C)C1)=S	Training	0
41	-	O=C(O)CCC(=O)O	Training	0
42	-	O=[N+]([O-])c1ccc(OP(OCC)(OCC)=S)cc1	Training	0
43	-	Oc1ccc(cc1)C(=C(c2ccc(O)cc2)CC)CC	Training	2
44	-	O=C2Oc1cc(OP(OCC)(OCC)=S)ccc1C(=C2Cl)C	Training	0
45	-	OCC(O)CO	Training	0
46	-	C(=NCC=C)=S	Training	0
47	-	O=C(N)N	Training	0
48	-	NN(C)C	Training	0
49	-	O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3	Training	0
50	-	OCC2OC(OC1(OC(CO)C(O)C1(O))(CO))C(O)C(O)C2(O)	Training	0
51	-	OCC(O)C	Training	0
52	-	C#CC3(O)(CCC2C4CCc1cc(O)ccc1C4(CCC23(C)))	Training	2
53	-	C2(=C(C3(C1C(CC(C1Cl)Cl)C2(C3(Cl)Cl)Cl)Cl)Cl)Cl	Training	0
54	-	O=C(OC2CCC3C4CCC1=CC(=O)CCC1(C)C4(CCC23(C)))CC	Training	2
55	-	c1ccc2c(c1)ccc4c2c(c3ccccc3c4C)C	Training	0
56	-	Oc1ccc4c(c1(O))c2cccc3c2C(N(C)CC3)C4	Training	0
57	-	O=C2c1c(ncn1C)N(C(=O)N2C)C	Training	0
58	-	n1c(nc(c(c1N)c2ccc(cc2)Cl)CC)N	Training	0
59	-	O=C4C=C3CCC2C(CCC1(C)(C2(CCC1(O)(C))))C3(C)CC4	Training	2
60	-	O=C2c1[nH]cnc1N(C(=O)N2C)C	Training	0
