Mol_ID	CAS	SMILES	Status	Exp Persistence
1	50-31-7	O=C(O)c1c(ccc(c1Cl)Cl)Cl	Training	1
2	51-28-5	O=[N+]([O-])c1ccc(O)c(c1)[N+](=O)[O-]	Training	1
3	56-35-9	O([Sn](CCCC)(CCCC)CCCC)[Sn](CCCC)(CCCC)CCCC	Training	1
4	56-81-5	OCC(O)CO	Training	0
5	57-15-8	OC(C)(C)C(Cl)(Cl)Cl	Training	1
6	57-57-8	O=C1OCC1	Training	0
7	58-90-2	Oc1c(cc(c(c1Cl)Cl)Cl)Cl	Test	1
8	60-12-8	OCCc1ccccc1	Training	0
9	60-29-7	O(CC)CC	Training	1
10	60-51-5	O=C(NC)CSP(OC)(OC)=S	Training	1
11	64-67-5	O=S(=O)(OCC)OCC	Training	0
12	65-85-0	O=C(O)c1ccccc1	Training	0
13	66-72-8	O=Cc1c(O)c(ncc1CO)C	Training	0
14	66-81-9	O=C1NC(=O)CC(C1)CC(O)C2C(=O)C(C)CC(C)C2	Training	1
15	67-52-7	O=C1NC(=O)CC(=O)N1	Training	0
16	68-11-1	O=C(O)CS	Training	0
17	70-30-4	Oc1c(cc(c(c1Cc2c(O)c(cc(c2Cl)Cl)Cl)Cl)Cl)Cl	Training	1
18	74-83-9	CBr	Training	1
19	74-87-3	CCl	Training	1
20	74-96-4	CCBr	Test	1
21	74-97-5	C(Cl)Br	Training	1
22	75-00-3	CCCl	Training	1
23	75-09-2	C(Cl)Cl	Training	1
24	75-25-2	C(Br)(Br)Br	Training	1
25	75-26-3	CC(C)Br	Training	0
26	75-35-4	C=C(Cl)Cl	Test	1
27	75-45-6	FC(F)Cl	Training	1
28	75-56-9	O1CC1C	Training	0
29	75-65-0	OC(C)(C)C	Test	1
30	75-86-5	N#CC(O)(C)C	Training	0
31	75-87-6	O=CC(Cl)(Cl)Cl	Training	1
32	76-03-9	O=C(O)C(Cl)(Cl)Cl	Training	1
33	76-12-0	FC(C(F)(Cl)Cl)(Cl)Cl	Training	1
34	76-13-1	FC(F)(C(F)(Cl)Cl)Cl	Test	1
