Name	Standardized SMILES	SMILES (ionized)	Exp (square root of fraction unbound)	Prediction	Set	AD evaluation	ALOGP	P_VSA_i_2	MLOGP	P_VSA_p_3	Eta_betaP	CATS2D_00_LL	C.	PCD	Ui	CATS2D_01_LL	nCar	SpMin1_Bh.i.	Eta_betaP_A	SM12_AEA.ri.	N.	nN.	totalcharge	CATS2D_00_PP	SpMax2_Bh.m.	C.024
Amiodarone 	O=C(c1cc(c(OCCN(CC)CC)c(c1)I)I)c2c3ccccc3(oc2CCCC)	CCCCC1=C(C(=O)C2=CC(I)=C(OCC[NH+](CC)CC)C(I)=C2)C2=CC=CC=C2O1	0.014142136	0.227283918	TS		5.678	134.772	1.422	134.772	16	17	41	3.191	3.322	10	14	1.945	0.516	4.106	1.6	1	1	1	10.692	6
Verlukast	O=C(O)CCSC(c3cccc(C=Cc1nc2cc(ccc2(cc1))Cl)c3)SCCC(=O)N(C)C	CN(C)C(=O)CCSC(SCCC([O-])=O)C1=CC=CC(C=CC2=CC=C3C=CC(Cl)=CC3=N2)=C1	0.02	0.1121877039	TS		4.998	156.665	4.384	260.253	20.5	19	43.3	4.144	3.644	12	15	2.019	0.603	3.76	3.3	0	-1	0	4.082	9
Atovaquone	Oc1c(O)c(c(O)c2ccccc12)C4=CCC(c3ccc(cc3)Cl)CC4	OC1=C(O)C(=C(O)C2=CC=CC=C12)C1=CCC(CC1)C1=CC=C(Cl)C=C1	0.031622777	0.1976397533	TS		5.826	111.093	4.228	150.242	19	19	48.9	3.689	3.392	18	16	2.067	0.731	3.692	0	0	0	0	3.997	8
Bromfenac	O=C(O)Cc2cccc(C(=O)c1ccc(cc1)Br)c2(N)	NC1=C(C=CC=C1CC([O-])=O)C(=O)C1=CC=C(Br)C=C1	0.033166248	0.2119990068	TS		2.197	142.039	3.736	142.039	15.5	12	48.4	2.312	3.17	9	12	1.958	0.775	3.677	3.2	0	-1	1	3.953	7
Tesaglitazar	O=C(O)C(OCC)Cc2ccc(OCCc1ccc(OS(=O)(=O)C)cc1)cc2	CCOC(CC1=CC=C(OCCC2=CC=C(OS(C)(=O)=O)C=C2)C=C1)C([O-])=O	0.033166248	0.1878309538	TS		2.771	129.652	2.33	137.402	17.5	13	39.2	2.361	3.322	10	12	1.916	0.625	3.646	0	0	-1	0	3.895	8
Amsalog	O=C(NC)c2cccc3C(=Nc1ccc(cc1(OC))NS(=O)(=O)C)c4cccc(c4(Nc23))C	CNC(=O)C1=CC=CC2=C(NC3=CC=C(NS(C)(=O)=O)C=C3OC)C3=CC=CC(C)=C3[NH+]=C12	0.033166248	0.1890262729	TS		3.861	154.605	1.886	160.412	25	14	41.4	4.908	3.907	10	19	2.131	0.758	4.443	6.9	1	1	1	4.176	9
Ziprasidone	Oc1cc2cc(c(cc2([nH]1))Cl)CCN5CCN(c3nsc4ccccc34)CC5	ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1	0.034641016	0.2028130253	TS		4.259	95.435	3.443	165.636	16.5	12	42.9	3.196	3.322	8	13	1.913	0.589	4.087	8.2	0	0	0	4.067	6
Paricalcitol	OC3CC(=CC=C1CCCC2(C)(C1CCC2(C(C=CC(C)C(O)(C)C)C)))CC(O)C3	CC(C=CC(C)C(C)(C)O)C1CCC2C(CCCC12C)=CC=C1CC(O)CC(O)C1	0.04	0.1950418844	TS		4.863	108.678	4.472	108.678	4	24	36.5	1.373	2	22	0	1.93	0.133	3.327	0	0	0	0	3.778	0
Diflunisal	O=C(O)c1cc(ccc1(O))c2ccc(F)cc2(F)	OC1=CC=C(C=C1C([O-])=O)C1=CC=C(F)C=C1F	0.04	0.2613360452	TS		2.419	91.371	3.993	91.371	14	9	52	2.409	3	7	12	1.967	0.778	3.807	0	0	-1	0	3.752	6
Itraconazole	O=C1N(N=CN1c2ccc(cc2)N7CCN(c6ccc(OCC3OC(OC3)(c4ccc(cc4Cl)Cl)Cn5ncnc5)cc6)CC7)C(C)CC	CCC(C)N1N=CN(C1=O)C1=CC=C(C=C1)N1CCN(CC1)C1=CC=C(OCC2COC(CN3C=NC=N3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1	0.04472136	0.2259430294	TS		6.467	197.969	5.127	276.266	27	17	40.2	3.65	3.858	7	20	1.903	0.551	3.8	9.2	0	0	0	3.96	11
