ID	CAS	SMILES	Status	Exp_Class
1	514-10-3	O=C(O)C2(C)(CCCC3(C)(C1C(C=C(CC1)C(C)C)=CCC23))	Training	1
2	874-23-7	O=C(C)C1C(=O)CCCC1	Test	0
3	140-67-0	O(c1ccc(cc1)CC=C)C	Training	1
4	6358-09-4	O=[N+]([O-])c1cc(N)c(O)c(c1)Cl	Test	1
5	2871-01-4	O=[N+]([O-])c1cc(N)ccc1(NCCO)	Training	1
6	95-55-6	Oc1ccccc1(N)	Training	1
7	591-27-5	Oc1cccc(N)c1	Training	1
8	122-40-7	O=CC(=Cc1ccccc1)CCCCC	Training	1
9	620159-84-4	O=CCC1CCC(CC1)C(C)(C)CC	Training	1
10	104-46-1	O(c1ccc(cc1)C=CC)C	Training	1
11	62-53-3	Nc1ccccc1	Training	1
12	100-52-7	O=Cc1ccccc1	Training	0
13	552-30-7	O=C(O)c1ccc2C(=O)OC(=O)c2(c1)	Training	1
14	2634-33-5	O=C1NSc2ccccc12	Training	1
15	50-32-8	c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45	Training	1
16	94-09-7	O=C(OCC)c1ccc(N)cc1	Training	0
17	106-51-4	O=C1C=CC(=O)C=C1	Training	1
18	120-51-4	O=C(OCc1ccccc1)c2ccccc2	Training	1
19	100-39-0	c1ccc(cc1)CBr	Training	1
20	122-57-6	O=C(C=Cc1ccccc1)C	Training	1
21	N.A.	O=C(c1cc(ccc1C)C)CC(=O)c2cc(ccc2C)C	Training	0
22	1675-54-3	O(c1ccc(cc1)C(c3ccc(OCC2OC2)cc3)(C)C)CC4OC4	Training	1
23	109-65-9	CCCCBr	Training	0
24	6938-66-5	CCCCCCCCCCCCCCCCCCCCCCBr	Training	1
25	143-15-7	CCCCCCCCCCCCBr	Training	1
26	73367-80-3	O=C(O)CCCCCCCCCCCBr	Test	1
27	3344-77-2	OCCCCCCCCCCCCBr	Training	1
28	4276-49-7	CCCCCCCCCCCCCCCCCCCCBr	Training	1
29	3508-00-7	CCCCCCCCCCCCCCCCCBr	Training	1
30	112-82-3	CCCCCCCCCCCCCCCCBr	Training	1
31	111-25-1	CCCCCCBr	Training	1
32	154750-20-6	O=C1OC(C)(C)CC1CBr	Training	1
33	693-58-3	CCCCCCCCCBr	Training	0
34	112-89-0	CCCCCCCCCCCCCCCCCCBr	Training	1
35	629-72-1	CCCCCCCCCCCCCCCBr	Training	1
36	112-71-0	CCCCCCCCCCCCCCBr	Test	1
37	74036-97-8	CCCCCCCC(CCCCCC)Br	Test	1
