id	cas	smiles	status	exp_values
1		OC(C)(C)C1CC=C(C)CC1                                                        	Training	1
2		OCCOCCOCCOCCCC                                                              	Training	-1
3		O(CC)P(OCC)OCC                                                              	Training	-1
4		C=CCCCCCCCCCC                                                               	Training	1
5		O=C(Nc1ccccc1C)CC(=O)C                                                      	Training	-1
6		C(CBr)Cl                                                                    	Training	1
7		O=C=NCC1(C)(CC(N=C=O)CC(C)(C)C1)                                            	Training	1
8		O=C(O)CC(O)(C(=O)O)CC(=O)O                                                  	Training	-1
9		C(=CCCCCCCC)C                                                               	Training	1
10		C(CBr)CBr                                                                   	Training	1
11		O=C(OCC(CC)CCCC)C(=C)C                                                      	Training	1
12		Oc1ccc(cc1)CCCCCCCCC                                                        	Training	1
13		O=CC(C)Cc1ccc(cc1)C(C)(C)C                                                  	Training	1
14		O=C(O)CCCCCCCCC=C                                                           	Training	1
15		O=C(OCCCCCCC)CCC                                                            	Training	1
16		OC(C=CC1=C(C)CCCC1(C)C)C                                                    	Training	-1
17		Fc1ccc(cc1)Br                                                               	Training	-1
18		OC(C)(CCC=C(C)C)C1OC1                                                       	Training	1
19		O=C(OCC(CC)CCCC)c1ccc(C(=O)OCC(CC)CCCC)c(c1)C(=O)OCC(CC)CCCC                	Training	-1
20		OCCCCCCCCC=CCCCCCCCC                                                        	Training	-1
21		Nc1ccc(cc1C)C                                                               	Training	-1
22		O=C(OCCOCCCC)C                                                              	Training	-1
23		O=C(OCC)C                                                                   	Training	-1
24		OC1CC(C)CCC1(C(C)C)                                                         	Training	-1
25		OCCCCCCCCCCCCCCCC                                                           	Training	-1
26		OCCOCCOCC                                                                   	Training	-1
27		OCCCCO                                                                      	Training	-1
28		O=C(N)NC(NC(=O)N)C(C)C                                                      	Training	-1
29		O=C(OCCO)C(=C)C                                                             	Training	-1
30		O=CC=CC=CC                                                                  	Training	1
31		O=C(OC)CCCCC                                                                	Training	-1
32		O=S(=O)(c1ccc(cc1)Cl)c2ccc(cc2)Cl                                           	Training	-1
33		N#Cc1ccccc1(C#N)                                                            	Training	-1
34		O=C(c1cc2c(cc1C)C(C)(C)C(C)CC2(C)C)C                                        	Training	-1
35		c1cc(ccc1C)Cl                                                               	Training	-1
36		OC(C)CC                                                                     	Training	-1
37		O=C(OCC)C=C                                                                 	Training	-1
38		C=C(C(=C)Cl)Cl                                                              	Training	-1
39		Oc1c(cc(cc1Br)Br)Br                                                         	Training	-1
40		OC1CCCCC1                                                                   	Training	1
41		OC(CC(C)C)CC(C)C                                                            	Training	-1
42		N12(CCN(CC1)CC2)                                                            	Training	1
43		Oc2cccc(Oc1ccccc1)c2                                                        	Training	1
44		O=C1NC(=O)c2ccccc12                                                         	Training	-1
45		O=C(C)C                                                                     	Training	-1
46		O=C(Nc1ccccc1)CC(=O)C                                                       	Training	-1
47		OCCOC                                                                       	Training	-1
48		OC(C)(C)CCc1ccccc1                                                          	Training	-1
49		OC(C)COCCC                                                                  	Training	-1
50		O=C(C)CCc1ccccc1                                                            	Training	-1
51		O=C(OC)CCCCCCCCCCC                                                          	Training	1
52		Oc1c(cc(cc1C(C)(C)C)Cc2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)C(C)(C)C               	Training	-1
53		O=C(C=CC1=CCCC(C)C1(C)C)C                                                   	Training	-1
54		O=C(OC)C=C                                                                  	Training	1
55		O=C(OCCN(C)C)C(=C)C                                                         	Training	1
56		Oc1ccc2ccccc2(c1)                                                           	Training	-1
57		n1c(nc(nc1N)c2ccccc2)N                                                      	Training	-1
58		O=C(OCc1ccccc1)C                                                            	Training	-1
59		O=C(OC1CC2CCC1(C)C2(C)(C))C                                                 	Training	1
60		O=C(OC(C)C)CCCCCCCCCCCCCCC(C)C                                              	Training	-1
61		O=C1C(=C(C)CC1)CC=CCC                                                       	Training	1
62		O=[N+]([O-])c1ccccc1Cl                                                      	Training	-1
63		OCCOCCOCCOCCOCCCC                                                           	Training	-1
64		Oc1ccccc1(OC)                                                               	Training	1
65		OC(C)C                                                                      	Training	-1
66		C(Cl)Cl                                                                     	Training	1
67		O=[N+]([O-])c1cc(ccc1Cl)Cl                                                  	Training	-1
68		OCCN(C)C                                                                    	Training	1
69		O=C(OCC(CC)CCCC)CCCCC(=O)OCC(CC)CCCC                                        	Training	-1
70		OCCN(CC)CC                                                                  	Training	-1
71		O=C(O)c1cnccc1                                                              	Training	-1
72		O=C(OC)CCCCCCCCCCCCCCC                                                      	Training	1
73		O=C1C=C(C)CC(C)(C)C1                                                        	Training	-1
74		O=C(C)CC(=O)C                                                               	Training	-1
75		N#CCCN(CC)CC                                                                	Training	-1
76		O=S(=O)(O)c2cc(N)ccc2(C=Cc1ccc(N)cc1S(=O)(=O)O)                             	Training	-1
77		O=[N+]([O-])c1ccc(cc1)Cl                                                    	Training	-1
78		O=Cc1ccc(O)c(OC)c1                                                          	Training	-1
79		c1ccc(cc1)P(c2ccccc2)c3ccccc3                                               	Training	1
80		O=C(OO)C                                                                    	Training	-1
81		O=CC1CCC(=CC1(C))C                                                          	Training	1
82		Nc1ccc(cc1)C                                                                	Training	-1
83		O1CC1CCl                                                                    	Training	-1
84		Nc1ccccc1C                                                                  	Training	-1
85		O=CCC(C)CCCC(O)(C)C                                                         	Training	-1
86		O=C(OCC=C)COc1ccccc1                                                        	Training	-1
87		O=C(OC(=O)C(C)C)C(C)C                                                       	Training	-1
88		Oc1ccc(cc1)C(C)(C)CC(C)(C)C                                                 	Training	-1
89		O=C(OCCCCCCCCCCCCCCCCCC)CCc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C                   	Training	-1
90		O=C(OCC(CC)CCCC)CCCCCCCCCCCCCCC                                             	Training	-1
91		OCCOCCOCCOCC                                                                	Training	-1
92		OC1CCC(CC1)C(C)(C)CC                                                        	Training	1
93		OC(C)COC                                                                    	Training	-1
94		O=C(C(=O)C)C                                                                	Training	-1
95		O=C(N(C)C)C                                                                 	Training	-1
96		O=C(OCC)C(C)(C)C                                                            	Training	-1
97		C=CCCC=C                                                                    	Training	-1
98		n1c(nc(nc1Cl)Cl)Cl                                                          	Training	-1
99		n2c1ccccc1sc2SN(C3CCCCC3)C4CCCCC4                                           	Training	-1
100		O=C1N(CO)C(O)C(O)N1CO                                                       	Training	-1
101		OCC                                                                         	Training	-1
102		O=C(OCCCC)CC                                                                	Training	-1
103		O=C(Oc1ccccc1)Oc2ccccc2                                                     	Training	-1
104		O=C1OCC(C)(C)C1(O)                                                          	Training	-1
105		O=CC=Cc1ccccc1                                                              	Training	1
106		O=C(O)C(O)C(O)C(O)C(O)CO                                                    	Training	-1
107		N(C)(C)CCCC                                                                 	Training	1
108		OC(C)C1CCCCC1                                                               	Training	1
109		Oc1ccc(cc1C(C)(C)C)C                                                        	Training	1
110		OCC=C                                                                       	Training	-1
111		C=C2C1CCC(C1)C2(C)C                                                         	Training	-1
112		Oc1ccccc1C(C)(C)C                                                           	Training	1
113		O=C1N(C(=O)N(C(=O)N1CCO)CCO)CCO                                             	Training	-1
114		O=C(OC)CCc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C                                    	Training	-1
115		O=C(OC(OCCCOC)CC)C                                                          	Training	-1
116		c1ccc(cc1)CCBr                                                              	Training	-1
117		OC(C=C)(C)CCC=C(C)CCC=C(C)CCC=C(C)C                                         	Training	1
118		O=C1NCCCCCCCCCCC1                                                           	Training	-1
119		OC(C)CC(O)(C)C                                                              	Training	-1
120		CCCCCCBr                                                                    	Training	1
121		[O-][N+](C)(C)CCCCCCCCCCCCCCCCCC                                            	Training	-1
122		O=C(OCCO)C=C                                                                	Training	1
123		O=C(O[Si](OC(=O)C)(OC(=O)C)C)C                                              	Training	1
124		OCCOc1ccccc1                                                                	Training	-1
125		O=S(=O)(O)OCCCCCCCCCCCC                                                     	Training	1
126		O=C(OC)C(C)(C)C                                                             	Training	-1
127		O1C2(C)(CCC1(CC2)C(C)C)                                                     	Training	1
128		O=C(OCC)CC(=O)OCC                                                           	Training	-1
129		OCC(CO)(CO)CC                                                               	Training	-1
130		O(C)CCCN                                                                    	Training	1
131		O=C(OC)CCCCCCCC=CCC=CCCCCC                                                  	Training	1
132		OC(C=CC1C(=CCCC1(C)(C))C)C                                                  	Training	-1
133		O=C(O)c1cccc(c1)C                                                           	Training	-1
134		O=C(OCC(OC(=O)C)COC(=O)C)C                                                  	Training	-1
135		Oc1ccc(cc1(OC))CC=C                                                         	Training	1
136		Fc1ccccc1C                                                                  	Training	-1
137		C(CCCBr)CCBr                                                                	Training	-1
138		O=C(O)CCCCCCCCCCC                                                           	Training	-1
139		CC(Cl)(Cl)Cl                                                                	Training	1
140		OC(OCCCC)CC                                                                 	Training	1
141		O=CN(C)C                                                                    	Training	-1
142		O=C(OCc1ccccc1)c2ccccc2                                                     	Training	-1
143		O=[N+]([O-])c1ccc(c(c1)Cl)Cl                                                	Training	-1
144		C(=CCCCCCCCCCC)C                                                            	Training	-1
145		O=CC(c1ccccc1)C                                                             	Training	1
