id	cas	smiles	status	exp_values
0		OC(C)(C)C1CC=C(C)CC1	Training	1.0
1		OCCOCCOCCOCCCC	Training	0.0
2		O(CC)P(OCC)OCC	Training	0.0
3		C=CCCCCCCCCCC	Training	1.0
4		O=C(Nc1ccccc1C)CC(=O)C	Training	0.0
5		C(CBr)Cl	Test	1.0
6		O=C=NCC1(C)(CC(N=C=O)CC(C)(C)C1)	Training	1.0
7		O=C(O)CC(O)(C(=O)O)CC(=O)O	Training	0.0
8		C(=CCCCCCCC)C	Training	1.0
9		C(CBr)CBr	Training	1.0
10		O=C(OCC(CC)CCCC)C(=C)C	Training	1.0
11		Oc1ccc(cc1)CCCCCCCCC	Training	1.0
12		O=CC(C)Cc1ccc(cc1)C(C)(C)C	Training	1.0
13		O=C(O)CCCCCCCCC=C	Test	1.0
14		O=C(OCCCCCCC)CCC	Training	1.0
15		OC(C=CC1=C(C)CCCC1(C)C)C	Training	0.0
16		Fc1ccc(cc1)Br	Test	0.0
17		OC(C)(CCC=C(C)C)C1OC1	Training	1.0
18		O=C(OCC(CC)CCCC)c1ccc(C(=O)OCC(CC)CCCC)c(c1)C(=O)OCC(CC)CCCC	Training	0.0
19		OCCCCCCCCC=CCCCCCCCC	Training	0.0
20		Nc1ccc(cc1C)C	Training	0.0
21		O=C(OCCOCCCC)C	Training	0.0
22		O=C(OCC)C	Training	0.0
23		OC1CC(C)CCC1(C(C)C)	Training	0.0
24		OCCCCCCCCCCCCCCCC	Test	0.0
25		OCCOCCOCC	Training	0.0
26		OCCCCO	Training	0.0
27		O=C(N)NC(NC(=O)N)C(C)C	Training	0.0
28		O=C(OCCO)C(=C)C	Training	0.0
29		O=CC=CC=CC	Training	1.0
30		O=C(OC)CCCCC	Training	0.0
31		O=S(=O)(c1ccc(cc1)Cl)c2ccc(cc2)Cl	Test	0.0
32		N#Cc1ccccc1(C#N)	Training	0.0
33		O=C(c1cc2c(cc1C)C(C)(C)C(C)CC2(C)C)C	Training	0.0
34		c1cc(ccc1C)Cl	Training	0.0
35		OC(C)CC	Training	0.0
36		O=C(OCC)C=C	Training	0.0
37		C=C(C(=C)Cl)Cl	Training	0.0
38		Oc1c(cc(cc1Br)Br)Br	Test	0.0
39		OC1CCCCC1	Training	1.0
40		OC(CC(C)C)CC(C)C	Training	0.0
41		N12(CCN(CC1)CC2)	Training	1.0
42		Oc2cccc(Oc1ccccc1)c2	Test	1.0
43		O=C1NC(=O)c2ccccc12	Training	0.0
44		O=C(C)C	Training	0.0
45		O=C(Nc1ccccc1)CC(=O)C	Training	0.0
46		OCCOC	Training	0.0
47		OC(C)(C)CCc1ccccc1	Training	0.0
48		OC(C)COCCC	Test	0.0
49		O=C(C)CCc1ccccc1	Training	0.0
50		O=C(OC)CCCCCCCCCCC	Training	1.0
51		Oc1c(cc(cc1C(C)(C)C)Cc2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)C(C)(C)C	Training	0.0
52		O=C(C=CC1=CCCC(C)C1(C)C)C	Training	0.0
53		O=C(OC)C=C	Training	1.0
54		O=C(OCCN(C)C)C(=C)C	Training	1.0
55		Oc1ccc2ccccc2(c1)	Training	0.0
56		n1c(nc(nc1N)c2ccccc2)N	Training	0.0
57		O=C(OCc1ccccc1)C	Test	0.0
58		O=C(OC1CC2CCC1(C)C2(C)(C))C	Training	1.0
59		O=C(OC(C)C)CCCCCCCCCCCCCCC(C)C	Training	0.0
60		O=C1C(=C(C)CC1)CC=CCC	Training	1.0
61		O=[N+]([O-])c1ccccc1Cl	Training	0.0
