Id	CAS	SMILES	Status	Exp log(cm/h)
1	50-22-6	CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C1CCC2C(=O)CO	Training	-4.02220
2	1116-54-7	OCCN(CCO)N=O	Training	-5.11415
3	36322-90-4	CN1C(C(=O)NC2=NC=CC=C2)C(=O)C3=C(C=CC=C3)S1(=O)=O	Training	-3.63123
4	51-55-8	CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3	Training	-4.71563
5	87-66-1	O=C1CCCC(=O)C1=O	Training	-2.94913
6	108-46-3	O=C1CC=CC(=O)C1	Training	-3.34596
7	64-17-5	CCO	Training	-3.07103
8	120-83-2	OC1=C(Cl)C=C(Cl)C=C1	Training	-1.18346
9	100-66-3	COC1=CC=CC=C1	Training	-1.41421
10	69-65-8	OCC(O)C(O)C(O)C(O)CO	Training	-4.55049
11	36-06-6	CC1OC(OC2CC(O)C3(CO)C4C(O)CC5(C)C(CCC5(O)C4CCC3(O)C2)C6=COC(O)=C6)C(O)C(O)C1O	Training	-6.02062
12	64-19-7	CC(O)=O	Training	-2.80026
13	74103-06-3	OC(=O)C1CCN2C1=CC=C2C(=O)C3=CC=CC=C3	Training	-2.41457
14	67-56-1	CO	Training	-3.21524
15	71-41-0	CCCCCO	Training	-2.14502
16	51-21-8	FC1=CNC(=O)NC1=O	Training	-4.57786
17	78-93-3	CCC(C)=O	Training	-2.49867
18	378-44-9	CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO	Training	-3.90422
19	437-38-7	CCC(=O)N(C1CCN(CCC2=CC=CC=C2)CC1)C3=CC=CC=C3	Training	-2.17579
20	99-76-3	COC(=O)C1=CC=C(O)C=C1	Training	-1.93276
21	53-86-1	COC1=CC2=C(C=C1)N(C(=O)C3=CC=C(Cl)C=C3)C(C)=C2CC(O)=O	Training	-3.51304
22	58-55-9	CN1C2=C(NC=N2)C(=O)N(C)C1=O	Training	-3.64685
23	94-09-7	CCOC(=O)C1=CC=C(N)C=C1	Training	-1.44913
24	117-81-7	CCCCC(CC)COC(=O)C1=C(C=CC=C1)C(=O)OCC(CC)CCCC	Training	-1.25784
25	65-85-0	OC(=O)C1=CC=CC=C1	Training	-1.81644
26	59-50-7	CC1=C(Cl)C=CC(O)=C1	Training	-1.20251
27	137-58-6	CCN(CC)CC(=O)NC1=C(C)C=CC=C1C	Training	-2.27246
28	90-89-1	CCN(CC)C(=O)N1CCN(C)CC1	Training	-3.84381
29	601-05-8	CC12CCC3C(CCC4=CC(=O)CCC34C)C1CCC2(O)C(=O)CO	Training	-4.08168
30	64-85-7	CC12CCC3C(CCC4=CC(=O)CCC34C)C1CCC2C(=O)CO	Training	-3.30041
31	88-06-2	OC1=C(Cl)C=C(Cl)C=C1Cl	Training	-1.16399
32	145-13-1	CC(=O)C1CCC2C3CCC4CC(=O)CCC4(C)C3CCC12C	Training	-2.77315
33	53-16-7	CC12CCC3C(CCC4=C3C=CC(O)=C4)C1CCC2=O	Training	-2.40450
34	100-02-7	OC1=CC=C(C=C1)[N+]([O-])=O	Training	-2.17907
35	68-96-2	CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C	Training	-3.16769
36	12041-98-4	CC(=O)C1CCC2C3CCC4=CC(O)(O)CCC4(C)C3CCC12C	Training	-3.16749
37	554-84-7	OC1=CC(=CC=C1)[N+]([O-])=O	Training	-2.19040
38	141505-33-1	CC1=CC(=O)NN=C1C2=CC=C(NNC(C#N)C#N)C=C2	Training	-2.68185
39	100-52-7	O=CC1=CC=CC=C1	Training	-0.89055
40	60-12-8	OCCC1=CC=CC=C1	Training	-1.55845
41	598-56-1	CCN(C)C	Training	-2.51382
