id	cas	smiles	status	exp value
981		n1cccc[n+]1N	Training	0
351		C(CCl)CI	Training	0
319		C=C(Cl)Cl	Training	0
384		CCCCBr	Training	0
414		CCCCCC	Training	0
591		CCCCCCCCCBr	Training	0
270		CCCCCCCCCCCCCCCCCCI	Training	0
592		CCCCCCCCCCl	Training	0
29		N#CC=C(C)CCC=C(C)C	Training	0
285		N#CC3(c2ccc(OC)c(OC1CCCC1)c2)(CCC(C(=O)O)CC3)	Training	0
311		N#CC3N(C(=O)C(NC(=O)OC(C)(C)C)C(c1ccc(F)cc1)c2ccc(F)cc2)CC(F)C3	Training	0
611		N#CCCOc1ccccc1	Training	0
484		n1c(oc2ccccc12)S	Training	0
62		n2c1ccc(OC)cc1c(cc2Cl)C	Training	0
980		OCC3OC(OCC2OC(OCC1OC(O)C(O)C(O)C1(O))C(O)C(O)C2(O))C(O)C(O)C3(O)	Training	0
938		ON=C1C(=C(C)CCC1)C	Training	0
802		O=[N+]([O-])c3cc(N=Nc1c(O)ccc2ccc(cc12)[N+](C)(C)C)ccc3(N)	Training	0
843		O=C(c1ccc(cc1)CCCC)CC(=O)c2cc(c(c(c2C)C)C)C	Training	0
722		O=C1N=CC=C(N)N1	Training	0
696		O=C2NC(c1ccccc1)C(N2C)C	Training	0
577		O(c1cc(OC)cc(OC)c1)C	Training	0
645		O=C(c1ccc(cc1)C(C)(C)C)CC(=O)c2cc(c(c(c2C)C)C)C	Training	0
244		O=C(NC(=O)c1c(F)cccc1(F))Nc2cc(c(OC(F)(F)C(F)F)c(c2)Cl)Cl	Training	0
431		O=C(O)c1nc(cc(N)c1Cl)Cl	Training	0
423		O=C(O)c1nc(ccc1Cl)Cl	Training	0
7		O=C1COc2ccc(cc2(OC1))C	Training	0
619		O=C2c1ccccc1C(C)(C)C2C	Training	0
638		O=S(=O)(OCCCCCCCCCCCCCCCCCC)C	Training	0
651		OCCN(CCO)CCO	Training	0
302		OCCOCCOCCOCCOCCCCCCCCCCCCCC	Training	0
407		O(CCOCCCl)CCCl	Training	0
284		O=C(c1ccc(OC)cc1)CC(=O)c2ccc(cc2)C(C)(C)C	Training	0
646		O=C(Nc3cc(N=Nc1ccc(OCC(O)CC)cc1)ccc3(N=Nc2cccc(c2)S(=O)(=O)O))C	Training	0
188		O=CCCCCCCCCCCCCC	Training	0
447		O=S(=O)(O)c1ccccc1	Training	0
279		O=S(=O)(O)c4cc3ccc(O)c(N=Nc1ccc(c2ccccc12)S(=O)(=O)O)c3c(c4)S(=O)(=O)O	Training	0
193		OCCCCCCCCCCCCCCO	Training	0
576		OCCOc1ccc(cc1)C	Training	0
522		OCCOc1ccccc1	Training	0
501		ON=Cc1ccccc1	Training	0
247		O=C(c1ccc(OCC)cc1)Cc2ccc(cc2)S(=O)(=O)C	Training	0
343		O=C(c2ccc(OC)cc2(OCc1ccccc1))c5cc(OCCC)ccc5(C=CC(=O)N4C(=O)N(C)C(C)C4(c3ccccc3))	Training	0
310		O=C(O)c1cccc(c1)c4cccc(NN=C2C(=O)N(N=C2C)c3ccc(c(c3)C)C)c4(O)	Training	0
339		O=C(O)c5ccc(Oc1ccc(cc1)CN4CCC2(C(=O)NC(C(=O)N2(CCCC))C(O)C3CCCCC3)CC4)cc5	Training	0
283		O=C(OC(C)(C)C)NC(C(=O)O)C(c1ccc(F)cc1)c2ccc(F)cc2	Training	0
234		O=C(OC(C)(C)C)NC(C(=O)OCC)Cc1ccc(O)cc1	Training	0
286		O=C(OC(C)(C)C)NC(Cc2ccc(OCc1nc(C)sc1)cc2)C3OC3	Training	0
353		O=C(OC)OC	Training	0
305		O=C(OC2CC(C=C)(C)C(O)C(C)C13(CCC(=O)C1C2(C)C(C)CC3))COS(=O)(=O)C	Training	0
144		O=C(OCc1ccccc1)NC(C(=O)O)CCC(=O)N	Training	0
385		O=C(OCCOC)C	Training	0
336		O=C1C=Cc2c(N1)c(O)ccc2C(O)CNCCc3ccc(cc3)Nc4ccc(OC)c(c4)c5ccccc5	Training	0
