ID	SMILES	DS	Target
P_35	O=C(O)c1nc(ccc1Cl)Cl	TS	0
P_68	O=C(O)c1c2ncc(cc2ccc1Cl)Cl	TS	0
P_78	O=C(O)COc1nc(F)c(c(N)c1Cl)Cl	TS	0
P_899	O=C(OCC=C)N	TS	0
P_962	O=C1OC(=O)C=C1	TS	0
P_919	O=C(OCC=C)CC(C)C	TS	0
P_966	O=c1sc2nc3ccc(cc3nc2s1)C	TS	0
P_42	N#CSCSc1nc2ccccc2s1	TS	0
P_97	O=C(O)c1cc2ccccc2nc1C3=NC(C(=O)N3)(C)C(C)C	TS	0
P_869	O=C(OC)CCOC	TS	0
P_844	O=C(OC)C(C)CC	TS	0
P_246	O=C(OC)CCC(=O)OC	TS	0
P_476	OCC(CCCC)CCCCCC	TS	0
N_110	OCCCCCCCCCCCCCC	TS	0
P_317	OCCCCCCCCCCC	TS	0
P_352	CCCCCCCCCC	TS	0
P_969	CC1CCC2CC1C2(C)C	TS	0
P_226	CCCCCCCCCCCCCCCC	TS	0
P_416	O=C(N)N	TS	0
P_196	O=CN	TS	0
P_711	O=C(NCO)NCO	TS	0
P_782	CCCC[Sn](Cl)(Cl)Cl	TS	0
N_130	CCCC[Sn](CCCC)(Cl)Cl	TS	0
P_861	O=CC1CC1	TS	0
P_313	O=C(O)COc1ccc(cc1)CC(NCC(O)c2nc(C(F)(F)F)sc2)C	TS	0
P_144	O=C(OCC)COc1ccc2c(c1)CC(NCC(O)c3cccc(c3)Cl)CC2	TS	0
P_169	Oc1ccc(cc1O)C(O)CNC(C)C	TS	0
P_65	N1C(NCC1)=S	TS	0
P_342	N1CCNCC1	TS	0
P_674	NCCNCCN	TS	0
P_492	O=C(OCC)CCCCCCCC=CCCCCCCCC	TS	0
P_377	O=C(O)CCCCCCCC=CCC1OC1CCCCC	TS	0
P_486	O=C(OCC(O)CO)CCCCCCC	TS	0
P_794	OC(C)COc1ccccc1	TS	0
P_937	O=C(O)C(Oc1ccc(cc1C)Cl)C	TS	0
P_43	OCCOc1ccccc1	TS	0
P_510	OCCN(CC)CCO	TS	0
P_307	OCCNCCO	TS	0
P_883	O=C(O)CN(CC(=O)O)CCCN(CC(=O)O)CC(=O)O	TS	0
P_452	O=C(N=C(N)N)c1ccc(c(c1)S(=O)(=O)C)C(C)C	TS	0
P_3	O=C(c1cnoc1C2CC2)c3ccc(cc3S(=O)(=O)C)C(F)(F)F	TS	0
P_382	O=S(=O)(O)c1ccccc1CCCCCCCCCCCC	TS	0
P_287	O=C(NN1CCCCC1)c2nn(-c3ccc(cc3Cl)Cl)c(-c4ccc(cc4)Br)c2CC	TS	0
P_729	O=C(N)C=1C(=O)C(N(C)C)C2C(O)C3C(=C(O)c4c(O)cccc4C3(O)C)C(=O)C2(O)C1O	TS	0
P_933	O=C1C(=C(O)CC(C1)CC(C)SCC)C(=NOCC=CCl)CC	TS	0
N_168	O=C1NC(=O)SC1Cc2ccc(OCC3(Oc4c(c(c(O)c(c4CC3)C)C)C)C)cc2	TS	0
P_718	O=C(O)CC(N)C(=O)NC(C(=O)OC)Cc1ccccc1	TS	0
P_281	O=C1N=C(O)NC(=O)C1(c2ccccc2)CC	TS	0
P_270	On1ccccc1=S	TS	0
P_87	O=C(C=C(OP(=O)(OC)OC)C)N(C)C	TS	0
