id	CAS	smiles	status	exp
1	1702-17-6	O=C(O)c1nc(ccc1Cl)Cl	Training	0
2	84087-01-4	O=C(O)c1c2ncc(cc2ccc1Cl)Cl	Training	0
3	69377-81-7	O=C(O)COc1nc(F)c(c(N)c1Cl)Cl	Training	0
4	2114-11-06	O=C(OCC=C)N	Training	0
5	108-31-6	O=C1OC(=O)C=C1	Training	0
6	2835-39-4	O=C(OCC=C)CC(C)C	Training	0
7	2439-01-02	O=c1sc2nc3ccc(cc3nc2s1)C	Training	0
8	21564-17-0	N#CSCSc1nc2ccccc2s1	Training	0
9	81335-37-7	O=C(O)c1cc2ccccc2nc1C3=NC(C(=O)N3)(C)C(C)C	Training	0
10	3852-09-03	O=C(OC)CCOC	Training	0
11	868-57-5	O=C(OC)C(C)CC	Training	0
12	106-65-0	O=C(OC)CCC(=O)OC	Training	0
13	3913-02-08	OCC(CCCC)CCCCCC	Training	0
14	112-72-1	OCCCCCCCCCCCCCC	Training	0
15	112-42-5	OCCCCCCCCCCC	Training	0
16	124-18-5	CCCCCCCCCC	Training	0
17	473-55-2	CC1CCC2CC1C2(C)C	Training	0
18	544-76-3	CCCCCCCCCCCCCCCC	Training	0
19	57-13-6	O=C(N)N	Training	0
20	75-12-7	O=CN	Training	0
21	140-95-4	O=C(NCO)NCO	Training	0
22	1118-46-3	CCCC[Sn](Cl)(Cl)Cl	Training	0
23	683-18-1	CCCC[Sn](CCCC)(Cl)Cl	Training	0
24	1489-69-6	O=CC1CC1	Training	0
25	113734-18-2	O=C(O)COc1ccc(cc1)CC(NCC(O)c2nc(C(F)(F)F)sc2)C	Training	0
26	929601-09-2	O=C(OCC)COc1ccc2c(c1)CC(NCC(O)c3cccc(c3)Cl)CC2	Training	0
27	51-30-9	Oc1ccc(cc1O)C(O)CNC(C)C	Training	0
28	96-45-7	N1C(NCC1)=S	Training	0
29	110-85-0	N1CCNCC1	Training	0
30	111-40-0	NCCNCCN	Training	0
31	111-62-6	O=C(OCC)CCCCCCCC=CCCCCCCCC	Training	0
32	1929-77-7	O=C(O)CCCCCCCC=CCC1OC1CCCCC	Training	0
33	26402-26-6	O=C(OCC(O)CO)CCCCCCC	Training	0
34	770-35-4	OC(C)COc1ccccc1	Training	0
35	16484-77-8	O=C(O)C(Oc1ccc(cc1C)Cl)C	Training	0
36	122-99-6	OCCOc1ccccc1	Training	0
37	139-87-7	OCCN(CC)CCO	Training	0
38	111-42-2	OCCNCCO	Training	0
39	1939-36-2	O=C(O)CN(CC(=O)O)CCCN(CC(=O)O)CC(=O)O	Training	0
40	159138-81-5	O=C(N=C(N)N)c1ccc(c(c1)S(=O)(=O)C)C(C)C	Training	0
41	141112-29-0	O=C(c1cnoc1C2CC2)c3ccc(cc3S(=O)(=O)C)C(F)(F)F	Training	0
42	25155-30-0	O=S(=O)(O)c1ccccc1CCCCCCCCCCCC	Training	0
43	288104-79-0	O=C(NN1CCCCC1)c2nn(-c3ccc(cc3Cl)Cl)c(-c4ccc(cc4)Br)c2CC	Training	0
44	79-57-2	O=C(N)C=1C(=O)C(N(C)C)C2C(O)C3C(=C(O)c4c(O)cccc4C3(O)C)C(=O)C2(O)C1O	Training	0
45	99129-21-2	O=C1C(=C(O)CC(C1)CC(C)SCC)C(=NOCC=CCl)CC	Training	0
46	97322-87-7	O=C1NC(=O)SC1Cc2ccc(OCC3(Oc4c(c(c(O)c(c4CC3)C)C)C)C)cc2	Training	0
47	22839-47-0	O=C(O)CC(N)C(=O)NC(C(=O)OC)Cc1ccccc1	Training	0
48	57-30-7	O=C1N=C(O)NC(=O)C1(c2ccccc2)CC	Training	0
49	3811-73-2	On1ccccc1=S	Training	0
50	141-66-2	O=C(C=C(OP(=O)(OC)OC)C)N(C)C	Training	0
51	626-48-2	O=c1cc([nH]c(=O)[nH]1)C	Training	0
52	19660-16-3	O=C(OCC(CBr)Br)C=C	Training	0
53	2499-95-8	O=C(OCCCCCC)C=C	Training	0
54	103-11-7	O=C(OCC(CC)CCCC)C=C	Training	0
55	96-29-7	ON=C(C)CC	Training	0
56	1646-75-9	ON=CC(C)(C)SC	Training	0
57	108-87-2	CC1CCCCC1	Training	0
58	77-06-5	O=C(O)C1C2C3(OC(=O)C2(C)C(O)C=C3)C4CCC5(O)C(=C)CC14C5	Training	0
59	13292-46-1	O=C(OC1C(C)C(OC)C=COC2(Oc3c(C2=O)c4c(O)c(C=NN5CCN(C)CC5)c(NC(=O)C(=CC=CC(C)C(O)C(C)C(O)C1C)C)c(O)c4c(O)c3C)C)C	Training	0
60	114-07-8	O=C1OC(CC)C(O)(C)C(O)C(C(=O)C(C)CC(O)(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)C(OC3OC(C)C(O)C(OC)(C)C3)C1C)C	Training	0
61	NOCAS_47265	O=C(O)CCN(C1(C(=O)NO)CCCC1)S(=O)(=O)c2ccc(Oc3ccc(F)cc3)cc2	Training	0
62	1156-19-0	O=C(NN1CCCCCC1)NS(=O)(=O)c2ccc(cc2)C	Training	0
63	473289-62-2	O=C(O)C1N2C(=O)C(NC(=O)C(C(C)C)SC(=O)C)Cc3ccccc3C2CCC1	Training	0
64	NOCAS_47292	O=c1onc([nH]1)CC2(CN)CCCCC2	Training	0
65	105-60-2	O=C1NCCCCC1	Training	0
66	2687-96-9	O=C1N(CCC1)CCCCCCCCCCCC	Training	0
67	NOCAS_47328	O=C(N)c1nc(n[nH]1)-c2cccc(c2)-c3cc(F)ccc3OCC(F)(F)C(F)(F)F	Training	0
68	104795-68-8	O=C(Nc1nnn[nH]1)c2c(OC(C)C)c3cc(OC)ccc3s2	Training	0
69	43222-48-6	c1ccc(cc1)-c2cc(-c3ccccc3)[n+](n2C)C	Training	0
70	NOCAS_47342	O(c1cccc(c1)-c2ccc(C=CCN3CCCCCC3)cc2Cl)C	Training	0
71	83834-59-7	O=C(OCC(CC)CCCC)C=Cc1ccc(OC)cc1	Training	0
72	361343-19-3	O=C1C(=Cc2ccccc2N3CCN(C)CC3)SCCN1c4ccc(c(c4)Cl)Cl	Training	0
73	NOCAS_47383	O=C(O)c1ccc2c(nc(C(=O)NC3CCN(CC3)C4CC4)n2Cc5noc(c5)-c6ccc(Cl)s6)c1	Training	0
74	1062243-51-9	O=C(NC1CCN(C)CC1)c2ccc(Nc3ncc4c(n3)N(CC(F)(F)C(=O)N4C)C5CCCC5)c(OC)c2	Training	0
75	114311-32-9	O=C(O)c1cc(cnc1C2=NC(C(=O)N2)(C)C(C)C)COC	Training	0
76	NOCAS_48518	O=C(NS(=O)(=O)C=Cc1cccs1)c2ccc(F)cc2Br	Training	0
77	82385-42-0	O=C1NS(=O)(=O)c2ccccc12	Training	0
78	2634-33-5	O=c1[nH]sc2ccccc12	Training	0
79	3068-00-6	OCCC(O)CO	Training	0
80	107-41-5	OC(C)CC(O)(C)C	Training	0
81	56-81-5	OCC(O)CO	Training	0
82	112-55-0	CCCCCCCCCCCCS	Training	0
83	1678-91-7	CCC1CCCCC1	Training	0
84	629-62-9	CCCCCCCCCCCCCCC	Training	0
85	108-48-5	n1c(cccc1C)C	Training	0
86	1929-82-4	n1c(cccc1Cl)C(Cl)(Cl)Cl	Training	0
87	2402-78-0	n1c(cccc1Cl)Cl	Training	0
