Target	SRW9	PubchemFP20	PubchemFP37	PubchemFP183	PubchemFP189	PubchemFP341	PubchemFP342	PubchemFP379	PubchemFP418	PubchemFP755
0	0	0	0	0	1	1	0	0	0	0
0	0	0	0	0	1	1	0	0	0	1
1	0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	1	0	0	0	1
0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	1	1	0	0	0	0
0	0	0	1	0	0	1	1	0	0	0
0	0	0	0	0	0	1	0	0	0	0
1	0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	0	1	0	0	0	0
1	0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0
0	0	0	1	0	0	0	1	0	0	0
0	0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	1	1	0	0	0	1
0	0	0	0	0	1	1	0	0	0	0
0	0	0	1	0	0	1	1	0	0	0
1	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	1	0	0	0	0
0	0	0	1	0	0	0	1	0	0	0
1	0	0	1	0	0	1	1	0	0	0
1	0	0	1	0	0	1	1	0	0	0
1	0	0	1	0	1	1	1	0	0	0
0	0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	0	1	0	0	0	0
0	0.727256439348587	0	1	0	0	1	1	1	1	0
0	0.766077532931664	1	0	0	1	1	0	0	0	1
0	0	0	0	1	0	0	0	0	1	0
1	0	1	0	0	0	0	0	0	0	0
1	0.783869104179403	0	0	0	0	1	0	0	0	0
1	0	1	0	0	0	0	0	0	0	0
0	0	0	0	0	0	1	0	0	0	0
0	0	0	1	0	0	0	1	0	0	0
0	0	1	0	0	0	0	0	0	0	0
0	0	0	0	0	0	1	0	0	0	0
1	0.575102579493503	0	1	0	1	1	1	0	0	0
1	0	1	0	0	0	0	0	0	0	1
0	0	1	0	0	0	1	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
1	0.763296585525745	0	0	0	0	0	0	0	1	0
1	0	1	0	0	0	0	0	0	0	0
0	0	0	0	0	1	1	0	0	0	0
1	0	1	0	0	0	0	0	0	0	1
0	0	0	0	0	0	1	0	0	0	0
1	0.857854484950509	0	0	1	0	1	0	1	1	0
1	0.792927268343464	1	0	0	1	1	0	1	1	1
0	0.909947026773627	1	1	0	1	1	1	0	0	0
0	0	0	0	0	0	1	0	0	0	0
0	0	1	1	0	1	0	1	0	0	0
1	0	0	0	0	0	1	0	0	0	0
0	0.833013149480302	0	0	0	1	0	0	0	0	0
0	0	1	0	1	0	0	0	1	1	0
1	0	0	1	0	1	1	1	0	0	0
0	0	0	0	0	0	0	0	0	0	0
1	0.831463164786691	0	1	0	0	0	0	0	0	0
1	0.9347708838072	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	1	0
1	0	0	1	0	0	0	1	0	0	0
1	0	1	0	0	0	0	0	0	0	0
1	0	1	0	0	0	0	0	0	0	1
0	0	0	0	0	1	1	0	0	0	0
0	0	1	0	0	0	0	0	0	0	1
1	0	1	0	0	0	1	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0.841900295621277	0	1	0	0	1	1	1	1	0
0	0	1	0	0	0	1	0	0	0	0
0	0	0	0	0	1	0	0	0	0	0
1	0	1	0	0	1	1	0	0	0	1
0	0	0	0	0	1	1	0	0	0	0
1	0	0	0	1	0	0	0	1	1	0
1	0.781489102119757	1	0	0	1	1	0	0	0	1
1	0	0	0	0	1	0	0	0	0	0
1	0	0	0	1	1	1	0	0	1	0
1	0	1	0	0	0	0	0	0	0	0
1	0	1	1	0	0	0	1	0	0	0
1	0	0	0	0	0	0	0	0	0	0
0	0.727256439348587	0	0	0	1	0	0	1	1	0
1	0	0	0	0	0	0	0	0	0	0
1	0	0	1	0	0	0	1	0	0	0
0	0.723346201113533	0	0	0	1	0	0	1	1	0
1	0	0	1	0	0	1	1	0	0	0
1	0	0	1	0	0	0	1	0	0	0
0	0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	1	1	0	0	0	0
0	0	0	0	0	0	1	0	0	0	0
0	0.843317239991296	0	0	0	0	0	0	1	1	0
0	0	0	0	1	0	0	0	0	1	0
0	0.786201075998313	0	0	0	0	0	0	0	1	0
1	0	0	0	0	1	1	0	0	0	1
0	0.786201075998313	0	0	0	1	1	0	0	0	0
0	0.763296585525745	0	0	1	0	0	0	1	1	0
1	0.825046564360462	0	0	1	0	1	0	1	1	0
0	0.870765605538851	0	0	0	1	0	0	0	1	0
0	0.818252613703012	0	0	1	1	0	0	0	1	0
0	0	1	0	0	1	1	0	0	0	1
0	0.812881470666086	0	0	0	1	1	0	0	0	1
1	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	1	0	0	0	0
1	0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	1	0	0	0	0	1
0	0	0	1	0	1	1	1	0	0	0
0	0	0	0	0	1	0	0	0	0	0
0	0	0	0	0	0	1	0	0	0	0
0	0.812881470666086	0	0	0	0	1	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	1	1	0	0	0	0
1	0	0	1	0	0	1	1	0	0	0
1	0	0	0	0	0	1	0	0	0	0
0	0	0	1	0	1	1	1	0	0	0
0	0	0	0	0	1	0	0	0	0	1
0	0	0	1	0	0	0	1	0	0	0
0	0	0	0	0	1	0	0	0	0	1
0	0	0	0	0	1	0	0	0	1	0
1	0	1	0	0	0	0	0	0	0	0
1	0.846100047742438	0	1	0	0	0	0	0	0	0
1	0	0	0	1	0	0	0	0	1	0
0	0	1	0	0	0	1	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	1	1	0	0	0	1
0	0.812881470666086	0	0	0	1	1	0	0	0	0
0	0.812881470666086	0	0	0	0	1	0	0	0	0
0	0.83754213609612	0	0	0	0	1	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
1	0	1	0	0	0	0	0	0	0	0
0	0	0	0	0	1	0	0	0	0	1
0	0	0	0	1	0	0	0	1	1	0
0	0	0	0	0	0	1	0	0	0	0
0	0.836052109525314	0	0	0	0	1	0	0	0	0
0	0.834542619067643	0	0	0	0	1	0	0	0	0
0	0.83754213609612	0	0	0	0	1	0	0	0	0
0	0	0	1	0	0	1	1	0	0	0
0	0	0	1	0	0	1	1	0	0	0
0	0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	1	0	0	0	0	0
0	0	1	0	0	0	1	0	0	0	0
0	0	0	0	0	0	1	0	0	0	0
1	0	1	0	0	1	0	0	0	0	0
1	0	1	0	0	0	0	0	0	0	1
1	0	1	0	0	0	0	0	0	0	0
0	0.814699732194219	0	0	0	1	1	0	0	0	1
0	0	0	0	0	1	1	0	0	0	1
0	0	0	0	0	1	1	0	0	0	0
0	0	1	1	0	1	1	1	0	0	0
0	0	0	1	0	1	1	1	0	0	0
0	0	1	0	0	1	1	0	0	0	0
0	0	1	0	0	1	1	0	0	0	0
0	0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	1	0	0	0	0	0
0	0	0	0	0	1	1	0	0	0	1
0	0	0	1	0	1	1	1	0	0	0
1	0	0	1	0	1	1	1	0	0	0
0	0	0	0	0	1	0	0	0	0	0
0	0.812881470666086	0	0	0	0	1	0	0	0	0
0	0.816489826745773	0	0	0	0	1	0	0	0	0
0	0.970843268927864	1	1	0	1	1	1	0	0	0
0	0.855343766666412	1	0	0	0	1	0	0	0	0
0	0	1	0	0	1	1	0	0	0	0
0	0	0	0	0	0	1	0	0	1	1
0	0.812881470666086	0	0	0	1	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0
0	0.731038682914033	0	1	0	1	0	1	1	1	0
0	0	1	0	0	1	1	0	0	0	0
0	0	1	0	0	1	1	0	0	0	0
1	1	0	0	0	0	1	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0	0	0
0	0	1	0	0	0	1	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
1	0.811034141561966	0	1	0	0	0	1	0	0	0
0	0	1	0	0	1	1	0	0	0	1
0	0	1	0	0	1	0	0	0	0	1
1	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0
1	0.783869104179403	0	0	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0	0	0
0	0	0	0	1	0	0	0	1	1	0
0	0.820561930936024	0	0	1	0	0	0	1	1	0
0	0	0	1	1	0	0	0	1	1	0
1	0	0	1	1	0	0	0	1	1	0
1	0	0	0	0	1	0	0	0	0	0
0	0	0	0	0	1	0	0	0	0	1
1	0	0	0	0	0	0	0	0	1	0
0	0	0	0	0	1	0	0	0	0	1
0	0	0	0	0	0	1	0	0	1	0
0	0.680508357377474	0	0	0	0	1	0	0	0	0
0	0.811034141561966	1	1	0	0	1	1	0	0	0
0	0	0	0	0	1	0	0	0	0	0
1	0	1	0	0	0	0	0	0	0	1
0	0.975870540363317	0	0	0	1	1	0	0	0	0
0	0	1	0	1	1	1	0	0	1	0
1	0	1	1	0	1	1	1	0	0	0
0	0.816489826745773	0	1	0	1	1	1	0	0	0
0	0.892009039003072	1	0	0	0	1	0	0	0	1
0	0	0	0	1	0	0	0	1	1	0
0	0.760447059948149	1	0	1	1	1	0	0	1	0
0	0.868522895498918	1	0	0	1	1	0	0	1	0
0	0	0	0	1	0	1	0	0	1	0
0	0.83754213609612	0	0	0	1	1	0	0	0	0
0	0.841900295621277	1	1	0	1	1	1	1	1	0
0	0.811034141561966	0	1	0	0	0	1	0	1	0
0	0	0	1	0	0	0	1	0	0	0
0	0	0	1	0	0	1	1	0	0	0
1	0	0	1	0	0	0	1	0	0	0
1	0	0	1	1	0	0	1	0	1	0
0	0	0	1	0	0	1	1	0	0	0
0	0.831463164786691	0	1	0	0	1	1	0	0	0
0	0.811034141561966	0	1	0	0	0	1	0	0	0
0	0	0	1	1	0	0	1	1	1	0
0	0	1	1	0	0	0	1	0	0	0
0	0	0	0	0	0	1	0	0	0	0
1	0	1	0	0	0	0	0	0	0	1
0	0.906738107476692	0	0	0	0	1	0	0	0	1
1	0	1	0	0	0	0	0	0	0	1
1	0	1	0	0	0	0	0	0	0	1
1	0	1	0	0	0	0	0	0	0	1
0	0.763296585525745	0	0	1	0	1	0	1	1	0
0	0.834542619067643	0	0	1	0	0	0	0	1	0
0	0.87440936208515	0	1	0	0	1	1	1	1	0
0	0	1	0	1	0	1	0	0	1	0
0	0.7884869178636	1	1	0	1	1	1	0	1	0
0	0	1	1	1	0	1	1	0	1	0
0	0.807248455849275	0	1	0	0	0	1	0	0	0
1	0.831463164786691	0	1	0	0	0	0	0	0	1
0	0.921959553444097	0	0	0	0	0	0	1	1	1
0	0.757525488222559	0	0	1	0	0	0	0	1	0
0	0.975870540363317	0	1	0	0	0	1	0	0	0
0	0.975870540363317	0	1	0	1	1	1	0	0	0
0	0	0	0	0	1	1	0	0	0	0
0	0.763296585525745	1	0	0	0	1	0	0	1	0
1	0	0	1	1	0	0	0	1	1	0
1	0	0	1	1	0	0	0	1	1	0
0	0	0	0	0	0	0	0	0	0	0
0	0	0	1	1	0	0	0	1	1	0
0	0	0	0	1	0	0	0	1	1	0
0	0	0	0	1	0	0	0	1	1	0
0	0.786201075998313	0	1	0	0	0	0	1	1	0
0	0	0	0	1	0	1	0	1	1	0
0	0	1	1	0	1	1	1	0	0	0
0	0	0	0	0	1	1	0	0	0	0
0	0	1	1	0	0	1	1	0	0	0
0	0.972543443080465	1	1	0	0	0	1	0	0	0
0	0	1	0	0	1	1	0	0	0	0
1	0.760447059948149	1	0	0	1	1	0	0	0	0
1	0.763296585525745	0	0	0	1	1	0	0	1	0
0	0	0	0	0	1	1	0	0	0	0
1	0.816489826745773	1	0	0	1	1	0	0	0	0
0	0	0	0	0	1	0	0	0	0	1
0	0	0	0	0	0	0	0	0	1	0
0	0.834542619067643	1	1	0	0	1	1	0	0	0
1	0	1	0	0	1	1	0	0	0	0
0	0.816489826745773	0	0	1	0	0	0	0	0	0
1	0.754528132471818	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0
0	0.833013149480302	1	1	0	1	1	1	0	0	0
0	0.839013194344902	0	0	0	1	0	0	0	0	1
1	0.763296585525745	0	0	0	1	1	0	1	1	0
0	0.83754213609612	1	0	0	1	1	0	0	0	1
1	0.812881470666086	1	0	1	0	0	0	0	1	0
