id	CAS	smiles	status	exp
1	n.a.	NC1=NC(=S)C2=C(N=CN2)N1	Training	0
2	n.a.	CN1C=NC2=C1C(=O)NC(=O)N2C	Training	0
3	n.a.	CN1C(=O)C2=C(N=CN2)N(C)C1=O	Training	0
4	n.a.	O=S(=O)(O)C1=CC=C(N=NC2=C(O)C=CC3=CC(S(=O)(=O)O)=CC=C32)C=C1	Training	0
5	n.a.	O=S(=O)(O)C1=CC=C(N=NC2=C(O)C=CC3=CC=CC=C32)C=C1	Training	0
6	n.a.	NC1=C(N=NC2=CC=CC=C2C(F)(F)F)C2=C(O)C=C(S(=O)(=O)O)C=C2C=C1	Training	0
7	n.a.	COC1=C(C)C=CC(C(C)C)=C1	Training	0
8	n.a.	CCCC1=CC=C(OC)C=C1	Training	0
9	n.a.	COC1=CC(C(C)(C)C)=C(O)C=C1	Training	0
10	n.a.	O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	Training	0
11	n.a.	O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	Training	0
12	n.a.	O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	Training	0
13	n.a.	CS(=O)(=O)OCCOS(C)(=O)=O	Training	0
14	n.a.	O=S1(=O)CCCO1	Training	0
15	n.a.	CCOS(=O)(=O)OCC	Training	0
16	n.a.	COC(=O)CCCCC(=O)OC	Training	0
17	n.a.	CCCCCCCCCCCC(=O)OC	Training	0
18	n.a.	COC(=O)CCCC(=O)OC	Training	0
19	n.a.	COC(=O)C1=CC=CC=C1C(=O)O	Training	0
20	n.a.	O=C(O)C1=CC=CC=C1	Training	0
21	n.a.	CCOC(=O)C1=CC=CC=C1	Training	0
22	n.a.	NC(=O)C1=NC(C2=CC=CC(C3=C(OCC(F)(F)C(F)(F)F)C=CC(F)=C3)=C2)=NN1	Training	0
23	n.a.	CCN1CCC2(CC1)COC1=C2C=C2C(=C1)CCN2C(=O)C1=CC=C(C2=CC=C(C3=NN=C(C)O3)C=C2C)C=C1	Training	0
24	n.a.	CCCCCCCCSC(=O)OC1=CC(Cl)=NN=C1C1=CC=CC=C1	Training	0
25	n.a.	CCC1=CC(C(C)(C)C)=C(O)C(C(C)(C)C)=C1	Training	0
26	n.a.	CC(C)(C)C1=CC(C(C)(C)C)=C(O)C(C(C)(C)C)=C1	Training	0
27	n.a.	CC(C)C1=CC=CC(C(C)C)=C1O	Training	0
28	n.a.	CCN(CC)C1=CC=CC(C)=C1	Training	0
29	n.a.	CCNC1=CC=CC(C)=C1	Training	0
30	n.a.	CC1(C)NC(=O)N(C2=CC(C(F)(F)F)=C([N+](=O)[O-])C=C2)C1=O	Training	0
31	n.a.	O=C(OCCCCCCOC(=O)C1=CC=CC=C1)C1=CC=CC=C1	Training	0
