id 	cas	smiles	status	exp value
1		Oc1ccc(c(O)c1)CCCCCC	Training	0
8		O=C1N(N=C(OC)S1)CSP(OC)(OC)=S	Training	0
9		O=C1NC(=O)SC1Cc4ccc(OCC3(Oc2c(c(c(O)c(c2CC3)C)C)C)(C))cc4	Training	0
11		O=C(OCC)CC(C(=O)OCC)SP(OC)(OC)=S	Training	0
12		O=C2Oc1cc(cnc1N2CSP(=O)(OC)OC)Cl	Training	0
13		O=C(OCCCCCCCC)c1cc(O)c(O)c(O)c1	Test	0
14		Oc1cc(c(O)cc1C(C)(C)C)C(C)(C)C	Training	0
18		Oc1ccc(cc1)C(c2ccc(O)cc2)C(Cl)(Cl)Cl	Training	0
22		Nc1cccc(N)c1	Training	0
23		O=C(Nc1ccccc1)C2=C(OCCS2)C	Test	0
25		C1(N(C)CN(C)CS1)(=S)	Training	0
26		O=C(OC3C(C)C(OC)C=COC1(Oc4c(C1(=O))c5c(O)c(C=NN2CCN(C)CC2)c(NC(=O)C(=CC=CC(C)C(O)C(C)C(O)C3(C))C)c(O)c5(c(O)c4C))C)C	Training	0
27		Nc1ccc(cc1)Nc2ccccc2	Test	0
28		Oc1ccc(O)c(c1)C(C)(C)C	Training	0
32		O=S(=O)(c1ccc(O)c(c1)CC=C)c2ccc(O)c(c2)CC=C	Training	0
33		N#CSCSC#N	Training	0
36		Oc1ccc(O)cc1	Training	0
37		Oc1ccc(C=CC)cc1(OC)	Test	0
40		O=C(O)C(N)(C)Cc1ccc(O)c(O)c1	Training	0
44		Nc1ccc(cc1)CCCCC	Training	0
46		O=C(OC)C=C(OP(=O)(OC)OC)C	Training	0
47		Oc1ccccc1(O)	Training	0
50		Nc1ccc2ccccc2(c1)	Training	0
52		Nc1ccc(cc1)Cl	Training	0
53		O=C(O)C(=O)Nc3cc(c(Oc1ccc(O)c2c1CCC2)c(c3)C)C	Test	0
54		O=C(OCCC)c1cc(O)c(O)c(O)c1	Test	0
57		O=C3OC(c1ccc(O)cc1)(c2ccc(O)cc2)c4ccccc34	Training	0
60		c1ccc2cc3ccccc3(cc2(c1))	Training	0
61		O=C(OCC)c1ccc(cc1)C3CCC(NCC(O)COc2ccc(O)c(c2)NS(=O)(=O)C)CC3	Training	0
62		Oc1ccc(OC)cc1C(C)(C)C	Training	0
66		Nc1ccc(cc1C)Cc2ccc(N)c(c2)C	Training	0
68		O=[N+]([O-])c1ccc(OC)c(N)c1	Training	0
70		O=C(O)c1ccc(N)cc1	Training	0
71		O=S(=O)(c1ccc(N)cc1)c2ccc(N)cc2	Test	0
72		n1c(OP(OC)(OC)=S)cc(nc1N(CC)CC)C	Training	0
81		Oc1ccc(cc1(OC))CC=C	Training	0
82		Nc1ccccc1C	Test	0
87		n1c(OP(OC)(OC)=S)c(cc(c1Cl)Cl)Cl	Training	0
91		O=S(=O)(CSP(OCC)(OCC)=S)C(C)(C)C	Test	0
93		Oc1c(cc(cc1C)C)C	Training	0
95		n1c(nc(nc1Cl)Cl)Nc2ccccc2Cl	Training	0
96		O=P(OC=C(Cl)Cl)(OC)OC	Test	0
97		O(c1ccc(cc1(N))C)C	Training	0
99		O(c1ccc(c(c1)C)SC)P(OC)(OC)=S	Training	0
100		Oc1ccc(cc1(O))C(O)CNC(C)C	Training	0
101		Oc1c(ccc(c1C)C)C	Training	0
102		c1ccc(cc1)N(C)C	Test	0
104		Oc1ccc(cc1)C(c2ccc(O)cc2)(c3ccc(O)cc3)C	Training	0
105		O=C1C=COC(=C1(O))C	Test	0
107		O=CC=C(C)CCC=C(C)C	Training	0
108		O=[N+]([O-])c2ccc3Nc4n[nH]c(c4(N=C(c1ccccc1Cl)c3(c2)))C	Training	0
116		O=C(O)CCn4ccc3c(OCCc1nc(oc1C)c2ccccc2)cccc34	Training	0
118		O=S(=O)(OCCCCOS(=O)(=O)C)C	Test	0
119		O=S(=O)(O)N=Nc1ccc(cc1)N(C)C	Training	0
127		O=S(=O)(OC)C	Training	0
131		O=C(Nc1ccc(cc1)Cl)N(C)C	Training	0
136		O=S(=O)(OC)OC	Test	0
137		O=C(Oc1cccc(N=CN(C)C)c1)NC	Test	0
142		n1c(OP(OCC)(OCC)=S)cc(nc1C(C)C)C	Training	0
144		O=C(c1ccc(cc1[N+](=O)[O-])S(=O)(=O)C)C2C(=O)CCCC2(=O)	Test	0
146		n1c(nn(c1Cl)C(C)C)OP(OCC)(OCC)=S	Training	0
151		O=C(NC(=O)c1c(F)cccc1(F))Nc2cc(c(OC(F)(F)C(F)F)c(c2)Cl)Cl	Training	0
153		O=C(O)CCN(C1(C(=O)NO)(CCCC1))S(=O)(=O)c3ccc(Oc2ccc(F)cc2)cc3	Training	0
158		O=C(NN1CCCCCC1)NS(=O)(=O)c2ccc(cc2)C	Training	0
166		O=P(OCC)(SCCC)SCCC	Training	0
167		O=P(OC)(N)SC	Test	0
173		N#CC(=NOC)C(=O)NC(=O)NCC	Training	0
175		N(C(=S)S)C	Training	0
176		O=C(Nc1ccc(c(c1)Cl)Cl)N(C)C	Training	0
180		O=C3N(Nc1ccccc1)C(=NC3(c2ccccc2)C)SC	Training	0
184		O=[N+]([O-])c1ccc(OP(OCC)(OCC)=S)cc1	Training	0
189		O=C1OC(C(O)=C1(O))C(O)CO	Training	0
190		O=C(Nc1ccc(c(c1)Cl)Cl)N(OC)C	Test	0
191		Oc1ccc2c(c1)CCC3C2CCC4(C)(C(O)CCC34)	Training	0
195		Oc1ccc(cc1C)C	Training	0
201		O=C(Nc1ccccc1)Nc2cnns2	Training	0
205		N#CC4N(C(=O)CNC3CC2N(c1ncccn1)C(CC2)C3)CC(F)(F)C4	Training	0
209		O=C1N(C(=O)N(C(=O)N1Cl)Cl)Cl	Training	0
216		O(CC)P(OCC)(OC(C(Cl)(Cl)Cl)Cl)=S	Test	0
224		O=C1N(C(=O)N(C(=O)N1CC2OC2)CC3OC3)CC4OC4	Training	0
231		O(c1ccc(cc1)C=CC)C	Training	0
233		O=C(O)Cc2cc(c(Oc1ccc(O)c(c1)I)c(c2)I)I	Training	0
237		O=C(Nc1ccc(c(c1)Cl)Cl)CC	Training	0
250		O=C(N)C(=NO)C=C(CC)C([N+](=O)[O-])C	Training	0
251		O=C(O)c1cc(cc(N)c1Cl)Cl	Test	0
254		O=C(N)NO	Training	0
256		O=C(OCC(CC)CCCC)c1ccc(C(=O)OCC(CC)CCCC)c(c1)C(=O)OCC(CC)CCCC	Training	0
264		O(c1ccccc1)P(Oc2ccccc2)Oc3ccccc3	Training	0
266		O=C(C=C(OP(=O)(OC)OC)C)NC	Training	0
267		O=C(O)c1cccc(c1)N(c2ccc(OC(F)F)c(OC(F)F)c2)Cc3cnccc3	Training	0
275		O=C(NO)C3(NS(=O)(=O)c2ccc(Oc1ccc(F)cc1)cc2)(CCOCC3)	Training	0
279		O=C(OC)c1ccccc1(N)	Training	0
281		O=C(N(c1ccc(F)cc1)C(C)C)COc2nnc(C(F)(F)F)s2	Test	0
291		O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	Test	1
292		Oc1ccc(cc1)C(c2ccc(OCCN(C)C)cc2)=C(c3ccccc3)CC	Training	1
293		O=C1N(CCS1)P(=O)(OCC)SC(C)CC	Training	1
294		n1c(nsc1OCC)C(Cl)(Cl)Cl	Training	1
295		O=C2CCC3C4CCc1cc(O)ccc1C4(CCC23(C))	Test	1
296		O=C(Nc2cnc(Oc1cccnc1C)cc2)N4c3cc(c(cc3CC4)C)C(F)(F)F	Training	1
297		c1cc(cc(c1)Cl)Cl	Test	1
298		O=C1C(=C(O)CC(C1)C2CCOCC2)C(=NOCC=CCl)CC	Training	1
299		Nc1c(cccc1C)C	Test	1
300		N#CC(c1ccccc1)(Cn2ncnc2)CCc3ccc(cc3)Cl	Training	1
301		n1ccn(c1)CC(OCC=C)c2ccc(cc2Cl)Cl	Training	1
302		O=C(NC)C5OC(n2cnc1c(ncnc12)NCc4cc(ccc4(OCc3onc(c3)C))Cl)C(O)C5(N)	Training	1
303		O=C(Nc1nnn[nH]1)c3c(OC(C)C)c2cc(OC)ccc2s3	Test	1
304		O=S(=O)(O)c3ccc(N=Nc2c(O)ccc1cc(ccc12)S(=O)(=O)O)cc3	Training	1
305		O(c1ccc(cc1(OC))CC=C)C	Training	1
306		O=C(OCC)C(Cc1cc(c(F)cc1Cl)N2N=C(N(C2(=O))C(F)F)C)Cl	Training	1
307		OOC(c1ccccc1)(C)C	Test	1
308		O=C(O)c1ccccc1N4C=C(C(=O)O)C(=O)c3cc(Nc2c(F)cc(F)cc2Cl)c(cc34)Cl	Training	1
309		O=C1C=CC4(C(=C1)CCC3C4(C(=O)CC2(C)(C3(CCC2(O)(C(=O)CO)))))(C)	Training	1
310		O=P(OC(CCl)CCl)(OC(CCl)CCl)OC(CCl)CCl	Test	1
311		O=C(c1cc(c(cc1N(CC)CCN(C)C)N3CCC(c2ccccc2)CC3)S(=O)(=O)Cc4ccccc4)N(CC)CC	Test	1
312		O=P(Oc1ccc(c(c1)C)SC)(OCC)NC(C)C	Training	1
313		O=CN(C)C	Training	1
314		O=[N+]([O-])c1ccccc1	Test	1
315		O=C1OC3(CC1)(CCC2C5C(CCC23(C))C4(C(=CC(=O)CC4)CC5SC(=O)C)(C))	Training	1
316		O=C(C=C(OP(=O)(OC)OC)C)N(C)C	Training	1
317		O=C(c1ccccc1)c2ccc(OCCCCCCCC)cc2(O)	Test	1
318		O=C(OC)C(Oc2ccc(Oc1ccc(cc1Cl)Cl)cc2)C	Test	1
319		O=S(=O)(Nc1nc2c(OC)cnc(OC)n2(n1))c3c(OCC(F)F)cccc3C(F)(F)F	Training	1
320		O=C4C=C3CCC1C(CCC2(C)(C(C(=O)C)CCC12))C3(C)CC4	Training	1
321		c1ccc(cc1)C(Cl)(Cl)Cl	Training	1
