ID	CAS	SMILES	Set	LogKab EXP
1	77-28-1	O=C1NC(=O)C(C(=O)N1)(CC)CCCC	Training	-0.01322827
2	60784-70-5	O=C1NC(=O)C(C(=O)N1)(CC)CCCCCCC	Test	0.795880017
3	77-30-5	O=C1NC(=O)C(C(=O)N1)(CC)CCCCCC	Training	0.88592634
4	27653-63-0	O=C1NC(=O)C(C(=O)N1)(C)CC	Test	-0.602059991
5	64810-91-9	O=C1NC(=O)C(C(=O)N1)(CC)CCCCCCCCC	Training	0.862727528
6	64810-90-8	O=C1NC(=O)C(C(=O)N1)(CC)CCCCCCCC	Test	0.788168371
7	115-58-2	O=C1NC(=O)C(C(=O)N1)(CC)CCCCC	Training	0.230448921
8	64038-27-3	O=C1NC(=O)C(C(=O)N1)(CC)CCC	Training	-0.060480747
9	37517-30-9	O=C(Nc1ccc(OCC(O)CNC(C)C)c(c1)C(=O)C)CCC	Training	-0.075720714
10	71195-58-9	O=C1N(N=NN1CCN3CCC(N(C(=O)CC)c2ccccc2)(COC)CC3)CC	Training	0.598790507
11	28981-97-7	n4nc1n(c3ccc(cc3(C(=NC1)c2ccccc2))Cl)c4C	Training	0.004321374
12	57-44-3	O=C1NC(=O)C(C(=O)N1)(CC)CC	Test	-0.346787486
13	63659-18-7	OC(COc1ccc(cc1)CCOCC2CC2)CNC(C)C	Training	0.164352856
14	514-65-8	OC(c1ccccc1)(CCN2CCCCC2)C4CC3C=CC4(C3)	Training	1.779596491
15	66722-44-9	OC(COc1ccc(cc1)COCCOC(C)C)CNC(C)C	Training	-0.124938737
16	72558-82-8	O=C(O)C4=C(C[n+]1ccccc1)CSC3N4(C(=O)C3(NC(=O)C(=NOC(C(=O)O)(C)C)C2=CSC(=N)N2))	Test	-0.795880017
17	58-25-3	[O-][N+]3=CC(=NC)Nc1ccc(cc1C3(c2ccccc2))Cl	Training	0.489958479
18	486-56-6	O=C2N(C)C(c1cnccc1)CC2	Training	-1.096910013
19	63335-87-5	CCCCCCCCCC	Test	1.421603927
20	62229-77-0	N#CC(OC(=O)C1C(C=C(Br)Br)C1(C)(C))c3cccc(Oc2ccccc2)c3	Training	2.457881897
21	439-14-5	O=C1N(c3ccc(cc3(C(=NC1)c2ccccc2))Cl)C	Training	1.414973348
22	1333-14-8	O=S(=O)(c1cccc(c1)Cl)c2cccc(c2)Cl	Training	1.949390007
23	73090-70-7	N=C1NC=C(C(=N)N1)Cc2cc(OCC)c(c(OCC)c2)n3cccc3	Test	0.544068044
24	41340-25-4	O=C(O)CC2(OCCc1c3cccc(c3([nH]c12))CC)CC	Training	-0.619788758
25	437-38-7	O=C(N(c1ccccc1)C3CCN(CCc2ccccc2)CC3)CC	Test	1.519827994
26	1622-62-4	O=C1N(c3ccc(cc3(C(=NC1)c2ccccc2(F)))[N+](=O)[O-])C	Test	1.772321707
27	37076-68-9	O=C1NC(=O)N(C=C1(F))C2OCCC2	Training	-0.508638306
28	87-82-1	c1(c(c(c(c(c1Br)Br)Br)Br)Br)Br	Training	1.431363764
29	118-74-1	c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)Cl	Test	1.903089987
30	56-29-1	O=C1NC(=O)C(C(=O)N1C)(C2=CCCCC2)C	Training	0.214843848
31	50-49-7	c1ccc3c(c1)N(c2ccccc2CC3)CCCN(C)C	Test	0.798650645
32	99323-21-4	O=C(c1ccc(cc1)CC)C(C)CN2CCCC2	Test	0.915927212
33	98079-51-7	O=C(O)C1=CN(c2c(F)c(c(F)cc2(C1(=O)))N3CCNC(C)C3)CC	Test	-0.568636236
34	519-02-8	O=C2N1CC4CCCN3CCCC(C1CCC2)C34	Training	-0.337242168
35	53230-10-7	FC(F)(F)c2nc1c(cccc1C(F)(F)F)c(c2)C(O)C3NCCCC3	Test	0.838849091
36	37350-58-6	OC(COc1ccc(cc1)CCOC)CNC(C)C	Test	-0.180456064
37	59467-70-8	Fc1ccccc1C2=NCc4cnc(n4(c3ccc(cc23)Cl))C	Test	0.775974331
38	2212-67-1	O=C(N1CCCCCC1)SCC	Test	2.250420002
39	52236-29-0	O=C(N1CCCCCC1)S(=O)CC	Training	0.685741739
40	389-08-2	O=C(O)C1=CN(c2nc(ccc2(C1(=O)))C)CC	Training	-1.045757491
41	551-13-3	n1cccc(c1)C2N(C)CCC2	Training	-0.327902142
42	146-22-5	O=C2C=NC(c1ccccc1)c3cc(ccc3(N2))[N+](=O)[O-]	Training	0.414973348
43	938-73-8	O=C(N)c1ccccc1(OCC)	Test	-0.15490196
44	83380-47-6	O=C(O)C2=CN1c3c(OCC1C)c(c(F)cc3(C2(=O)))N4CCN(C)CC4	Training	-0.698970004
45	22972-98-1	OC(COc1ccccc1(OCC=C))CNC(C)C	Training	-0.080921908
46	60123-64-0	O(c1ccc(cc1Cl)Cl)c2cc(c(cc2Cl)Cl)Cl	Training	1.602059991
47	359-83-1	Oc1ccc2c(c1)C3(C)(CCN(CC=C(C)C)C(C2)C3(C))	Training	0.240549248
48	76-74-4	O=C1NC(=O)C(C(=O)N1)(CC)C(C)CCC	Test	-0.080921908
49	127-18-4	C(=C(Cl)Cl)(Cl)Cl	Test	2.071882007
