ID	CAS	SMILES VEGA	Status	Exp. endpoint
1	000006-01-7	O(c1cc(c(cc1Br)Br)Br)c2cc(c(cc2Br)Br)Br	Training	4.7235
2	000050-00-0	O=C	Training	-1.0792
3	000050-06-6	O=C2NC(=O)C(c1ccccc1)(C(=O)N2)CC	Training	1.9956
4	000050-12-4	O=C2NC(c1ccccc1)(C(=O)N2C)CC	Training	0.8451
5	000050-14-6	OC1C=C(C(=CC1)C)CCC3=C2CCC(C(C=CC(C)C(C)C)C)C2(C)CCC3	Training	1.525
6	000050-18-0	O=P1(OCCCN1)N(CCCl)CCCl	Training	0.9031
7	000050-23-7	O=C3C=C2CCC1C4CCC(O)(C(=O)CO)C4(C)(CC(O)C1C2(C)CC3)	Training	0.2041
8	000050-24-8	O=C1C=CC3(C(=C1)CCC2C4CCC(O)(C(=O)CO)C4(C)(CC(O)C23))(C)	Training	0.5315
9	000050-28-2	Oc1ccc2c(c1)CCC3C2CCC4(C)(C(O)CCC34)	Training	0.2304
10	000050-29-3	c1cc(ccc1C(c2ccc(cc2)Cl)C(Cl)(Cl)Cl)Cl	Training	4.2834
11	000050-35-1	O=C3NC(=O)C(N2C(=O)c1ccccc1C2(=O))CC3	Training	0.6721
12	000050-36-2	O=C(OC2CC1N(C)C(CC1)C2(C(=O)OC))c3ccccc3	Training	-0.1192
13	000050-37-3	OC(N(CC)CC)C2C=C1c4cccc3[nH]cc(C=C1N(C)C2)c34	Training	0.4771
14	000050-47-5	c1ccc3c(c1)N(c2ccccc2CC3)CCCNC	Training	1.3424
15	000050-48-6	C=1C=CC=3C(C=1)=CCc2ccccc2C=3CCCN(C)C	Training	1.2305
16	000050-49-7	c1ccc3c(c1)N(c2ccccc2CC3)CCCN(C)C	Training	1.2041
17	000050-52-2	c1ccc3c(c1)N(c2cc(ccc2S3)SC)CCC4N(C)CCCC4	Training	1.3617
18	000050-53-3	c1ccc3c(c1)N(c2cc(ccc2S3)Cl)CCCN(C)C	Training	1.0414
