Id	CAS	SMILES	set	WS value
1	50-03-3	O=C(OCC(=O)C3(O)(CCC2C4CCC1=CC(=O)CCC1(C)C4(C(O)CC23(C))))C	Training	4.458
2	50-04-4	O=C(OCC(=O)C3(O)(CCC2C4CCC1=CC(=O)CCC1(C)C4(C(=O)CC23(C))))C	Training	4.304
3	50-06-6	O=C2NC(=O)C(c1ccccc1)(C(=O)N2)CC	Training	2.321
4	50-11-3	O=C1NC(=O)C(C(=O)N1C)(CC)CC	Training	2
5	50-18-0	O=P1(OCCCN1)N(CCCl)CCCl	Training	0.815
6	50-19-1	O=C(OCC(O)(c1ccccc1)CC)N	Training	0.923
7	50-22-6	O=C3C=C2CCC1C4CCC(C(=O)CO)C4(C)(CC(O)C1C2(C)CC3)	Training	3.241
8	50-23-7	O=C3C=C2CCC1C4CCC(O)(C(=O)CO)C4(C)(CC(O)C1C2(C)CC3)	Training	3.054
9	50-24-8	O=C1C=CC3(C(=C1)CCC2C4CCC(O)(C(=O)CO)C4(C)(CC(O)C23))(C)	Training	3.209
10	50-28-2	Oc1ccc2c(c1)CCC3C2CCC4(C)(C(O)CCC34)	Training	4.879
11	50-29-3	c1cc(ccc1C(c2ccc(cc2)Cl)C(Cl)(Cl)Cl)Cl	Training	7.809
12	50-31-7	O=C(O)c1c(ccc(c1Cl)Cl)Cl	Training	1.467
13	50-32-8	c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45	Training	8.192
14	50-33-9	O=C3N(c1ccccc1)N(c2ccccc2)C(=O)C3CCCC	Test	3.812
15	50-36-2	O=C(OC2CC1N(C)C(CC1)C2(C(=O)OC))c3ccccc3	Training	2.227
16	50-47-5	c1ccc3c(c1)N(c2ccccc2CC3)CCCNC	Test	3.658
17	50-48-6	c1ccc3c(c1)C(=CCCN(C)C)c2ccccc2CC3	Training	4.456
18	50-49-7	c1ccc3c(c1)N(c2ccccc2CC3)CCCN(C)C	Training	4.188
19	50-53-3	c1ccc3c(c1)N(c2cc(ccc2S3)Cl)CCCN(C)C	Training	5.097
20	50-55-5	O=C(OC3CC4CN2CCc1c5ccc(OC)cc5([nH]c1C2CC4(C(C(=O)OC)C3(OC))))c6cc(OC)c(OC)c(OC)c6	Training	3.921
21	50-78-2	O=C(O)c1ccccc1(OC(=O)C)	Training	1.593
22	50-82-8	O=C(O)c1cc(c(cc1Cl)Cl)Cl	Training	2.445
23	51-03-6	O1c2cc(c(cc2(OC1))CCC)COCCOCCOCCCC	Training	4.374
24	51-17-2	n1c[nH]c2ccccc12	Training	1.769
25	51-18-3	n1c(nc(nc1N2CC2)N3CC3)N4CC4	Test	-0.292
26	51-21-8	O=C1NC=C(F)C(=O)N1	Test	1.069
27	51-28-5	O=[N+]([O-])c1ccc(O)c(c1)[N+](=O)[O-]	Training	1.819
28	51-35-4	O=C(O)C1NCC(O)C1	Training	-0.44
29	51-43-4	Oc1ccc(cc1(O))C(O)CNC	Training	3.008
30	51-52-5	O=C1C=C(NC(N1)=S)CCC	Test	2.152
31	51-67-2	Oc1ccc(cc1)CCN	Training	1.12
32	52-01-7	O=C1OC3(CC1)(CCC2C5C(CCC23(C))C4(C(=CC(=O)CC4)CC5SC(=O)C)(C))	Training	4.277
33	52-21-1	O=C1C=CC3(C(=C1)CCC2C4CCC(O)(C(=O)COC(=O)C)C4(C)(CC(O)C23))(C)	Training	4.369
34	52-24-4	N1(CC1)P(N2CC2)(N3CC3)=S	Training	-0.002
35	52-31-3	O=C1NC(=O)C(C(=O)N1)(C2=CCCCC2)CC	Training	2.169
36	52-43-7	O=C1NC(=O)C(C(=O)N1)(CC=C)CC=C	Training	2.061
37	52-52-8	O=C(O)C1(N)(CCCC1)	Training	0.412
38	52-67-5	O=C(O)C(N)C(C)(C)S	Test	0.128
39	52-68-6	O=P(OC)(OC)C(O)C(Cl)(Cl)Cl	Training	0.331
40	53-06-5	O=C4C=C3CCC2C(C(=O)CC1(C)(C2(CCC1(O)(C(=O)CO))))C3(C)CC4	Test	3.11
41	53-16-7	O=C2CCC3C4CCc1cc(O)ccc1C4(CCC23(C))	Training	3.955
42	53-19-0	c1ccc(c(c1)C(c2ccc(cc2)Cl)C(Cl)Cl)Cl	Training	6.505
43	53-43-0	O=C2CCC3C4CC=C1CC(O)CCC1(C)C4(CCC23(C))	Test	3.657
44	53-86-1	O=C(O)Cc3c1cc(OC)ccc1n(C(=O)c2ccc(cc2)Cl)c3C	Training	5.582
45	54-85-3	O=C(NN)c1ccncc1	Training	-0.009
46	55-18-5	O=NN(CC)CC	Training	-0.016
47	55-21-0	O=C(N)c1ccccc1	Test	0.953
48	55-22-1	O=C(O)c1ccncc1	Test	1.374
49	55-56-1	N=C(Nc1ccc(cc1)Cl)NC(=N)NCCCCCCNC(=N)NC(=N)Nc2ccc(cc2)Cl	Training	2.801
50	55-63-0	O=[N+]([O-])OCC(O[N+](=O)[O-])CO[N+](=O)[O-]	Training	2.216
51	55-91-4	O=P(F)(OC(C)C)OC(C)C	Test	1.078
52	56-23-5	C(Cl)(Cl)(Cl)Cl	Training	2.288
53	56-25-7	O=C2OC(=O)C3(C)(C1OC(CC1)C23(C))	Training	3.816
54	56-29-1	O=C1NC(=O)C(C(=O)N1C)(C2=CCCCC2)C	Training	2.735
55	56-40-6	O=C(O)CN	Training	-0.521
56	56-41-7	O=C(O)C(N)C	Training	-0.265
57	56-45-1	O=C(O)C(N)CO	Training	-0.607
58	56-47-3	O=C(OCC(=O)C2CCC3C4CCC1=CC(=O)CCC1(C)C4(CCC23(C)))C	Training	4.63
59	56-49-5	c1ccc5c(c1)ccc3c5(cc2ccc(c4c2c3CC4)C)	Training	7.966
60	56-53-1	Oc1ccc(cc1)C(=C(c2ccc(O)cc2)CC)CC	Training	4.35
61	56-54-2	OC(c2ccnc1ccc(OC)cc12)C3N4CCC(C3)C(C=C)C4	Training	3.365
62	56-75-7	O=C(NC(CO)C(O)c1ccc(cc1)[N+](=O)[O-])C(Cl)Cl	Training	2.111
63	56-81-5	OCC(O)CO	Training	-1.036
64	56-82-6	O=CC(O)CO	Training	0.489
65	56-84-8	O=C(O)CC(N)C(=O)O	Training	1.395
66	56-87-1	O=C(O)C(N)CCCCN	Test	-0.835
67	56-89-3	O=C(O)C(N)CSSCC(N)C(=O)O	Training	3.102
68	57-00-1	O=C(O)CN(C(=N)N)C	Training	0.994
69	57-06-7	C(=NCC=C)=S	Training	1.695
70	57-10-3	O=C(O)CCCCCCCCCCCCCCC	Test	6.807
71	57-11-4	O=C(O)CCCCCCCCCCCCCCCCC	Training	5.678
72	57-13-6	O=C(N)N	Training	-0.958
73	57-15-8	OC(C)(C)C(Cl)(Cl)Cl	Training	1.346
74	57-24-9	O=C2N6c1ccccc1C57(CCN4CC3=CCOC(C2)C(C3CC45)C67)	Training	3.32
75	57-27-2	Oc5ccc4c1c5(OC2C(O)C=CC3C(N(C)CCC123)C4)	Training	3.282
76	57-41-0	O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3	Training	3.897
77	57-42-1	O=C(OCC)C2(c1ccccc1)(CCN(C)CC2)	Test	1.885
