id	CAS	SMILES	Status	Exp value [log(uM)]
1	2971-36-0	Oc1ccc(cc1)C(c2ccc(O)cc2)C(Cl)(Cl)Cl	Test	1.392
2	94-82-6	O=C(O)CCCOc1ccc(cc1Cl)Cl	Training	1.284
3	136-45-8	O=C(OCCC)c1ncc(cc1)C(=O)OCCC	Training	0.075
4	90-43-7	Oc1ccccc1c2ccccc2	Test	1.549
5	55406-53-6	O=C(OCC#CI)NCCCC	Training	0.03
6	34256-82-1	O=C(N(c1c(cccc1CC)C)COCC)CCl	Training	1.374
7	135158-54-2	O=C(c2cccc1nnsc12)SC	Training	1.035
8	15972-60-8	O=C(N(c1c(cccc1CC)CC)COC)CCl	Training	1.414
9	116-06-3	O=C(ON=CC(C)(C)SC)NC	Training	1.736
10	33089-61-1	N(=CN(C=Nc1ccc(cc1C)C)C)c2ccc(cc2C)C	Training	1.161
11	101-05-3	n1c(nc(nc1Cl)Cl)Nc2ccccc2Cl	Training	1.421
12	35575-96-3	O=C2Oc1cc(cnc1N2CSP(=O)(OC)OC)Cl	Training	1.379
13	86-50-0	O=C1c2ccccc2(N=NN1CSP(OC)(OC)=S)	Training	0.968
14	131860-33-8	N#Cc3ccccc3(Oc2ncnc(Oc1ccccc1C(=COC)C(=O)OC)c2)	Training	0.556
15	22781-23-3	O=C(Oc1cccc2OC(Oc12)(C)C)NC	Training	1.532
16	1861-40-1	O=[N+]([O-])c1cc(cc(c1N(CC)CCCC)[N+](=O)[O-])C(F)(F)F	Training	0.67
17	17804-35-2	O=C(OC)Nc2nc1ccccc1n2(C(=O)NCCCC)	Training	0.034
18	83055-99-6	O=C(OC)c1ccccc1CS(=O)(=O)NC(O)=Nc2nc(OC)cc(n2)OC	Test	1.854
19	741-58-2	O=S(=O)(NCCSP(OC(C)C)(OC(C)C)=S)c1ccccc1	Training	1.01
20	149877-41-8	O=C(OC(C)C)NNc1cc(ccc1(OC))c2ccccc2	Training	1.006
21	82657-04-3	O=C(OCc2cccc(c1ccccc1)c2C)C3C(C=C(C(F)(F)F)Cl)C3(C)(C)	Training	-0.248
22	80-05-7	Oc1ccc(cc1)C(c2ccc(O)cc2)(C)C	Training	1.665
23	188425-85-6	O=C(Nc2ccccc2(c1ccc(cc1)Cl))c3cccnc3Cl	Training	0.054
24	1689-84-5	N#Cc1cc(c(O)c(c1)Br)Br	Training	1.064
25	69327-76-0	O=C2N(c1ccccc1)CSC(=NC(C)(C)C)N2C(C)C	Training	0.485
26	23184-66-9	O=C(N(c1c(cccc1CC)CC)COCCCC)CCl	Test	0.586
27	33629-47-9	O=[N+]([O-])c1cc(cc(c1(NC(C)CC))[N+](=O)[O-])C(C)(C)C	Training	1.004
28	2939-80-2	O=C1N(C(=O)C2CC=CCC12)SC(C(Cl)Cl)(Cl)Cl	Training	0.239
29	133-06-2	O=C1N(C(=O)C2CC=CCC12)SC(Cl)(Cl)Cl	Training	0.076
30	63-25-2	O=C(Oc1cccc2ccccc12)NC	Training	1.767
31	5234-68-4	O=C(Nc1ccccc1)C2=C(OCCS2)C	Test	0.71
32	128639-02-1	O=C(OCC)C(Cc1cc(c(F)cc1Cl)N2N=C(N(C2(=O))C(F)F)C)Cl	Training	-0.244
33	2675-77-6	O(c1cc(c(OC)cc1Cl)Cl)C	Training	1.848
34	1897-45-6	N#Cc1c(c(C#N)c(c(c1Cl)Cl)Cl)Cl	Training	-0.503
35	101-21-3	OC(=Nc1cccc(c1)Cl)OC(C)C	Training	1.851
36	2921-88-2	n1c(OP(OCC)(OCC)=S)c(cc(c1Cl)Cl)Cl	Training	0.929
37	5598-15-2	O=P(Oc1nc(c(cc1Cl)Cl)Cl)(OCC)OCC	Training	-0.393
38	5598-13-0	n1c(OP(OC)(OC)=S)c(cc(c1Cl)Cl)Cl	Training	1.486
39	87818-31-3	O(Cc1ccccc1C)C3CC2(OC3(C)(CC2))C(C)C	Training	1.625
40	105512-06-9	O=C(OCC#C)C(Oc2ccc(Oc1ncc(cc1(F))Cl)cc2)C	Training	-0.497
41	120-32-1	Oc1ccc(cc1Cc2ccccc2)Cl	Training	0.917
42	120116-88-3	N#Cc2nc(c(c1ccc(cc1)C)n2S(=O)(=O)N(C)C)Cl	Training	0.546
43	113136-77-9	O=C(O)C2CC2(C(=O)Nc1ccc(cc1Cl)Cl)	Test	1.214
44	68359-37-5	N#CC(OC(=O)C1C(C=C(Cl)Cl)C1(C)(C))c3ccc(F)c(Oc2ccccc2)c3	Training	-0.482
45	122008-85-9	N#Cc2ccc(Oc1ccc(OC(C(=O)OCCCC)C)cc1)c(F)c2	Training	0.469
46	57966-95-7	N#CC(=NOC)C(=O)NC(=O)NCC	Training	1.627
47	52315-07-8	N#CC(OC(=O)C1C(C=C(Cl)Cl)C1(C)(C))c3cccc(Oc2ccccc2)c3	Training	-0.488
48	94361-06-5	OC(c1ccc(cc1)Cl)(Cn2ncnc2)C(C)C3CC3	Training	1.832
49	121552-61-2	n1c(nc(cc1C)C2CC2)Nc3ccccc3	Training	1.013
50	1596-84-5	O=C(O)CCC(O)=NN(C)C	Training	1.823
51	533-74-4	C1(N(C)CN(C)CS1)(=S)	Training	-0.551
52	962-58-3	O=P(Oc1nc(nc(c1)C)C(C)C)(OCC)OCC	Training	1.462
53	84-74-2	O=C(OCCCC)c1ccccc1(C(=O)OCCCC)	Training	0.164
54	99-30-9	O=[N+]([O-])c1cc(c(N)c(c1)Cl)Cl	Training	1.776
55	120-36-5	O=C(O)C(Oc1ccc(cc1Cl)Cl)C	Training	-0.019
56	62-73-7	O=P(OC=C(Cl)Cl)(OC)OC	Training	1.699
57	51338-27-3	O=C(OC)C(Oc2ccc(Oc1ccc(cc1Cl)Cl)cc2)C	Test	0.535
58	115-32-2	OC(c1ccc(cc1)Cl)(c2ccc(cc2)Cl)C(Cl)(Cl)Cl	Training	1.014
59	119446-68-3	n1cnn(c1)CC2(OCC(O2)C)c4ccc(Oc3ccc(cc3)Cl)cc4Cl	Training	0.551
60	87674-68-8	O=C(N(c1c(csc1C)C)C(C)COC)CCl	Training	1.484
61	110488-70-5	O=C(C=C(c1ccc(cc1)Cl)c2ccc(OC)c(OC)c2)N3CCOCC3	Training	1.461
62	83657-24-3	OC(C(=Cc1ccc(cc1Cl)Cl)n2ncnc2)C(C)(C)C	Training	0.908
63	122-39-4	c1ccc(cc1)Nc2ccccc2	Training	1.53
64	298-04-4	O(CC)P(OCC)(=S)SCCSCC	Training	1.862
65	97886-45-8	O=C(c1c(nc(c(C(=O)SC)c1CC(C)C)C(F)(F)F)C(F)F)SC	Training	0.89
66	115-29-7	O=S1OCC2C(CO1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl	Training	-0.012
67	66230-04-4	N#CC(OC(=O)C(c1ccc(cc1)Cl)C(C)C)c3cccc(Oc2ccccc2)c3	Test	-0.532
68	55283-68-6	O=[N+]([O-])c1cc(cc(c1N(CC(=C)C)CC)[N+](=O)[O-])C(F)(F)F	Training	1.002
69	153233-91-1	Fc1cccc(F)c1C3=NC(c2ccc(cc2(OCC))C(C)(C)C)CO3	Training	0.238
70	2593-15-9	n1c(nsc1OCC)C(Cl)(Cl)Cl	Training	0.634
71	161326-34-7	O=C3N(Nc1ccccc1)C(=NC3(c2ccccc2)C)SC	Training	0.358
72	22224-92-6	O=P(Oc1ccc(c(c1)C)SC)(OCC)NC(C)C	Training	1.903
73	60168-88-9	OC(c1cncnc1)(c2ccc(cc2)Cl)c3ccccc3Cl	Training	1.165
74	114369-43-6	N#CC(c1ccccc1)(Cn2ncnc2)CCc3ccc(cc3)Cl	Training	1.372
75	126833-17-8	O=C(Nc1ccc(O)c(c1Cl)Cl)C2(C)(CCCCC2)	Test	0.922
76	122-14-5	O=[N+]([O-])c1ccc(OP(OC)(OC)=S)cc1C	Training	1.525
77	66441-23-4	O=C(OCC)C(Oc3ccc(Oc1nc2ccc(cc2(o1))Cl)cc3)C	Training	0.414
78	72490-01-8	O=C(OCC)NCCOc2ccc(Oc1ccccc1)cc2	Training	1.071
79	39515-41-8	N#CC(OC(=O)C1C(C)(C)C1(C)(C))c3cccc(Oc2ccccc2)c3	Test	-0.489
80	55-38-9	O(c1ccc(c(c1)C)SC)P(OC)(OC)=S	Training	1.184
81	120068-37-3	N#Cc1nn(c(N)c1S(=O)C(F)(F)F)c2c(cc(cc2Cl)C(F)(F)F)Cl	Training	1.19
82	79622-59-6	O=[N+]([O-])c2cc(c(c(c2(Nc1ncc(cc1Cl)C(F)(F)F))[N+](=O)[O-])Cl)C(F)(F)F	Training	-0.073
83	131341-86-1	N#Cc1c[nH]cc1c3cccc2OC(F)(F)Oc23	Training	0.27
84	142459-58-3	O=C(N(c1ccc(F)cc1)C(C)C)COc2nnc(C(F)(F)F)s2	Training	1.492
